hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
5,16,3,0,1,0.6428571428571429,0.9285714285714286,23,-1,-100,0.6666666666666666
5,25,1,0,2,0.4782608695652174,0.9565217391304348,1,-1,-100,0.5
4,33,12,0,2,0.6896551724137931,1.0,15,-1,-100,0.75
3,20,3,0,1,0.8666666666666667,1.0,11,-1,-100,0.8
3,24,7,0,1,0.75,1.0,11,1,-100,0.6666666666666666
3,24,6,0,1,0.7,1.0,23,-1,-100,0.6666666666666666
0,27,15,0,2,0.5833333333333334,1.0,3,-1,-100,0.6666666666666666
3,25,4,0,1,0.5,1.0,9,-1,-100,0.25
3,19,5,0,1,0.8095238095238095,1.0,11,-1,-100,0.6666666666666666
3,20,10,0,1,0.9047619047619048,1.0,35,-1,-100,0.5
3,32,9,0,1,0.7391304347826086,1.0,11,1,-100,0.5714285714285714
3,41,11,1,2,0.4,1.0,15,-1,-100,0.0
3,19,7,0,1,0.8,1.0,11,-1,-100,0.75
2,11,2,1,1,0.8333333333333334,1.0,4,1,-100,0.6666666666666666
3,20,6,0,1,0.6875,1.0,35,-1,-100,0.5
3,14,8,0,1,0.6153846153846154,1.0,1,1,-100,0.75
3,26,10,0,1,0.8695652173913043,1.0,11,-1,-100,0.8571428571428571
4,42,13,1,2,0.3902439024390244,1.0,1,-1,-100,0.6666666666666666
3,36,11,0,1,0.8888888888888888,1.0,11,-1,-100,0.3333333333333333
3,15,7,1,1,0.85,0.95,45,-1,-100,0.5
3,14,4,0,1,0.8421052631578947,0.9473684210526315,1,2,-100,0.8888888888888888
4,19,9,0,2,0.7142857142857143,1.0,1,2,-100,0.875
4,26,17,0,2,0.6,1.0,1,-1,-100,0.75
3,10,1,0,1,0.7647058823529411,1.0,1,1,-100,0.6666666666666666
3,14,9,0,1,0.6666666666666666,1.0,1,-1,-100,0.3333333333333333
3,18,5,0,2,0.42857142857142855,1.0,1,-1,-100,0.8571428571428571
3,16,4,0,1,0.5263157894736842,1.0,1,1,-100,0.8
4,15,7,0,1,0.8095238095238095,0.9523809523809523,1,-1,-100,0.75
5,21,1,0,2,0.46153846153846156,1.0,1,-1,-100,0.8571428571428571
3,12,1,0,1,0.8333333333333334,0.9444444444444444,1,-1,-100,0.8888888888888888
3,10,4,0,1,0.7272727272727273,1.0,1,1,-100,0.8333333333333334
3,23,18,1,2,0.48484848484848486,1.0,3,2,-100,0.8
3,18,4,0,1,0.8695652173913043,0.9565217391304348,1,-1,-100,0.6666666666666666
3,16,6,0,1,0.8,1.0,1,1,-100,0.75
3,13,5,0,1,0.7368421052631579,0.9473684210526315,1,-1,-100,0.8
3,11,2,0,2,0.7222222222222222,1.0,1,-1,-100,0.75
4,16,9,0,2,0.46153846153846156,1.0,1,1,-100,0.8333333333333334
4,12,3,0,1,0.5882352941176471,1.0,1,-1,-100,0.8333333333333334
5,25,3,1,2,0.3170731707317073,0.975609756097561,9,-1,-100,0.6666666666666666
5,22,4,1,2,0.5185185185185185,0.9259259259259259,1,-1,-100,0.4
3,11,4,0,1,0.6875,1.0,1,1,-100,0.7142857142857143
4,19,6,0,1,0.7878787878787878,1.0,22,1,-100,0.75
3,15,4,1,1,0.8260869565217391,0.9565217391304348,22,1,-100,0.8
3,11,4,0,2,0.6470588235294118,1.0,1,1,-100,0.75
4,16,3,2,2,0.6842105263157895,0.8421052631578947,1,1,-100,0.75
