hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,3,0,1,1,0.7142857142857143,0.8571428571428571,56,4,-100,0.75
3,6,0,0,1,0.8571428571428571,0.5714285714285714,23,2,-100,0.5333333333333333
131,8,2,4,1,0.956989247311828,0.9247311827956989,26,-1,-100,0.75
4,9,0,0,1,0.8571428571428571,0.14285714285714285,19,-1,-100,0.8
5,2,2,0,2,1.0,1.0,16,-1,-100,0.6153846153846154
34,16,2,2,2,0.9811320754716981,0.7169811320754716,45,-1,-100,0.6666666666666666
0,1,5,1,1,1.0,1.0,70,-1,-100,0.5
0,2,0,0,1,1.0,1.0,78,-1,-100,0.6875
68,13,0,4,1,0.9879518072289156,0.891566265060241,63,-1,-100,0.75
4,4,0,0,2,0.3,0.8,26,-1,-100,0.625
5,3,0,1,1,0.8,0.6,1,-1,-100,0.5
2,2,0,0,2,0.6666666666666666,0.3333333333333333,17,-1,-100,0.7333333333333333
76,4,0,2,1,1.0,0.9285714285714286,83,-1,-100,0.8
4,13,0,1,1,0.9230769230769231,0.23076923076923078,6,-1,-100,0.5555555555555556
48,3,4,1,2,1.0,0.9230769230769231,1,-1,-100,0.8181818181818182
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
114,9,0,3,1,1.0,0.9117647058823529,1,-1,-100,0.8888888888888888
41,10,0,2,1,0.8709677419354839,0.8709677419354839,29,-1,-100,0.3333333333333333
2,3,0,0,1,0.6666666666666666,0.3333333333333333,18,-1,-100,0.5714285714285714
52,7,2,2,2,0.9636363636363636,0.9090909090909091,76,-1,-100,0.8888888888888888
3,1,0,0,2,0.8333333333333334,0.8333333333333334,38,-1,-100,0.3333333333333333
4,8,0,1,2,0.9090909090909091,0.7272727272727273,4,-1,-100,0.7857142857142857
56,10,0,4,1,0.9818181818181818,0.8909090909090909,18,-1,-100,0.6153846153846154
88,8,0,3,1,0.9827586206896551,0.9310344827586207,34,-1,-100,0.75
103,15,1,2,1,0.9772727272727273,0.9431818181818182,39,-1,-100,0.8
2,7,0,3,1,0.2857142857142857,0.42857142857142855,23,-1,-100,0.5384615384615384
0,1,0,1,1,0.6666666666666666,0.6666666666666666,7,-1,-100,0.4166666666666667
4,0,0,0,1,1.0,1.0,-1,-1,-100,0.4
32,1,1,1,1,0.8695652173913043,0.9565217391304348,7,-1,-100,0.5
17,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
46,1,0,0,1,1.0,1.0,7,-1,-100,0.6666666666666666
10,0,3,1,2,1.0,1.0,-1,-1,-100,0.75
3,1,1,3,1,1.0,1.0,25,-1,-100,0.6666666666666666
46,1,0,0,1,1.0,0.96,32,-1,-100,0.8
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,2,0.5,1.0,25,-1,-100,0.0
15,1,2,0,1,0.8888888888888888,1.0,23,1,-100,0.0
1,5,0,0,1,0.75,1.0,5,3,-100,0.75
71,3,1,0,1,0.975,0.975,6,-1,-100,0.7142857142857143
