hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,3,0,0,2,1.0,0.8823529411764706,19,-1,-100,0.5
0,0,1,0,1,0.8,1.0,-1,-1,-100,0.5
0,1,1,0,1,1.0,1.0,19,-1,-100,0.0
0,1,2,0,1,1.0,1.0,41,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
0,1,1,1,1,0.75,1.0,17,4,-100,0.0
0,0,2,0,1,1.0,1.0,-1,-1,-100,0.5
0,1,2,0,2,1.0,1.0,19,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,1,0,2,1,1.0,0.75,13,-1,-100,0.0
1,2,0,0,2,0.8888888888888888,1.0,17,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.6
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
0,5,1,2,1,0.6,0.6,13,-1,-100,0.8
0,1,1,0,1,1.0,1.0,20,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
3,2,0,1,2,1.0,0.6666666666666666,20,-1,-100,0.6666666666666666
0,1,1,1,2,0.875,1.0,19,-1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,1,0,0,1,1.0,0.6666666666666666,34,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,4,0,1,1,1.0,1.0,17,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,2,0,0,2,1.0,1.0,24,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.6666666666666666,1.0,-1,-1,-100,0.25
0,0,2,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,4,2,0,1,0.9523809523809523,1.0,20,-1,-100,0.3333333333333333
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.875
0,5,7,0,2,0.9,1.0,5,-1,-100,0.5
1,5,3,0,2,0.8571428571428571,1.0,6,-1,-100,0.5
0,0,5,0,1,0.7142857142857143,1.0,-1,-1,-100,0.6
0,2,3,0,1,0.9,1.0,19,-1,-100,0.875
0,8,6,0,1,1.0,1.0,18,-1,-100,0.8571428571428571
1,6,7,0,1,0.9285714285714286,1.0,18,-1,-100,0.6
0,5,4,0,1,0.9090909090909091,1.0,18,4,-100,0.8461538461538461
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,1,0,1,0.6666666666666666,1.0,20,-1,-100,0.6666666666666666
0,0,2,0,1,0.75,1.0,-1,-1,-100,0.6666666666666666
0,1,0,0,1,1.0,1.0,26,-1,-100,0.0
0,2,3,0,1,0.9,1.0,25,-1,-100,0.6666666666666666
0,1,0,0,1,1.0,1.0,28,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
1,4,5,0,1,1.0,1.0,5,-1,-100,0.8
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,0,4,1,1,1.0,1.0,-1,-1,-100,0.0
1,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,0,1,0,2,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.75,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
0,0,2,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
1,4,0,2,1,1.0,0.6666666666666666,34,-1,-100,0.6
0,2,1,0,1,0.8888888888888888,1.0,18,-1,-100,0.8
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.75
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.75
0,1,1,0,1,1.0,1.0,20,-1,-100,0.0
0,3,4,0,2,1.0,1.0,19,-1,-100,0.3333333333333333
0,2,0,0,2,0.7777777777777778,1.0,24,-1,-100,0.6666666666666666
0,0,3,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,1,0,2,0.8,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,2,1.0,1.0,19,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,1,1.0,1.0,24,-1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5714285714285714
1,1,0,0,1,1.0,0.0,23,-1,-100,0.5
0,0,2,0,2,1.0,1.0,-1,-1,-100,0.6666666666666666
0,1,0,0,1,1.0,1.0,19,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,2,0,1,1.0,1.0,-1,-1,-100,0.5
0,1,1,0,1,1.0,1.0,12,-1,-100,0.0
0,1,1,0,2,1.0,1.0,12,-1,-100,0.5
0,0,1,0,2,0.5,1.0,-1,-1,-100,0.0
0,0,2,0,1,0.6666666666666666,1.0,-1,-1,-100,0.0
0,0,2,0,1,1.0,1.0,-1,-1,-100,0.75
0,0,8,0,1,0.8181818181818182,1.0,-1,-1,-100,0.0
0,1,3,0,2,0.8888888888888888,1.0,12,-1,-100,0.5
0,0,1,0,1,0.5,1.0,-1,-1,-100,0.75
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.4
0,0,1,0,2,1.0,1.0,-1,-1,-100,0.5
0,1,0,0,1,1.0,1.0,19,-1,-100,0.5
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.4
0,1,0,0,2,1.0,1.0,19,-1,-100,0.0
0,0,4,0,1,1.0,1.0,-1,-1,-100,0.5
2,0,2,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,2,1.0,1.0,20,-1,-100,0.6666666666666666
0,2,0,0,1,0.5,1.0,12,5,-100,0.5
0,1,3,1,1,0.5,1.0,20,-1,-100,0.0
4,1,2,2,1,0.6,1.0,17,4,-100,0.5
0,3,2,0,1,0.8333333333333334,1.0,17,-1,-100,0.3333333333333333
1,3,4,1,2,0.5,1.0,17,4,-100,0.6666666666666666
0,1,3,1,1,1.0,1.0,19,-1,-100,0.0
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.75
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
1,2,0,0,1,0.0,0.0,15,-1,-100,0.0
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.5
1,2,0,0,1,0.0,0.0,7,2,-100,0.0
3,2,0,0,1,0.3333333333333333,0.6666666666666666,16,3,-100,0.0
2,0,3,1,1,1.0,1.0,-1,-1,-100,0.25
0,3,1,0,1,0.4,0.8,12,-1,-100,0.6666666666666666
9,7,0,0,2,0.2,0.0,37,2,-100,0.5
10,14,1,2,1,0.07142857142857142,0.42857142857142855,7,2,-100,0.6666666666666666
0,2,0,0,2,1.0,0.0,11,-1,-100,0.6666666666666666
1,6,0,0,1,0.375,0.75,11,-1,-100,0.5
1,1,0,0,2,0.0,0.0,1,-1,-100,0.0
2,6,0,0,2,0.16666666666666666,0.5,1,-1,-100,0.8
7,15,2,0,1,0.625,0.5625,1,5,-100,0.8
12,5,0,0,1,0.0,0.2,1,-1,-100,0.8571428571428571
13,10,2,0,1,0.1111111111111111,0.3333333333333333,2,-1,-100,0.8888888888888888
2,2,0,0,2,0.0,0.0,10,1,-100,0.75
8,7,0,0,1,0.42857142857142855,0.14285714285714285,7,-1,-100,0.75
9,5,8,1,1,0.0,0.4,42,1,-100,0.8
9,6,0,0,1,0.16666666666666666,0.16666666666666666,7,1,-100,0.8
3,3,0,0,2,0.0,0.0,14,1,-100,0.6
8,10,0,0,1,0.3,0.4,21,1,-100,0.7
6,6,0,0,2,0.4,0.2,2,1,-100,0.8
