hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
6,27,0,12,1,1.0,0.14285714285714285,76,-1,-100,0.8571428571428571
27,52,4,23,1,1.0,0.2777777777777778,11,-1,-100,0.7692307692307693
20,40,6,14,1,0.7105263157894737,0.42105263157894735,57,-1,-100,0.6666666666666666
5,13,1,3,1,0.9166666666666666,0.25,30,1,-100,0.8571428571428571
29,47,2,21,2,0.4418604651162791,0.23255813953488372,66,1,-100,0.9090909090909091
13,40,4,16,2,0.3611111111111111,0.25,10,2,-100,0.6428571428571429
21,50,0,28,1,0.7021276595744681,0.19148936170212766,28,-1,-100,0.7142857142857143
3,13,1,6,1,0.4166666666666667,0.16666666666666666,36,-1,-100,0.75
45,50,3,27,1,0.5416666666666666,0.14583333333333334,152,-1,-100,0.8
29,55,1,26,2,0.6808510638297872,0.2127659574468085,10,1,-100,0.5
5,19,0,14,2,0.6842105263157895,0.21052631578947367,36,1,-100,0.5
13,24,2,11,1,0.6956521739130435,0.17391304347826086,10,4,-100,0.8333333333333334
5,30,2,12,1,0.7407407407407407,0.25925925925925924,241,3,-100,0.875
7,22,2,8,1,0.5238095238095238,0.47619047619047616,11,-1,-100,0.5714285714285714
31,40,16,19,2,0.7,0.525,28,1,-100,0.9230769230769231
16,45,9,23,1,0.4146341463414634,0.2682926829268293,1,-1,-100,0.8333333333333334
10,26,9,9,1,0.5185185185185185,0.4444444444444444,296,-1,-100,0.875
8,22,3,9,2,0.2631578947368421,0.15789473684210525,82,-1,-100,0.5
2,17,2,3,1,0.7692307692307693,0.46153846153846156,12,4,-100,0.5714285714285714
16,26,8,9,1,0.55,0.25,94,-1,-100,0.8
27,53,15,23,1,0.45652173913043476,0.3695652173913043,37,1,-100,0.8333333333333334
28,40,0,23,1,0.7714285714285715,0.14285714285714285,10,-1,-100,0.875
3,30,1,9,1,0.55,0.25,13,-1,-100,0.0
4,31,1,12,1,0.8148148148148148,0.37037037037037035,4,-1,-100,0.8
15,24,2,10,1,0.5454545454545454,0.18181818181818182,62,-1,-100,0.5555555555555556
4,22,3,7,1,1.0,0.4117647058823529,1,1,-100,0.5
10,10,7,5,1,0.9090909090909091,0.45454545454545453,365,1,-100,0.0
12,27,9,10,1,0.5652173913043478,0.43478260869565216,10,-1,-100,0.7142857142857143
7,16,7,8,2,1.0,0.47058823529411764,28,-1,-100,0.8571428571428571
19,16,7,6,1,0.9444444444444444,0.5555555555555556,10,1,-100,0.6666666666666666
14,26,5,15,1,0.8518518518518519,0.2222222222222222,31,-1,-100,0.7142857142857143
14,28,10,9,1,0.8333333333333334,0.4166666666666667,9,-1,-100,0.7142857142857143
7,26,3,9,1,0.7083333333333334,0.4166666666666667,4,-1,-100,0.8333333333333334
34,30,3,13,2,0.25,0.21428571428571427,10,1,-100,0.875
17,21,4,10,2,0.4090909090909091,0.3181818181818182,87,1,-100,0.0
4,18,3,5,1,1.0,0.5,10,-1,-100,0.0
4,5,1,1,1,1.0,0.8,94,-1,-100,0.8
0,16,4,1,1,1.0,0.46153846153846156,2,1,-100,0.75
14,17,0,6,2,0.7142857142857143,0.2857142857142857,10,-1,-100,0.8333333333333334
10,29,2,9,2,0.30434782608695654,0.34782608695652173,11,-1,-100,0.8333333333333334
27,54,3,19,1,0.9166666666666666,0.3055555555555556,9,-1,-100,0.6666666666666666
11,17,0,2,1,0.6153846153846154,0.23076923076923078,339,-1,-100,0.5
11,20,3,2,1,0.8235294117647058,0.35294117647058826,269,1,-100,0.0
15,41,4,17,2,0.9310344827586207,0.3793103448275862,47,3,-100,0.8571428571428571
2,9,2,3,1,0.875,0.625,10,-1,-100,0.6666666666666666
