hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,9,47,0,2,1.0,1.0,146,2,-100,0.5
0,3,37,1,1,0.875,1.0,132,-1,-100,0.75
0,20,187,2,1,0.44,0.84,5,-1,-100,0.8823529411764706
0,24,235,3,1,0.5,0.8636363636363636,61,-1,-100,0.9117647058823529
1,11,40,0,2,0.6363636363636364,0.9090909090909091,38,-1,-100,0.25
1,7,47,2,1,0.3333333333333333,0.8333333333333334,25,-1,-100,0.6153846153846154
3,37,116,2,1,0.8148148148148148,0.8888888888888888,15,-1,-100,0.6666666666666666
1,18,61,3,1,0.75,0.7916666666666666,200,-1,-100,0.8333333333333334
6,40,106,3,1,0.9782608695652174,0.9565217391304348,32,-1,-100,0.6666666666666666
4,30,96,1,1,0.8461538461538461,0.9487179487179487,58,-1,-100,0.6666666666666666
0,15,18,0,2,0.5833333333333334,0.8333333333333334,25,-1,-100,0.6923076923076923
0,48,31,0,2,0.05,0.975,52,-1,-100,0.8571428571428571
1,9,100,1,1,0.75,0.9,130,-1,-100,0.625
0,3,32,1,1,0.8,1.0,73,1,-100,0.8
3,8,50,4,1,0.2,0.7,145,4,-100,0.875
2,30,32,0,1,0.967741935483871,0.9354838709677419,1,1,-100,0.625
1,19,36,0,2,0.7692307692307693,0.9615384615384616,72,-1,-100,0.7777777777777778
0,20,76,4,2,0.7777777777777778,0.8518518518518519,51,-1,-100,0.7407407407407407
7,65,122,2,1,0.896551724137931,0.9482758620689655,87,-1,-100,0.6153846153846154
0,44,71,2,1,0.9782608695652174,0.9565217391304348,77,-1,-100,0.0
2,6,6,0,1,0.3333333333333333,0.7777777777777778,28,-1,-100,0.782608695652174
9,73,152,7,1,0.9518072289156626,0.9518072289156626,82,-1,-100,0.8333333333333334
1,7,30,1,2,1.0,0.9166666666666666,6,-1,-100,0.0
0,0,49,1,2,0.8333333333333334,1.0,-1,-1,-100,0.6666666666666666
7,7,90,2,1,1.0,0.875,51,-1,-100,0.0
0,1,8,0,1,0.5,1.0,25,-1,-100,0.6666666666666666
0,20,26,1,1,0.3333333333333333,0.9166666666666666,25,-1,-100,0.5
1,41,74,3,1,0.813953488372093,0.8604651162790697,51,-1,-100,0.75
6,11,64,3,2,0.3181818181818182,0.8181818181818182,155,-1,-100,0.8
3,6,296,2,2,0.8235294117647058,1.0,24,-1,-100,0.9285714285714286
10,32,135,5,1,0.43902439024390244,0.8292682926829268,6,3,-100,0.8181818181818182
0,17,101,3,1,1.0,0.8260869565217391,59,-1,-100,0.9230769230769231
0,17,26,0,1,0.85,1.0,36,-1,-100,0.8974358974358975
0,29,46,0,1,0.3611111111111111,1.0,5,-1,-100,0.9583333333333334
1,29,45,4,2,0.2222222222222222,0.9444444444444444,96,-1,-100,0.8
0,18,94,1,1,0.8421052631578947,1.0,5,-1,-100,0.8461538461538461
5,25,56,1,1,0.8125,0.8125,131,-1,-100,0.6363636363636364
0,27,56,0,1,0.3888888888888889,0.9722222222222222,25,-1,-100,0.5714285714285714
1,11,4,1,1,0.6363636363636364,0.5454545454545454,190,-1,-100,0.75
0,11,126,2,2,0.8823529411764706,1.0,62,-1,-100,0.6
1,9,50,2,1,0.6923076923076923,0.7692307692307693,5,-1,-100,0.7777777777777778
5,17,205,1,1,0.9259259259259259,0.8148148148148148,207,-1,-100,0.6666666666666666
2,12,35,2,1,0.6111111111111112,0.6666666666666666,1,-1,-100,0.8888888888888888
1,22,11,0,1,1.0,0.9090909090909091,102,-1,-100,0.5
1,9,26,1,2,0.6923076923076923,0.7692307692307693,33,-1,-100,0.8571428571428571
0,2,1,1,1,0.3333333333333333,0.6666666666666666,91,-1,-100,0.7
4,14,63,0,1,0.5882352941176471,1.0,66,-1,-100,0.8461538461538461
0,12,39,0,1,0.8421052631578947,1.0,113,-1,-100,0.4444444444444444
0,23,111,0,2,0.8484848484848485,0.9393939393939394,15,5,-100,0.6470588235294118
2,20,44,2,2,0.44,0.88,47,-1,-100,0.5
1,5,129,1,1,0.7142857142857143,0.8571428571428571,67,-1,-100,0.7142857142857143
5,44,19,3,1,0.8888888888888888,0.7407407407407407,122,-1,-100,0.6
0,6,15,2,1,0.8,0.6,180,-1,-100,0.4
0,5,22,0,1,0.25,0.875,25,-1,-100,0.8888888888888888
1,21,48,3,1,0.3076923076923077,0.9230769230769231,15,2,-100,0.625
6,12,19,4,1,0.7333333333333333,0.4,51,-1,-100,0.875
1,4,3,1,1,1.0,0.6,104,-1,-100,0.16666666666666666
4,28,110,3,1,0.8421052631578947,0.7631578947368421,45,-1,-100,0.0
8,3,56,1,2,0.375,0.875,25,-1,-100,0.75
2,6,6,0,1,0.8333333333333334,0.5,51,-1,-100,0.5
1,1,0,0,1,0.0,0.0,151,-1,-100,0.5
2,11,11,1,2,0.38461538461538464,0.7692307692307693,15,-1,-100,0.6875
1,26,64,3,2,0.4827586206896552,0.8620689655172413,159,-1,-100,0.7142857142857143
