hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,5,0,3,2,0.0,0.5714285714285714,24,1,-100,0.9197080291970803
1,18,3,4,1,1.0,0.65,47,-1,-100,0.6
0,2,1,0,2,1.0,1.0,331,-1,-100,0.6666666666666666
2,4,2,1,1,0.8,0.8,1,-1,-100,0.5
3,3,0,4,1,0.6,0.0,70,-1,-100,0.0
4,9,2,2,1,0.9,0.6,27,-1,-100,0.5714285714285714
17,17,23,7,2,0.6666666666666666,0.5,15,-1,-100,0.8333333333333334
0,5,4,0,2,0.8,1.0,149,-1,-100,0.7142857142857143
3,11,0,1,1,0.5454545454545454,0.5454545454545454,23,3,-100,0.5
5,13,12,5,2,0.8823529411764706,0.7647058823529411,39,-1,-100,0.8
0,1,4,0,1,0.8333333333333334,1.0,166,-1,-100,0.5
8,13,15,7,1,1.0,0.5333333333333333,12,-1,-100,0.6666666666666666
2,7,1,0,2,1.0,0.75,21,-1,-100,0.6666666666666666
1,9,9,3,1,0.07692307692307693,0.6923076923076923,146,-1,-100,0.6
2,18,3,5,1,0.25,0.6,7,-1,-100,0.75
0,5,8,5,1,1.0,0.5714285714285714,309,-1,-100,0.5
6,9,3,3,1,0.8,0.6666666666666666,77,-1,-100,0.5714285714285714
9,11,3,2,2,0.7857142857142857,0.7142857142857143,119,-1,-100,0.2
4,13,2,0,1,0.0,0.9375,79,-1,-100,0.6666666666666666
0,13,3,1,1,1.0,0.9230769230769231,114,-1,-100,0.6666666666666666
0,5,15,1,1,0.75,1.0,27,-1,-100,0.75
1,10,11,1,2,0.35714285714285715,0.9285714285714286,20,-1,-100,0.6666666666666666
3,16,166,9,2,0.6190476190476191,0.7619047619047619,172,-1,-100,0.6
2,6,3,1,1,0.125,0.75,82,-1,-100,0.9285714285714286
9,39,9,11,1,0.36363636363636365,0.5454545454545454,126,-1,-100,0.9411764705882353
0,31,14,2,1,0.8529411764705882,0.9705882352941176,39,-1,-100,0.8333333333333334
0,13,3,2,2,0.2222222222222222,0.7222222222222222,110,-1,-100,0.8333333333333334
4,16,115,2,1,0.8888888888888888,0.8888888888888888,212,-1,-100,0.5
1,5,83,2,1,0.75,1.0,117,-1,-100,0.75
1,7,1,0,2,1.0,0.875,44,-1,-100,0.0
0,2,16,2,1,0.6,0.8,77,-1,-100,0.75
0,8,7,1,2,0.75,0.9166666666666666,262,-1,-100,0.8
3,11,6,3,2,0.6428571428571429,0.7142857142857143,83,-1,-100,0.8
1,6,22,1,1,0.4444444444444444,0.8888888888888888,47,-1,-100,0.5
9,20,3,6,1,0.9444444444444444,0.6111111111111112,120,-1,-100,0.3333333333333333
0,7,1,0,1,1.0,1.0,83,3,-100,0.8333333333333334
0,19,3,1,2,0.5416666666666666,0.9583333333333334,107,-1,-100,0.5
0,7,4,0,2,1.0,1.0,209,-1,-100,0.6666666666666666
6,9,2,7,1,0.1,0.3,1,-1,-100,0.75
3,11,7,1,1,1.0,0.8461538461538461,173,-1,-100,0.6666666666666666
2,16,5,1,1,0.7857142857142857,0.7857142857142857,144,-1,-100,0.5
0,4,2,0,2,0.2,1.0,117,-1,-100,0.6666666666666666
3,15,4,1,1,0.0,0.75,137,2,-100,0.6666666666666666
8,23,5,4,1,1.0,0.6111111111111112,302,-1,-100,0.8125
1,8,2,1,1,1.0,0.875,301,-1,-100,0.0
0,3,6,0,1,1.0,1.0,68,-1,-100,0.8333333333333334
4,17,29,9,1,0.4230769230769231,0.6538461538461539,69,-1,-100,0.8333333333333334
7,48,130,6,1,0.9423076923076923,0.8461538461538461,79,-1,-100,0.9411764705882353
2,49,18,6,1,0.9607843137254902,0.803921568627451,28,-1,-100,0.85
0,6,15,1,2,0.6,0.9,135,-1,-100,0.896551724137931
0,6,4,0,1,0.14285714285714285,1.0,50,-1,-100,0.9111111111111111
7,56,13,3,1,0.9830508474576272,0.9491525423728814,224,-1,-100,0.75
1,11,6,1,1,0.3333333333333333,0.75,98,-1,-100,0.8260869565217391
0,34,17,6,1,0.9743589743589743,0.8717948717948718,40,-1,-100,0.7931034482758621
9,65,56,14,2,0.7285714285714285,0.6714285714285714,151,-1,-100,0.8888888888888888
