hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
4,2,0,1,2,1.0,0.8,13,-1,-100,0.75
1,2,0,0,1,1.0,0.75,1,-1,-100,0.6666666666666666
0,1,0,2,1,0.7,0.9,13,-1,-100,0.0
7,13,0,12,1,1.0,0.1875,15,2,-100,0.6
4,5,0,1,1,1.0,0.6,9,-1,-100,0.6
0,5,0,0,2,0.8,0.7333333333333333,21,-1,-100,0.0
0,0,0,0,2,0.5,1.0,-1,-1,-100,0.0
1,0,0,0,1,0.5,1.0,-1,-1,-100,0.0
4,1,0,0,1,0.9,0.9,19,-1,-100,0.6666666666666666
0,1,0,1,1,0.8,0.9,8,-1,-100,0.5
1,1,0,0,1,0.8571428571428571,0.9285714285714286,20,-1,-100,0.5
0,1,0,1,1,1.0,0.8,6,-1,-100,0.3333333333333333
1,0,0,2,1,0.6666666666666666,1.0,-1,-1,-100,0.5
0,0,1,2,1,1.0,1.0,-1,-1,-100,0.75
0,4,0,1,1,1.0,0.8666666666666667,4,-1,-100,0.75
1,1,0,1,2,0.9090909090909091,0.9090909090909091,8,-1,-100,0.75
0,0,0,4,1,1.0,1.0,-1,-1,-100,0.5
0,2,0,2,1,0.8333333333333334,0.8333333333333334,8,-1,-100,0.75
0,0,0,1,1,0.8333333333333334,1.0,-1,-1,-100,0.8
0,1,0,1,2,0.8333333333333334,1.0,4,1,-100,0.8571428571428571
2,2,0,0,1,0.9090909090909091,0.9090909090909091,4,-1,-100,0.75
0,0,0,2,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,2,1,0.8181818181818182,0.9090909090909091,5,-1,-100,0.625
1,2,5,0,1,0.6818181818181818,0.9545454545454546,9,-1,-100,0.8333333333333334
0,1,1,3,2,0.4375,1.0,4,-1,-100,0.8
2,1,0,0,1,1.0,0.8571428571428571,11,-1,-100,0.5
1,2,0,2,1,0.7272727272727273,0.9090909090909091,3,-1,-100,0.7142857142857143
2,4,0,0,1,0.6923076923076923,0.7692307692307693,7,-1,-100,0.42857142857142855
3,2,0,1,1,0.85,0.95,26,-1,-100,0.6666666666666666
3,1,0,0,2,0.8888888888888888,0.8888888888888888,17,-1,-100,0.6666666666666666
0,1,0,0,1,0.14285714285714285,1.0,4,1,-100,0.0
