hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,1,0,0,1,1.0,1.0,11,-1,-100,0.5
53,4,2,0,1,0.9661016949152542,0.9830508474576272,4,-1,-100,0.5714285714285714
0,1,0,0,1,1.0,1.0,1,-1,-100,0.6875
0,1,0,0,2,1.0,1.0,1,-1,-100,0.5
0,3,0,0,1,1.0,1.0,1,-1,-100,0.5
0,2,0,0,1,1.0,1.0,1,-1,-100,0.8181818181818182
0,1,0,0,2,1.0,1.0,1,-1,-100,0.5
0,1,0,0,1,1.0,1.0,1,-1,-100,0.5
2,6,0,1,2,1.0,0.8333333333333334,2,-1,-100,0.7857142857142857
4,3,0,0,2,1.0,1.0,1,2,-100,0.7692307692307693
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.8
0,8,0,1,1,1.0,0.7777777777777778,8,3,-100,0.5555555555555556
1,2,2,0,1,0.9629629629629629,0.9629629629629629,1,-1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,2,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
2,2,0,1,1,1.0,0.6666666666666666,16,1,-100,0.6666666666666666
1,2,1,6,1,0.875,0.875,13,1,-100,0.5
0,1,0,0,2,1.0,1.0,1,1,-100,0.6666666666666666
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,2,1.0,1.0,1,1,-100,0.0
0,1,0,0,2,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.75
1,5,2,1,1,0.14285714285714285,1.0,15,4,-100,0.6666666666666666
0,4,0,0,1,0.75,1.0,4,1,-100,0.5
0,13,0,1,1,0.9523809523809523,1.0,4,4,-100,0.8571428571428571
0,1,0,0,2,1.0,1.0,1,1,-100,0.25
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
1,1,0,0,1,0.5,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.4166666666666667
0,1,0,0,2,1.0,1.0,1,1,-100,0.5
0,1,0,0,1,1.0,1.0,1,1,-100,0.0
0,1,0,0,1,1.0,1.0,1,1,-100,0.5
0,1,0,0,1,1.0,1.0,1,1,-100,0.5
