hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
4,1,0,0,1,1.0,0.5,29,-1,-100,0.0
0,1,0,0,2,1.0,1.0,41,-1,-100,0.5
0,6,0,0,2,0.6666666666666666,1.0,25,-1,-100,0.0
0,0,0,0,1,0.5,1.0,-1,-1,-100,0.0
0,4,0,0,2,0.5714285714285714,1.0,19,-1,-100,0.625
0,2,1,0,1,0.6,1.0,16,-1,-100,0.6666666666666666
3,13,5,2,1,0.30434782608695654,0.9130434782608695,32,-1,-100,0.8333333333333334
0,8,1,0,1,0.4444444444444444,1.0,1,1,-100,0.5
0,1,0,0,2,0.0,1.0,1,1,-100,0.6666666666666666
2,4,0,0,2,0.3333333333333333,0.6666666666666666,1,1,-100,0.5
0,1,0,0,1,1.0,1.0,1,-1,-100,0.0
0,2,0,0,1,0.0,1.0,1,5,-100,0.8333333333333334
0,13,0,1,1,1.0,1.0,16,-1,-100,0.8
0,2,0,0,1,1.0,1.0,48,-1,-100,0.6
0,7,0,0,2,0.5714285714285714,1.0,1,1,-100,0.5
0,2,0,0,2,0.0,1.0,1,2,-100,0.8333333333333334
0,10,1,0,1,0.8235294117647058,0.9411764705882353,1,2,-100,0.5
0,5,0,0,1,0.7,1.0,1,1,-100,0.7777777777777778
0,14,1,1,1,0.55,1.0,5,2,-100,0.5
0,2,0,0,1,0.875,1.0,1,-1,-100,0.45454545454545453
0,22,0,0,1,0.9142857142857143,1.0,1,-1,-100,0.6
0,9,2,0,2,0.16666666666666666,1.0,3,-1,-100,0.0
0,1,0,0,1,0.0,1.0,1,1,-100,0.6666666666666666
0,3,0,1,1,0.5714285714285714,1.0,16,-1,-100,0.8181818181818182
0,18,0,2,1,0.7,1.0,5,-1,-100,0.75
0,13,0,0,1,0.4117647058823529,1.0,3,5,-100,0.5
0,2,0,0,2,0.3333333333333333,1.0,5,2,-100,0.8
1,6,0,1,1,1.0,0.7,18,5,-100,0.0
0,21,0,0,1,0.92,1.0,3,2,-100,0.6
7,6,0,0,1,0.7,0.9,5,-1,-100,0.8571428571428571
0,11,1,0,2,0.7391304347826086,1.0,3,-1,-100,0.9090909090909091
