hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,4,0,2,2,0.8,0.8,8,3,-100,0.0
0,2,0,1,2,1.0,0.6,1,1,-100,0.5
0,1,0,0,1,1.0,0.0,1,1,-100,0.5
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.5
0,0,0,3,2,0.8571428571428571,1.0,-1,-1,-100,0.5
0,0,0,0,1,0.4,1.0,-1,-1,-100,0.38461538461538464
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,9,2,8,2,0.5454545454545454,0.36363636363636365,7,-1,-100,0.0
0,4,0,0,1,0.8,1.0,4,-1,-100,0.0
0,1,0,0,1,0.0,1.0,2,-1,-100,0.25
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,1,0,2,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,2,1.0,1.0,3,2,-100,0.5
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,1,1.0,1.0,6,-1,-100,0.0
