hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
10,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
3,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
6,4,0,1,1,1.0,0.5,20,-1,-100,0.3333333333333333
12,0,0,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
6,0,0,3,1,0.8,1.0,-1,-1,-100,0.5
9,2,0,2,1,1.0,0.8,20,-1,-100,0.0
14,0,0,2,1,1.0,1.0,-1,-1,-100,0.0
8,1,0,2,1,1.0,1.0,14,-1,-100,0.0
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.0
4,1,0,0,1,1.0,0.6666666666666666,15,-1,-100,0.0
1,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
3,0,0,1,2,1.0,1.0,-1,-1,-100,0.5
3,0,0,1,1,0.5,1.0,-1,-1,-100,0.5
4,0,0,0,2,1.0,1.0,-1,-1,-100,0.75
8,4,0,1,1,1.0,0.2,16,-1,-100,0.6666666666666666
8,3,0,1,2,1.0,0.5714285714285714,1,-1,-100,0.6666666666666666
5,3,0,1,1,1.0,0.4,17,-1,-100,0.5
2,0,0,1,1,0.0,1.0,-1,-1,-100,0.8
16,2,1,1,2,0.7777777777777778,0.8888888888888888,4,-1,-100,0.8
8,4,0,0,1,1.0,0.2,11,-1,-100,0.75
22,15,0,1,1,1.0,0.18181818181818182,4,-1,-100,0.8571428571428571
1,1,0,1,1,0.0,1.0,19,-1,-100,0.5
