hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
3,8,4,1,1,0.7272727272727273,0.8636363636363636,78,-1,-100,0.8333333333333334
4,11,6,3,1,0.9523809523809523,0.6190476190476191,99,-1,-100,0.0
0,1,1,1,1,0.625,0.875,6,-1,-100,0.7333333333333333
4,11,13,1,2,0.8928571428571429,0.8571428571428571,85,-1,-100,0.8888888888888888
8,13,8,3,2,0.5714285714285714,0.6857142857142857,51,-1,-100,0.875
0,2,1,1,1,0.5,0.5,180,-1,-100,0.7777777777777778
12,10,0,3,1,0.75,0.625,133,-1,-100,0.7142857142857143
0,7,3,3,2,0.38461538461538464,0.46153846153846156,187,-1,-100,0.9090909090909091
3,5,1,3,1,0.16666666666666666,0.5,1,-1,-100,0.75
2,2,1,1,2,1.0,0.8571428571428571,231,-1,-100,0.8571428571428571
1,2,1,1,1,1.0,0.75,261,-1,-100,0.5
5,4,0,2,1,0.8,0.8,237,-1,-100,0.6666666666666666
5,2,1,0,1,0.0,0.5,237,-1,-100,0.7777777777777778
0,9,5,5,1,0.9333333333333333,0.6,151,-1,-100,0.5
1,3,0,2,1,0.5714285714285714,0.5714285714285714,168,-1,-100,0.9
14,21,5,8,1,0.8,0.6571428571428571,82,-1,-100,0.8181818181818182
0,1,0,0,1,0.3333333333333333,1.0,163,-1,-100,0.0
0,1,0,0,1,1.0,0.5,78,-1,-100,0.75
4,5,2,1,1,0.7857142857142857,0.6428571428571429,14,-1,-100,0.6666666666666666
6,10,5,6,2,0.9411764705882353,0.4117647058823529,218,-1,-100,0.6666666666666666
0,1,6,1,1,0.5555555555555556,0.8888888888888888,127,-1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
0,1,3,2,2,1.0,0.8,186,-1,-100,0.3333333333333333
0,1,5,1,2,0.38461538461538464,1.0,109,-1,-100,0.6666666666666666
0,2,3,0,1,1.0,1.0,65,-1,-100,0.5
0,4,1,1,1,0.45454545454545453,0.8181818181818182,5,-1,-100,0.0
0,4,3,0,1,1.0,1.0,65,5,-100,0.9090909090909091
3,1,1,1,1,1.0,0.6666666666666666,227,-1,-100,0.5
6,0,2,1,1,1.0,1.0,-1,-1,-100,0.8
0,0,3,0,2,1.0,1.0,-1,-1,-100,0.75
0,0,1,0,1,0.6666666666666666,1.0,-1,-1,-100,0.75
5,12,6,1,1,0.8125,0.75,53,-1,-100,0.8571428571428571
0,0,1,0,1,0.3333333333333333,1.0,-1,-1,-100,0.6666666666666666
11,4,2,4,2,0.5,0.7142857142857143,30,-1,-100,0.6
4,10,2,2,1,0.6666666666666666,0.5,38,-1,-100,0.6666666666666666
3,7,2,4,1,0.7,0.4,37,-1,-100,0.7777777777777778
0,1,0,0,1,0.3333333333333333,0.6666666666666666,226,-1,-100,0.8
0,6,1,0,1,0.7142857142857143,0.8571428571428571,19,-1,-100,0.625
15,17,4,11,2,0.5,0.6944444444444444,63,-1,-100,0.7142857142857143
14,8,0,1,1,0.26666666666666666,0.6666666666666666,19,-1,-100,0.5
7,6,1,3,1,0.6666666666666666,0.5833333333333334,5,-1,-100,0.8
0,6,0,4,1,0.6666666666666666,0.5,85,-1,-100,0.8461538461538461
3,18,0,5,2,0.9565217391304348,0.6086956521739131,19,-1,-100,0.6666666666666666
3,8,1,1,2,0.75,0.5,164,-1,-100,0.5
14,10,1,4,1,1.0,0.5384615384615384,5,-1,-100,0.7142857142857143
5,5,3,1,1,0.5625,0.75,59,-1,-100,0.6666666666666666
4,13,8,2,1,0.5789473684210527,0.8421052631578947,144,-1,-100,0.75
5,11,0,1,1,0.8,0.6666666666666666,184,1,-100,0.8
6,1,1,0,2,0.5,0.8333333333333334,162,-1,-100,0.7142857142857143
9,14,4,2,2,0.6363636363636364,0.5,8,-1,-100,0.8571428571428571
11,7,3,2,1,0.7777777777777778,0.6111111111111112,117,-1,-100,0.7272727272727273
2,12,4,0,1,0.631578947368421,0.6842105263157895,234,-1,-100,0.75
13,15,6,1,1,0.19047619047619047,0.47619047619047616,41,-1,-100,0.8
10,21,3,2,1,0.35294117647058826,0.6764705882352942,39,-1,-100,0.5
10,11,2,0,2,0.6666666666666666,0.8095238095238095,65,-1,-100,0.6666666666666666
12,7,0,2,2,0.5833333333333334,0.5,157,-1,-100,0.5
6,6,5,0,1,0.2857142857142857,0.7142857142857143,5,-1,-100,0.75
0,7,1,1,1,0.5555555555555556,0.3333333333333333,153,-1,-100,0.3333333333333333
0,7,2,2,1,0.5,0.5,33,-1,-100,0.6
2,5,0,3,2,0.3333333333333333,0.6666666666666666,27,-1,-100,0.3333333333333333
4,6,2,2,2,0.4166666666666667,0.5,24,-1,-100,0.5
0,4,2,1,1,0.8333333333333334,0.5,19,-1,-100,0.5
0,2,2,2,1,0.4,0.6,225,-1,-100,0.0
5,6,1,0,1,0.8571428571428571,0.8571428571428571,9,-1,-100,0.8
3,8,1,1,2,0.9230769230769231,0.5384615384615384,34,-1,-100,0.6666666666666666
3,5,0,2,2,0.46153846153846156,0.8461538461538461,19,-1,1,0.8
6,7,5,3,1,0.5,0.6428571428571429,19,-1,-100,0.6
6,15,2,3,1,0.7307692307692307,0.7692307692307693,9,4,-100,0.625
0,3,0,0,1,0.6666666666666666,0.6666666666666666,91,4,-100,0.75
0,0,0,0,2,0.5,1.0,-1,-1,-100,0.6666666666666666
4,2,0,0,1,0.7142857142857143,0.7142857142857143,6,-1,-100,0.5
4,0,3,0,1,0.5,1.0,-1,-1,-100,0.0
2,0,0,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
2,5,0,2,1,0.7777777777777778,0.5555555555555556,99,-1,-100,0.3333333333333333
3,4,0,1,2,1.0,0.75,262,-1,-100,0.0
0,5,2,0,1,1.0,0.5714285714285714,29,-1,-100,0.8
1,7,1,3,1,0.8333333333333334,0.5833333333333334,142,-1,-100,0.2
0,6,0,3,1,0.9,0.5,49,-1,-100,0.5
2,4,0,4,2,0.6363636363636364,0.6363636363636364,23,-1,1,0.6666666666666666
7,2,0,1,1,0.6,0.8,19,-1,-100,0.5
