hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,6,0,0,1,0.6666666666666666,1.0,17,3,-100,0.8333333333333334
0,1,0,1,2,1.0,0.0,20,-1,-100,0.0
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.4
0,10,0,0,1,0.23529411764705882,1.0,6,-1,-100,0.5
7,2,0,1,1,1.0,0.0,1,-1,-100,0.0
0,1,0,0,2,0.0,1.0,8,2,-100,0.5
0,3,0,0,2,1.0,1.0,5,1,-100,0.6666666666666666
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
0,2,0,0,1,1.0,1.0,8,2,-100,0.5
24,7,0,4,1,0.6666666666666666,0.0,8,-1,-100,0.875
7,10,5,4,1,0.5,0.7,8,2,-100,0.5
0,2,0,0,1,0.0,1.0,19,-1,-100,0.5
3,4,0,1,1,0.5,0.75,3,-1,-100,0.8
0,0,1,0,1,0.0,1.0,-1,-1,-100,0.5
