hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.8571428571428571
1,9,0,1,1,0.05263157894736842,0.7894736842105263,10,-1,-100,0.8
1,4,0,1,1,0.2,0.8,70,-1,-100,0.3333333333333333
1,2,1,1,1,0.5714285714285714,0.8571428571428571,35,-1,-100,0.8571428571428571
1,9,0,2,1,0.21052631578947367,0.9473684210526315,22,-1,-100,0.6666666666666666
1,3,0,1,1,0.75,0.875,26,-1,-100,0.8
1,12,0,1,1,0.35714285714285715,0.8928571428571429,7,-1,-100,0.6666666666666666
0,2,0,0,1,0.09090909090909091,0.9090909090909091,46,2,-100,0.5
1,2,0,0,1,0.6666666666666666,0.6666666666666666,4,-1,-100,0.8
0,8,0,0,2,0.8666666666666667,1.0,62,1,-100,0.6
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.45454545454545453
1,1,0,0,1,0.25,1.0,4,-1,-100,0.0
0,1,0,0,1,0.3333333333333333,0.9166666666666666,1,-1,-100,0.0
0,2,0,0,1,0.5,1.0,4,-1,-100,0.25
2,1,0,0,2,1.0,0.75,39,-1,-100,0.6666666666666666
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.6
1,3,0,0,1,0.7142857142857143,0.8571428571428571,40,-1,-100,0.0
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,1,1,1,0.5,0.5,20,-1,-100,0.3333333333333333
2,7,0,1,1,0.2857142857142857,0.7142857142857143,56,-1,-100,0.5
1,1,0,1,2,1.0,0.5,7,-1,-100,0.8
0,1,0,0,1,1.0,1.0,50,-1,-100,0.0
0,5,1,1,1,0.7,1.0,4,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,3,0,0,1,0.6,1.0,35,-1,-100,0.0
1,2,0,0,1,1.0,0.75,55,-1,-100,0.6666666666666666
0,3,0,0,1,1.0,1.0,10,-1,-100,0.0
0,2,0,1,1,1.0,0.8333333333333334,64,-1,-100,0.25
0,5,0,0,2,1.0,0.42857142857142855,11,-1,-100,0.8
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.8
1,4,0,0,1,0.5,1.0,26,-1,-100,0.0
0,5,0,0,1,1.0,1.0,4,1,-100,0.6
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
1,1,0,1,1,1.0,0.0,53,-1,-100,0.0
1,1,0,1,1,1.0,0.0,29,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,1,0,1,0.3333333333333333,1.0,-1,-1,-100,0.0
3,2,0,1,2,0.6,0.8,54,2,-100,0.0
0,1,0,0,1,0.75,1.0,30,-1,-100,0.0
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,15,0,0,1,1.0,0.8888888888888888,10,-1,-100,0.5
1,4,0,0,1,0.14285714285714285,1.0,60,2,-100,0.8
