hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,1,0,0,1,0.0,1.0,55,-1,-100,0.0
1,2,0,0,1,0.6666666666666666,1.0,19,3,-100,0.8
0,2,0,0,1,1.0,1.0,3,-1,-100,0.0
0,6,0,0,1,0.0,0.75,61,-1,-100,0.6666666666666666
0,7,0,0,2,0.7272727272727273,1.0,17,-1,-100,0.6666666666666666
0,8,0,0,1,0.25,1.0,16,-1,-100,0.5
0,9,0,0,1,0.9230769230769231,1.0,11,-1,-100,0.75
0,6,0,0,2,1.0,1.0,11,-1,-100,0.9
0,3,0,0,1,1.0,1.0,25,1,-100,0.3333333333333333
0,0,0,0,1,0.6666666666666666,1.0,-1,-1,-100,0.25
0,4,0,0,1,0.5714285714285714,1.0,19,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,2,0,0,1,1.0,1.0,23,-1,-100,0.8
11,2,0,0,1,0.8666666666666667,0.9333333333333333,56,-1,-100,0.0
0,2,0,0,2,0.3333333333333333,1.0,23,2,-100,0.6666666666666666
0,4,0,0,1,0.5,1.0,17,-1,-100,0.6666666666666666
0,2,0,0,1,0.3333333333333333,1.0,11,-1,-100,0.8
0,2,0,0,1,0.2,1.0,21,-1,-100,0.0
0,0,1,0,2,1.0,1.0,-1,-1,-100,0.3333333333333333
0,9,1,0,1,0.7142857142857143,1.0,12,2,-100,0.5
2,9,0,0,2,1.0,0.9166666666666666,12,-1,-100,0.75
0,22,0,0,2,0.7692307692307693,0.9230769230769231,21,2,-100,0.6666666666666666
1,1,0,0,1,0.5,1.0,12,-1,-100,0.0
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.0
3,6,0,0,1,0.3333333333333333,1.0,8,-1,-100,0.4
2,8,0,0,1,0.8,0.9,21,-1,-100,0.0
1,2,0,0,1,0.3333333333333333,1.0,11,-1,-100,0.5
1,6,0,0,2,0.1,1.0,11,1,-100,0.5
0,13,0,0,1,0.6923076923076923,1.0,18,1,-100,0.75
