hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,3,0,0,2,0.8,1.0,27,-1,-100,0.6666666666666666
0,3,0,1,1,0.6363636363636364,0.9090909090909091,28,-1,-100,0.6
3,18,3,1,1,0.75,0.8571428571428571,8,1,-100,0.0
2,8,4,10,2,0.5,0.7916666666666666,16,-1,-100,0.8333333333333334
0,18,2,2,2,0.5217391304347826,0.8695652173913043,1,-1,-100,0.8333333333333334
1,5,0,2,1,0.7333333333333333,0.8,25,-1,-100,0.7692307692307693
0,22,1,2,1,0.4878048780487805,0.975609756097561,6,-1,-100,0.6
0,9,3,0,1,0.6818181818181818,1.0,13,-1,-100,0.7777777777777778
0,2,1,3,1,0.5,0.8888888888888888,5,-1,-100,0.875
0,11,3,2,2,0.48484848484848486,0.7878787878787878,9,-1,-100,0.6666666666666666
2,15,5,3,2,0.5,0.8947368421052632,12,-1,-100,0.7142857142857143
0,2,2,0,1,0.3333333333333333,1.0,18,1,-100,0.75
1,7,0,0,1,0.4,1.0,24,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,13,2,0,2,0.7142857142857143,0.9285714285714286,19,-1,-100,0.6666666666666666
0,5,1,0,1,0.7857142857142857,0.9285714285714286,1,-1,-100,0.5
0,2,1,0,1,0.8571428571428571,1.0,12,-1,-100,0.3333333333333333
0,0,0,0,1,0.375,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.5,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.5,1.0,-1,-1,-100,0.4
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
