hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,0,1,1,2,1.0,1.0,-1,-1,-100,0.0
1,4,2,2,1,0.25,0.75,5,2,-100,0.3333333333333333
0,1,1,1,1,0.5,0.5,6,2,-100,0.75
3,8,2,3,2,0.6,0.2,6,-1,-100,0.6666666666666666
1,1,1,1,2,0.5,0.5,6,2,-100,0.0
0,1,0,1,1,1.0,0.0,4,-1,-100,0.0
0,0,1,0,1,0.0,1.0,-1,-1,-100,0.0
0,3,3,0,1,0.3333333333333333,1.0,1,1,-100,0.0
0,1,2,0,1,1.0,1.0,1,-1,-100,0.0
2,1,0,0,2,0.5,1.0,1,-1,-100,0.6666666666666666
3,2,1,0,1,0.6666666666666666,1.0,2,-1,-100,0.0
