hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,1,0,0,2,1.0,1.0,16,-1,-100,0.75
0,1,0,0,1,1.0,1.0,10,-1,-100,0.3333333333333333
0,0,0,0,1,0.5,1.0,-1,-1,-100,0.8
0,2,0,1,1,0.6666666666666666,1.0,6,-1,-100,0.5
0,0,0,0,1,0.8378378378378378,1.0,-1,-1,-100,0.0
0,0,0,0,2,0.3333333333333333,1.0,-1,-1,-100,0.75
0,0,0,0,1,0.8,1.0,-1,-1,-100,0.2
0,1,0,0,1,0.4375,1.0,9,-1,-100,0.6666666666666666
0,2,0,0,1,0.16666666666666666,1.0,6,-1,-100,0.5
0,1,0,0,1,1.0,1.0,11,4,-100,0.8
0,8,0,0,1,1.0,1.0,11,-1,-100,0.5
0,2,0,0,1,0.0,1.0,17,-1,-100,0.7142857142857143
0,8,0,0,2,0.5555555555555556,0.5555555555555556,10,2,-100,0.5
0,2,0,0,2,1.0,0.5,7,-1,-100,0.0
0,4,0,0,1,1.0,0.8,8,3,-100,0.0
0,1,0,0,1,1.0,0.0,8,-1,-100,0.3333333333333333
0,1,0,0,1,1.0,1.0,14,3,-100,0.8
0,1,0,0,1,0.0,0.0,19,-1,-100,0.0
0,4,0,0,1,0.25,0.25,22,1,-100,0.0
0,1,0,0,2,0.0,0.0,5,1,-100,0.0
0,3,0,1,1,0.375,1.0,14,3,-100,0.0
0,1,0,0,1,0.5,1.0,20,-1,-100,0.8
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
1,0,0,0,1,0.5,1.0,-1,-1,-100,0.0
0,1,0,0,2,1.0,1.0,13,-1,-100,0.75
6,2,0,0,1,0.95,0.95,3,-1,-100,0.75
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,1,0.5
0,2,0,0,1,1.0,1.0,1,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,2,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
0,2,0,0,1,0.0,1.0,14,-1,-100,0.3333333333333333
0,1,0,0,1,0.0,1.0,13,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,1,1,0.3333333333333333,0.6666666666666666,5,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.75,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.5
0,1,0,1,2,1.0,0.0,5,1,-100,0.0
0,0,1,0,1,1.0,1.0,-1,-1,1,0.0
