hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,1,2,0.0,1.0,-1,-1,-100,0.0
1,0,0,1,1,0.5,1.0,-1,-1,-100,0.0
1,0,0,1,1,0.5,1.0,-1,-1,-100,0.0
0,0,0,1,2,1.0,1.0,-1,-1,-100,0.0
3,0,1,2,1,0.5,1.0,-1,-1,-100,0.5
4,0,0,1,2,0.5,1.0,-1,-1,-100,0.0
3,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
2,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
2,0,0,1,2,0.0,1.0,-1,-1,-100,0.5
3,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
1,0,0,1,1,1.0,1.0,-1,-1,-100,0.5
4,0,0,3,1,0.75,1.0,-1,-1,-100,0.6666666666666666
3,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
3,2,2,1,1,0.6,1.0,8,-1,-100,0.0
2,0,0,1,2,1.0,1.0,-1,-1,-100,0.0
2,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
1,0,3,1,1,1.0,1.0,-1,-1,-100,0.0
2,0,1,2,2,1.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
1,0,1,1,1,1.0,1.0,-1,-1,-100,0.0
2,0,0,1,1,1.0,1.0,-1,-1,-100,0.5
3,0,1,1,1,1.0,1.0,-1,-1,-100,0.0
6,0,2,1,1,0.5,1.0,-1,-1,-100,0.5
2,1,1,1,1,0.3333333333333333,1.0,11,-1,-100,0.0
0,1,1,0,2,1.0,1.0,6,2,-100,0.0
1,0,1,1,1,1.0,1.0,-1,-1,-100,0.0
2,0,4,1,1,1.0,1.0,-1,-1,-100,0.8571428571428571
3,1,6,2,1,1.0,1.0,1,-1,-100,0.0
0,0,1,1,1,1.0,1.0,-1,-1,-100,0.0
0,4,2,0,2,1.0,1.0,3,-1,-100,0.5
0,1,0,1,1,0.5,1.0,3,-1,-100,0.0
0,0,1,1,1,1.0,1.0,-1,-1,-100,0.0
0,1,1,0,1,1.0,1.0,14,-1,-100,0.75
2,1,0,1,1,1.0,1.0,5,-1,-100,0.75
2,0,1,1,1,0.0,1.0,-1,-1,-100,0.6666666666666666
5,3,16,2,2,1.0,1.0,6,-1,-100,0.5
3,0,9,2,1,1.0,1.0,-1,-1,-100,0.5
0,0,14,2,2,1.0,1.0,-1,-1,-100,0.5
2,0,1,1,1,1.0,1.0,-1,-1,-100,0.0
1,0,0,1,2,1.0,1.0,-1,-1,-100,0.0
1,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,1,1.0,1.0,3,1,-100,0.5
2,7,16,5,1,0.6666666666666666,1.0,5,5,-100,0.5
0,1,1,1,2,1.0,1.0,2,-1,-100,0.0
1,0,0,1,1,1.0,1.0,-1,-1,-100,0.5
1,2,0,0,1,0.0,0.0,12,4,-100,0.6666666666666666
1,6,8,1,1,0.6666666666666666,0.8333333333333334,12,3,-100,0.8333333333333334
0,0,6,1,1,1.0,1.0,-1,-1,-100,0.5
1,0,0,1,2,1.0,1.0,-1,-1,-100,0.6666666666666666
3,0,14,2,1,1.0,1.0,-1,-1,-100,0.5
3,1,0,2,1,1.0,0.5,4,-1,-100,0.6666666666666666
0,4,15,2,2,1.0,1.0,6,-1,-100,0.0
