hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
30,0,0,0,1,0.4166666666666667,1.0,-1,-1,-100,0.0
24,0,1,0,1,0.4444444444444444,1.0,-1,-1,-100,0.8
30,0,0,0,2,0.75,1.0,-1,-1,-100,0.0
27,0,1,0,1,0.3,1.0,-1,-1,-100,0.0
30,0,0,0,1,0.4166666666666667,1.0,-1,-1,-100,0.0
18,0,1,0,1,1.0,1.0,-1,-1,-100,0.75
23,0,0,0,1,0.2222222222222222,1.0,-1,-1,-100,0.5
24,0,0,0,1,0.3,1.0,-1,-1,-100,0.3333333333333333
28,0,0,0,1,0.6666666666666666,1.0,-1,-1,-100,0.0
28,0,1,0,1,0.45454545454545453,1.0,-1,-1,-100,0.0
28,0,0,0,1,0.45454545454545453,1.0,-1,-1,-100,0.0
26,0,2,0,1,0.6,1.0,-1,-1,-100,0.5
27,0,2,0,1,1.0,1.0,-1,-1,-100,0.0
26,0,0,0,2,0.45454545454545453,1.0,-1,-1,-100,0.5
27,0,2,0,1,1.0,1.0,-1,-1,-100,0.75
31,0,0,0,1,0.45454545454545453,1.0,-1,-1,-100,0.5
15,0,0,0,1,0.8333333333333334,1.0,-1,-1,-100,0.6666666666666666
21,0,0,0,1,0.6428571428571429,1.0,-1,-1,-100,0.6666666666666666
20,0,0,0,2,0.6,1.0,-1,-1,-100,0.0
24,0,0,0,1,0.8666666666666667,1.0,-1,-1,-100,0.8888888888888888
28,0,0,0,1,0.9,1.0,-1,-1,-100,0.0
26,0,0,0,1,0.6,1.0,-1,-1,-100,0.0
23,0,0,0,1,0.8888888888888888,1.0,-1,-1,-100,0.5
30,0,0,0,1,0.2727272727272727,1.0,-1,-1,-100,0.25
26,0,0,0,1,0.6363636363636364,1.0,-1,-1,-100,0.0
32,0,0,0,1,0.6666666666666666,1.0,-1,-1,-100,0.6666666666666666
27,0,0,0,2,0.5,1.0,-1,-1,-100,0.6666666666666666
33,0,0,0,1,0.782608695652174,1.0,-1,-1,-100,0.75
36,0,0,0,1,0.46153846153846156,1.0,-1,-1,-100,0.5
28,0,0,0,2,0.6153846153846154,1.0,-1,-1,-100,0.0
13,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
27,0,0,0,1,0.25,1.0,-1,-1,-100,0.25
38,0,2,0,2,0.42857142857142855,1.0,-1,-1,-100,0.0
33,0,0,0,1,0.15384615384615385,1.0,-1,-1,-100,0.0
19,0,0,0,2,0.625,1.0,-1,-1,-100,0.6666666666666666
16,0,0,0,1,0.2222222222222222,1.0,-1,-1,-100,0.0
27,0,2,0,2,0.6,1.0,-1,-1,-100,0.5
28,0,0,0,2,0.5,1.0,-1,-1,-100,0.0
26,1,0,0,1,0.19047619047619047,0.9523809523809523,1,-1,-100,0.0
20,0,0,0,1,0.5714285714285714,1.0,-1,-1,-100,0.0
7,0,0,0,1,0.3333333333333333,1.0,-1,-1,-100,0.0
28,0,1,0,2,0.5,1.0,-1,-1,-100,0.0
13,0,0,0,2,0.4,1.0,-1,-1,-100,0.6666666666666666
29,0,0,0,1,0.8181818181818182,1.0,-1,-1,-100,0.0
18,0,1,0,2,0.6666666666666666,1.0,-1,-1,-100,0.0
26,0,0,0,1,0.6666666666666666,1.0,-1,-1,-100,0.0
28,0,0,0,1,0.2,1.0,-1,-1,-100,0.5
34,0,2,0,2,0.5714285714285714,1.0,-1,-1,-100,0.0
19,0,0,0,1,0.7142857142857143,1.0,-1,-1,-100,0.0
25,0,0,0,2,0.5555555555555556,1.0,-1,-1,-100,0.6
20,0,0,0,2,0.9545454545454546,1.0,-1,-1,-100,0.5
16,0,0,0,1,0.42857142857142855,1.0,-1,-1,-100,0.0
15,0,1,0,1,0.8888888888888888,1.0,-1,-1,-100,0.6666666666666666
29,0,0,0,1,0.45454545454545453,1.0,-1,-1,-100,0.5
19,0,0,0,2,0.375,1.0,-1,-1,-100,0.0
28,0,1,0,2,0.4,1.0,-1,-1,-100,0.0
28,0,1,0,1,0.14285714285714285,1.0,-1,-1,-100,0.0
28,2,5,0,2,0.42857142857142855,1.0,2,-1,-100,0.0
15,0,0,0,1,0.5,1.0,-1,-1,-100,0.5
30,0,1,0,2,0.36363636363636365,1.0,-1,-1,-100,0.0
