hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,7,0,0,1,1.0,1.0,14,-1,-100,0.6666666666666666
0,5,13,3,2,0.5833333333333334,0.8333333333333334,8,-1,-100,0.6666666666666666
2,6,8,1,2,0.6666666666666666,0.9333333333333333,4,-1,-100,0.0
0,1,2,2,1,0.7142857142857143,1.0,6,-1,-100,0.5
2,1,3,1,1,1.0,0.75,4,-1,-100,0.0
2,3,6,5,1,0.6666666666666666,0.6666666666666666,1,-1,-100,0.0
0,1,0,0,1,1.0,0.75,5,-1,-100,0.5
0,0,10,1,2,0.8,1.0,-1,-1,-100,0.0
2,1,2,0,1,0.25,0.75,4,-1,-100,0.0
0,0,0,1,1,0.0,1.0,-1,-1,-100,0.5
4,1,0,0,1,0.0,0.5,11,-1,-100,0.5
0,1,25,4,1,0.5,1.0,7,-1,-100,0.0
