hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,13,3,6,2,1.0,1.0,100,-1,-100,0.9473684210526315
3,32,2,17,1,1.0,0.7878787878787878,42,-1,-100,0.6428571428571429
0,0,1,1,1,0.6666666666666666,1.0,-1,-1,-100,0.3333333333333333
0,18,6,3,1,0.391304347826087,0.9565217391304348,100,-1,-100,0.5
0,2,0,0,1,1.0,1.0,4,2,-100,0.3333333333333333
0,1,0,1,1,1.0,0.6666666666666666,86,-1,-100,0.3333333333333333
0,5,2,3,1,0.8235294117647058,0.7058823529411765,81,-1,-100,0.7142857142857143
3,7,0,1,1,0.9,0.3,75,-1,-100,0.6666666666666666
2,11,0,2,2,1.0,0.75,38,-1,-100,0.75
0,6,0,4,2,0.8333333333333334,0.0,74,-1,-100,0.8
0,4,2,3,1,0.7857142857142857,0.8571428571428571,40,-1,-100,0.75
0,1,0,0,1,0.8,0.8,38,-1,-100,0.75
3,6,3,2,1,1.0,0.7272727272727273,177,-1,-100,0.8888888888888888
3,1,0,0,1,1.0,0.6666666666666666,26,-1,-100,0.8
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
1,6,1,2,1,1.0,0.2857142857142857,77,-1,-100,0.8
5,9,3,4,1,1.0,0.8333333333333334,100,-1,-100,0.875
0,6,1,4,1,0.42105263157894735,0.8421052631578947,16,-1,-100,0.5
0,4,1,0,2,1.0,0.4,141,-1,-100,0.7777777777777778
8,5,0,2,1,0.8571428571428571,0.5714285714285714,76,-1,-100,0.5
0,13,0,2,1,0.23076923076923078,0.7692307692307693,110,-1,-100,0.8
0,5,0,2,1,1.0,0.8888888888888888,157,-1,-100,0.75
0,1,0,1,2,1.0,0.0,21,-1,-100,0.5
2,6,0,1,1,0.8461538461538461,0.7692307692307693,8,-1,-100,0.0
0,1,0,0,1,1.0,0.5,20,-1,-100,0.0
2,4,0,2,2,0.6,0.2,162,-1,-100,0.75
0,8,2,6,1,0.9444444444444444,0.5555555555555556,104,-1,-100,0.875
1,1,0,1,2,1.0,0.0,85,-1,-100,0.5
4,15,0,7,1,0.9,0.55,80,-1,-100,0.0
2,4,2,1,1,1.0,0.875,152,-1,-100,0.5833333333333334
8,7,0,4,1,1.0,0.7777777777777778,154,-1,-100,0.6666666666666666
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
0,2,0,2,1,0.8571428571428571,0.7142857142857143,150,-1,-100,0.6666666666666666
0,5,0,4,1,0.5714285714285714,0.2857142857142857,69,-1,-100,0.8333333333333334
12,7,1,4,1,0.5,0.7142857142857143,17,-1,-100,0.4
3,2,0,3,1,0.9444444444444444,0.8888888888888888,80,-1,-100,0.8
6,8,1,3,2,0.8181818181818182,0.6363636363636364,11,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.25
0,4,0,2,1,0.75,0.6666666666666666,96,-1,-100,0.75
0,8,0,1,1,0.95,0.85,179,-1,-100,0.5
0,11,2,1,1,0.5217391304347826,0.9565217391304348,1,-1,-100,0.5
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.8
0,10,2,3,1,1.0,0.8888888888888888,60,-1,-100,0.5
0,1,0,2,1,1.0,0.6666666666666666,22,-1,-100,0.0
0,3,2,2,1,0.8888888888888888,0.8888888888888888,31,-1,-100,0.5
0,1,0,2,1,1.0,0.6666666666666666,171,-1,-100,0.3333333333333333
3,2,0,0,1,1.0,0.6,135,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
3,4,0,2,1,0.75,0.5,4,-1,-100,0.8333333333333334
2,3,0,3,1,0.5,0.25,158,-1,-100,0.7142857142857143
1,2,0,3,1,1.0,0.25,145,-1,-100,0.7777777777777778
0,9,0,2,1,1.0,0.8636363636363636,27,-1,-100,0.75
0,9,0,3,2,0.8461538461538461,0.7692307692307693,118,4,-100,0.6666666666666666
5,8,0,1,1,0.8181818181818182,0.2727272727272727,172,-1,-100,0.6666666666666666
0,2,0,0,2,0.875,0.75,78,-1,-100,0.5
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.4117647058823529
0,2,0,2,1,0.75,0.5,170,-1,-100,0.5
0,2,0,0,1,1.0,1.0,153,-1,-100,0.0
0,3,0,1,1,1.0,0.0,147,-1,-100,0.25
0,1,0,0,1,0.0,0.5,75,-1,-100,0.75
0,3,0,1,1,1.0,0.0,167,-1,-100,0.5
0,1,0,0,1,1.0,0.8333333333333334,121,-1,-100,0.5
3,3,0,3,2,0.5,0.5,23,-1,-100,0.5
0,2,0,1,1,0.0,0.3333333333333333,143,-1,-100,0.3333333333333333
0,2,1,1,1,1.0,1.0,5,-1,-100,0.6666666666666666
0,3,0,1,1,1.0,1.0,37,-1,-100,0.3333333333333333
0,1,0,0,1,0.25,1.0,4,-1,-100,0.5
0,3,0,2,1,0.7,0.7,109,-1,-100,0.5
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.5
0,1,0,1,1,1.0,0.5,178,-1,-100,0.6666666666666666
0,4,0,3,1,0.75,0.625,116,3,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,2,0,0,1,1.0,1.0,4,2,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
1,1,0,0,1,0.0,0.0,108,-1,-100,0.8
0,3,1,0,2,0.0,1.0,93,-1,-100,0.0
0,2,1,0,1,0.6,0.8,45,-1,-100,0.3333333333333333
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.75
0,5,0,0,1,0.7142857142857143,0.7142857142857143,66,-1,-100,0.0
8,1,1,0,1,1.0,0.8,68,-1,-100,0.75
0,1,0,1,1,0.0,0.0,140,-1,-100,0.0
0,1,0,0,1,1.0,1.0,122,-1,-100,0.45454545454545453
1,0,0,0,1,0.0,0.0,-1,-1,-100,0.0
0,1,0,1,1,1.0,0.0,149,-1,-100,0.0
2,3,1,2,2,0.6666666666666666,0.3333333333333333,126,-1,-100,0.5
0,3,1,0,1,0.75,1.0,3,-1,-100,0.75
0,1,0,1,1,0.0,0.0,144,-1,-100,0.0
2,0,1,1,2,0.0,1.0,-1,-1,-100,0.0
2,9,0,2,1,0.9,0.1,161,1,-100,0.6666666666666666
0,2,0,0,1,0.5,0.0,39,1,-100,0.0
0,1,0,0,1,0.5,0.5,39,1,-100,0.0
0,1,0,0,2,0.0,0.0,39,1,-100,0.0
4,2,0,0,2,0.3333333333333333,0.3333333333333333,39,-1,-100,0.0
1,1,0,0,1,0.0,0.0,39,1,-100,0.0
