hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,43,188,0,1,0.9130434782608695,0.991304347826087,7,-1,-100,0.6666666666666666
0,39,97,1,1,0.9666666666666667,1.0,2,-1,-100,0.7
0,10,115,3,1,0.8780487804878049,1.0,43,-1,-100,0.5625
0,51,200,3,1,0.7950819672131147,0.9754098360655737,3,-1,1,0.5
0,8,52,2,2,0.35714285714285715,1.0,43,-1,1,0.75
0,14,80,4,2,0.7692307692307693,1.0,17,-1,-100,0.5
1,6,81,0,1,0.9722222222222222,0.9166666666666666,17,-1,1,0.5
0,0,36,0,1,0.6666666666666666,1.0,-1,-1,-100,0.4
0,32,100,4,1,0.9047619047619048,0.9285714285714286,6,1,-100,0.8333333333333334
1,17,36,0,1,0.7333333333333333,0.9666666666666667,21,1,-100,0.8
0,10,25,1,2,1.0,0.9473684210526315,2,-1,-100,0.5
0,7,50,0,1,0.9130434782608695,1.0,15,-1,-100,0.6363636363636364
1,18,96,2,1,1.0,1.0,41,3,-100,0.5
0,17,73,4,1,0.5,0.96875,39,-1,-100,0.6666666666666666
0,9,44,0,1,0.9130434782608695,1.0,43,-1,-100,0.7692307692307693
0,43,121,2,2,1.0,0.9577464788732394,93,1,-100,0.3333333333333333
0,18,71,0,2,1.0,0.9666666666666667,32,-1,-100,0.6666666666666666
0,23,109,2,1,1.0,0.9433962264150944,28,-1,-100,0.6666666666666666
1,18,56,1,1,0.96875,0.96875,14,-1,-100,0.5
0,21,88,4,1,0.8780487804878049,0.975609756097561,78,-1,-100,0.5384615384615384
0,2,66,4,2,0.0,1.0,47,-1,-100,0.42857142857142855
0,44,115,4,2,0.8571428571428571,0.9714285714285714,3,-1,-100,0.75
0,23,92,3,1,0.7906976744186046,0.9069767441860465,51,-1,-100,0.6666666666666666
1,23,58,1,1,0.8333333333333334,0.9666666666666667,1,-1,-100,0.6666666666666666
1,61,129,1,1,1.0,1.0,34,-1,-100,0.8461538461538461
0,54,124,2,1,0.9012345679012346,0.9506172839506173,80,-1,-100,0.5
0,0,1,0,2,1.0,1.0,-1,-1,-100,0.4
1,9,60,0,1,1.0,0.9615384615384616,16,-1,-100,0.75
0,0,8,1,1,1.0,1.0,-1,-1,1,0.5882352941176471
0,32,155,1,1,0.9054054054054054,0.9594594594594594,16,-1,-100,0.5
0,17,85,0,1,1.0,0.96875,44,2,-100,0.6
0,26,105,0,2,0.9782608695652174,0.9782608695652174,14,-1,-100,0.3684210526315789
0,51,189,0,2,1.0,0.9777777777777777,44,2,-100,0.5714285714285714
1,16,51,2,1,1.0,0.9629629629629629,64,-1,-100,0.7
0,26,187,1,1,0.8571428571428571,0.987012987012987,53,-1,-100,0.5
0,0,7,1,2,1.0,1.0,-1,-1,1,0.5833333333333334
0,34,106,1,2,1.0,0.9661016949152542,69,-1,-100,0.5555555555555556
