hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
136,68,4,47,2,0.22988505747126436,0.14942528735632185,10,-1,-100,0.6
8,4,0,0,1,1.0,0.16666666666666666,96,-1,-100,0.8888888888888888
12,10,0,7,1,1.0,0.09090909090909091,300,-1,-100,0.8666666666666667
49,23,2,14,1,1.0,0.125,225,-1,-100,0.3333333333333333
6,4,0,3,2,1.0,0.2,265,-1,-100,0.8888888888888888
7,7,0,1,1,1.0,0.0,245,-1,-100,0.875
2,11,0,7,1,1.0,0.0,1,-1,-100,0.5
0,3,0,3,1,0.0,0.0,106,-1,-100,0.8333333333333334
28,20,5,14,1,1.0,0.10714285714285714,210,-1,-100,0.7
1,1,0,1,1,1.0,0.0,158,-1,-100,0.9285714285714286
25,18,0,10,1,0.9615384615384616,0.11538461538461539,328,-1,-100,0.75
11,8,0,4,1,0.0,0.16666666666666666,285,-1,-100,0.0
0,5,1,1,2,1.0,0.3,153,-1,-100,0.75
6,5,0,2,1,1.0,0.16666666666666666,75,-1,-100,0.7142857142857143
16,16,1,11,1,1.0,0.2608695652173913,322,-1,-100,0.625
10,5,0,2,2,0.7142857142857143,0.2857142857142857,77,-1,-100,0.8181818181818182
0,1,0,0,1,1.0,0.0,276,-1,-100,0.9
6,5,0,2,1,1.0,0.0,78,1,-100,0.8260869565217391
15,9,1,7,2,0.6363636363636364,0.09090909090909091,312,-1,-100,0.7777777777777778
13,2,0,1,1,1.0,0.6666666666666666,308,-1,-100,0.0
8,2,0,0,1,0.25,0.5,9,-1,-100,0.7777777777777778
18,16,0,5,2,1.0,0.0,77,-1,-100,0.9230769230769231
5,7,0,3,2,1.0,0.0,268,-1,-100,0.5
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.625
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.8
4,2,0,2,1,1.0,0.4,310,-1,-100,0.8
33,9,4,19,1,1.0,0.48484848484848486,81,-1,-100,0.8888888888888888
39,25,0,21,2,0.9696969696969697,0.15151515151515152,77,-1,-100,0.8571428571428571
30,32,1,20,2,0.9210526315789473,0.21052631578947367,160,-1,-100,0.8333333333333334
58,35,1,20,1,1.0,0.18604651162790697,169,-1,-100,0.9
23,10,3,3,1,1.0,0.7083333333333334,291,-1,-100,0.8888888888888888
33,9,2,9,1,1.0,0.6,89,-1,-100,0.7368421052631579
18,16,0,8,1,0.2631578947368421,0.15789473684210525,90,-1,-100,0.5
10,8,1,7,2,0.0,0.4166666666666667,99,-1,-100,0.8181818181818182
51,15,5,21,2,0.6111111111111112,0.5555555555555556,253,-1,-100,0.8
9,3,0,1,1,1.0,0.4,102,-1,-100,0.7777777777777778
18,24,1,7,1,0.21052631578947367,0.3157894736842105,126,-1,-100,0.5714285714285714
0,1,0,1,1,0.0,0.0,159,-1,-100,0.6666666666666666
3,1,3,1,2,0.0,1.0,181,-1,-100,0.5
6,4,0,2,2,0.0,0.2,180,-1,-100,0.0
5,5,0,5,1,1.0,0.16666666666666666,102,-1,-100,0.9090909090909091
