hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,32,10,15,1,1.0,0.7241379310344828,143,2,-100,0.5882352941176471
18,29,11,3,1,0.7323943661971831,0.8591549295774648,26,-1,-100,0.7272727272727273
28,64,20,16,1,0.8653846153846154,0.7211538461538461,94,-1,-100,0.8333333333333334
16,50,7,9,2,0.6060606060606061,0.8080808080808081,22,-1,-100,0.47368421052631576
10,29,7,6,2,0.6956521739130435,0.8695652173913043,1,-1,-100,0.5714285714285714
11,22,3,4,1,0.8409090909090909,0.6818181818181818,56,-1,-100,0.75
5,27,7,3,1,0.8305084745762712,0.8135593220338984,143,-1,-100,0.5769230769230769
20,35,3,7,1,0.7323943661971831,0.704225352112676,184,-1,-100,0.5306122448979592
11,60,21,10,1,0.7832167832167832,0.8671328671328671,19,-1,-100,0.71875
15,39,49,6,1,0.6436781609195402,0.7931034482758621,45,1,-100,0.75
9,54,45,10,2,0.6880733944954128,0.7889908256880734,57,-1,-100,0.8214285714285714
7,39,25,5,2,0.6206896551724138,0.8620689655172413,146,-1,-100,0.8260869565217391
13,36,13,8,1,0.6533333333333333,0.72,20,-1,-100,0.45454545454545453
6,23,10,7,1,0.6268656716417911,0.7910447761194029,45,-1,-100,0.5416666666666666
10,25,20,6,1,0.6417910447761194,0.8507462686567164,18,-1,-100,0.6923076923076923
25,57,30,14,1,0.635036496350365,0.7591240875912408,34,-1,-100,0.8732394366197183
338,166,79,78,1,0.7744360902255639,0.5,8,-1,-100,0.7878787878787878
19,41,37,14,2,0.61,0.84,60,-1,-100,0.78125
15,54,53,21,2,0.5882352941176471,0.9150326797385621,2,-1,-100,0.6896551724137931
