hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,0,0,0,2,0.5,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
4,1,0,0,2,1.0,1.0,5,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.8
6,1,0,0,2,1.0,1.0,28,-1,-100,0.3333333333333333
1,0,0,0,1,0.8,1.0,-1,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
3,2,0,0,2,0.46153846153846156,0.8461538461538461,30,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.3333333333333333
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.8
0,9,0,0,2,1.0,0.6666666666666666,10,1,-100,0.42857142857142855
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,0.0,1.0,-1,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,2,0,0,2,0.0,1.0,29,5,-100,0.0
2,1,0,0,1,0.0,0.6666666666666666,16,-1,-100,0.5
4,1,0,0,1,0.2,1.0,14,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
1,0,0,0,1,0.5,1.0,-1,-1,-100,0.6666666666666666
1,0,1,0,2,0.0,1.0,-1,-1,-100,0.5
0,1,0,0,1,0.0,0.0,7,4,-100,0.5
1,1,0,0,2,0.0,0.6666666666666666,15,-1,-100,0.5
1,3,0,2,2,0.6666666666666666,0.5,7,-1,-100,0.5
1,3,0,0,2,1.0,0.25,33,5,-100,0.6666666666666666
1,2,0,0,1,1.0,0.5,3,-1,-100,0.0
0,1,0,0,2,1.0,1.0,32,-1,-100,0.5
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.6666666666666666
1,0,1,0,2,0.0,1.0,-1,-1,-100,0.0
0,2,0,1,1,1.0,0.0,17,-1,-100,0.5
19,8,0,6,2,0.9333333333333333,0.4666666666666667,19,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,1,0,1,1.0,1.0,-1,-1,-100,0.7142857142857143
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
2,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
1,1,0,0,1,1.0,0.0,6,-1,-100,0.6
0,2,0,2,2,1.0,0.6666666666666666,1,-1,-100,0.3333333333333333
3,0,1,1,2,0.8,1.0,-1,-1,-100,0.6
0,1,0,0,1,1.0,0.0,27,-1,-100,0.6666666666666666
0,0,0,0,2,0.0,1.0,-1,-1,-100,0.5
1,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
1,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,0.5,1.0,-1,-1,-100,0.6666666666666666
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,0.5,1.0,-1,-1,-100,0.5
2,0,2,2,2,0.3333333333333333,1.0,-1,-1,-100,0.5
