hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,1,0,0,2,1.0,1.0,7,-1,-100,0.0
1,0,0,0,2,0.0,1.0,-1,-1,-100,0.0
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
6,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
2,7,0,1,1,0.9090909090909091,0.9090909090909091,1,-1,-100,0.8
0,2,0,0,1,0.0,0.5,7,-1,-100,0.75
0,11,0,0,1,0.8571428571428571,1.0,6,3,-100,0.6
1,2,0,0,2,1.0,1.0,6,1,-100,0.0
0,1,0,0,1,1.0,1.0,13,3,-100,0.0
0,1,0,0,2,1.0,1.0,9,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,2,0,0,1,0.0,1.0,6,1,-100,0.5
0,5,1,0,1,0.75,1.0,6,2,-100,0.0
2,0,0,2,1,1.0,1.0,-1,-1,-100,0.0
26,0,0,26,2,0.5769230769230769,1.0,-1,-1,-100,0.0
29,0,0,27,2,0.7931034482758621,1.0,-1,-1,-100,0.0
5,0,0,5,1,0.8,1.0,-1,-1,-100,0.0
1,0,0,1,2,0.0,1.0,-1,-1,-100,0.0
4,0,0,4,1,0.75,1.0,-1,-1,-100,0.0
