hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,4,0,0,1,0.0,1.0,15,-1,-100,0.5
10,17,1,0,2,0.43333333333333335,0.9,41,-1,-100,0.2857142857142857
0,3,0,0,1,0.0,1.0,28,-1,-100,0.7777777777777778
4,4,1,0,1,0.3684210526315789,1.0,63,-1,-100,0.6
2,2,0,0,1,0.375,0.75,83,-1,-100,0.0
3,0,0,0,1,1.0,1.0,-1,-1,-100,0.4
4,4,0,0,1,1.0,1.0,57,-1,-100,0.75
1,6,0,3,1,0.8461538461538461,0.9230769230769231,74,-1,-100,0.7857142857142857
7,10,0,2,1,0.46153846153846156,0.8846153846153846,90,-1,-100,0.6666666666666666
4,4,0,0,1,0.782608695652174,1.0,115,-1,-100,0.6666666666666666
0,0,0,1,1,0.75,1.0,-1,-1,-100,0.0
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.375
7,5,1,2,1,0.4666666666666667,1.0,13,-1,-100,0.8888888888888888
13,12,0,1,1,0.5,0.90625,13,-1,-100,0.5
1,0,0,1,1,0.0,1.0,-1,-1,-100,0.0
2,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,2,0,1,2,1.0,1.0,14,-1,-100,0.6666666666666666
4,0,0,1,1,0.8,1.0,-1,-1,-100,0.25
0,3,3,0,1,0.6,1.0,106,-1,-100,0.0
1,1,0,1,2,0.0,1.0,52,-1,-100,0.0
1,0,0,1,2,0.6666666666666666,1.0,-1,-1,-100,0.3333333333333333
0,0,0,1,2,1.0,1.0,-1,-1,-100,0.0
3,0,3,0,1,1.0,1.0,-1,-1,-100,0.0
0,3,0,0,1,1.0,1.0,88,-1,-100,0.5
1,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
0,0,0,3,2,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.5
11,3,17,12,1,0.8571428571428571,0.7857142857142857,131,-1,-100,0.6666666666666666
0,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
2,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
3,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
2,0,0,0,2,0.0,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,1,1,1.0,1.0,-1,-1,-100,0.5555555555555556
12,0,0,0,2,0.25,1.0,-1,-1,-100,0.0
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,0,1,0,1,0.0,1.0,-1,-1,-100,0.4
0,1,1,1,1,0.0,0.9,27,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,1,0,1,2,1.0,0.0,73,-1,-100,0.0
3,0,2,0,1,1.0,1.0,-1,-1,-100,0.75
2,3,0,0,2,1.0,0.3333333333333333,138,-1,-100,0.0
0,1,1,0,1,0.0,1.0,149,-1,-100,0.6666666666666666
0,0,3,1,2,1.0,1.0,-1,-1,-100,0.6
1,6,1,2,2,0.7777777777777778,0.7777777777777778,66,2,-100,0.0
10,0,3,0,1,1.0,1.0,-1,-1,-100,0.0
1,0,0,0,2,1.0,1.0,-1,-1,-100,0.0
2,3,0,2,1,0.8,0.4,103,-1,-100,0.6666666666666666
5,3,3,3,1,0.5,0.75,134,-1,-100,0.5
0,2,0,1,1,1.0,0.0,55,-1,-100,0.3333333333333333
1,3,0,2,1,1.0,0.6,24,-1,-100,0.5
4,5,4,4,1,0.375,0.375,58,-1,-100,0.3333333333333333
0,3,3,2,1,0.3333333333333333,0.5,100,-1,-100,0.6666666666666666
2,3,0,3,1,0.25,0.25,3,-1,-100,0.8333333333333334
7,5,0,3,1,0.8571428571428571,0.2857142857142857,85,-1,-100,0.6666666666666666
4,10,1,7,1,0.4666666666666667,0.4,116,-1,-100,0.5
0,10,0,5,2,1.0,0.25,60,-1,-100,0.25
10,8,7,3,2,0.5384615384615384,0.6153846153846154,19,-1,-100,0.5
3,12,0,7,1,0.8333333333333334,0.16666666666666666,3,1,-100,0.7142857142857143
0,2,0,1,1,1.0,0.0,150,-1,-100,0.5
6,8,1,5,1,0.7777777777777778,0.3333333333333333,78,3,-100,0.5
0,5,2,2,2,1.0,0.6,82,-1,-100,0.0
3,4,0,2,2,0.42857142857142855,0.42857142857142855,3,-1,-100,0.0
0,2,0,1,1,0.5,0.0,1,-1,-100,0.0
4,4,2,2,1,0.8,0.2,108,-1,1,0.5
0,1,0,1,1,1.0,0.0,123,-1,-100,0.0
0,3,0,2,1,1.0,0.0,141,-1,-100,0.0
8,2,7,3,1,1.0,0.6,71,-1,-100,0.0
1,2,0,2,1,1.0,0.0,124,-1,-100,0.5
0,4,3,5,2,0.7142857142857143,0.5714285714285714,14,-1,-100,0.0
2,3,2,2,1,0.6,0.4,112,-1,-100,0.0
0,3,0,2,1,0.6666666666666666,0.3333333333333333,3,1,-100,0.0
4,1,1,2,1,0.8,0.8,54,-1,-100,0.5
