hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
0,6,0,1,1,0.7,1.0,13,2,-100,0.7777777777777778
0,15,0,0,2,0.4,1.0,14,-1,-100,0.8888888888888888
0,3,0,0,1,0.2,1.0,9,-1,-100,0.5
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.5
0,7,0,1,1,0.7142857142857143,0.8571428571428571,1,-1,-100,0.6666666666666666
0,1,0,1,1,0.5,0.5,12,-1,-100,0.6
0,0,0,0,1,1.0,1.0,-1,-1,-100,0.0
0,1,0,0,1,1.0,1.0,23,-1,-100,0.0
0,1,0,0,1,1.0,1.0,4,-1,-100,0.0
0,13,0,2,1,0.8,1.0,5,1,-100,0.8
0,10,0,0,1,0.9230769230769231,1.0,18,-1,-100,0.0
0,3,0,3,1,0.38461538461538464,1.0,24,-1,-100,0.0
1,0,0,1,1,1.0,1.0,-1,-1,-100,0.0
0,0,0,0,2,1.0,0.0,-1,-1,-100,0.0
6,1,1,0,1,0.5,1.0,25,-1,-100,0.3333333333333333
