葉山now波音聴きながらビールは最高 http://t.co/jqAmvAt
甲子園、6回裏、習志野反撃のランナーに期待(^^)
@Akiko_37 おめでとう‼しかし息子から焼酎サーバーをもらう気持ちは微妙？なんてことないかーヾ(＠⌒ー⌒＠)ノ
今夜のディナ ゴーヤとトマトパスタ。新鮮なトマトももうすぐ終わり(￣^￣)ゞ http://t.co/HiIKIXg
@akikosingsJazz 次回ごちそうします(^^)
草太郎HAPPY BIRTHDAY　ワクワクする１年になりますね（*^_^*）
ラジオから流れるtotoのアフリカに聞き惚れてる。でももっと似合う場所で聞きたい！自由を勝ち取らないと今のまま(^^)
@rika369 羨ましいfitの空気を感じたいです。
今年もどうにか鈴鹿サーキットの自転車レースでチャンピオンジャージget http://t.co/WTlVXfP
今日最後の2時間エンデューロレース 0.2秒差でチャンピオンになりました http://t.co/9cAQdBl
袖ヶ浦サーキットで東京ベイエンデューロのスタートnow http://twitpic.com/3cm38u
池畑さんの出張土産がボンベイでした。久しぶりにジンレモンで乾杯 http://t.co/mUlGmJt1
@rika369 早く使いたいよー。あと5日(^^)
オープン前のお店に立寄りました。10月2日コーヒーと器の店、国分寺です。素敵な陶器に囲まれ、美味しいコーヒーをいただきながらマッタリ  http://t.co/qW9UdHoC http://t.co/KeprrydZ http://t.co/LAahZfB6
@manbow1173 TV消して聴き始めました。声に痺れます(^^)
アムウェイプラザで買い物(^^)スーパーみたいで楽しい http://t.co/WXEhYV66
秋の季節にピッタリ。明子と小暮さんのJAZZライブ http://t.co/5zbFwWmT
@akikosingsJazz ゆっくり休んでね。
今羽田空港ラッシュ‼飛行機が7機見えた。そしてまた1台。
今日はベランダから夜景がよく見えて、飛び立つ飛行機みながら七輪パーティー(^^)
今日はイベリコ豚を七輪で焼いてます。音楽は小暮さんのジャズギター。
今日はスモークday ベーコン、チキン、卵と美味しくできたけど、部屋の中までスモークの香り
出来た(^^)いちじくのコンポート昔は苦手だったのに、今は冷やして食べるのが楽しみ
初のデコロール。かわいいし、簡単で嬉しい(^^)亮子ちゃんありがとう http://t.co/3SK1q20e
嵐山展望台にて。思ってたより寒くなくて良かった(^_^;) http://twitpic.com/3ej4vu
竹林の道を初めて歩く。マイナスイオン満喫‼これぞ京都 http://twitpic.com/3ej94c
@housemegu @moriyan131 私の家も揺れました。ゆれくるの音にびびってしまう。
@ryokosfjt_238 @manbow1173 私は43巻まで読んで休憩しちゃってます。まな読み始めようっと(^^)😄
@manbow1173 わかりました。最近意識がゆるんでたから、確認、準備 しておきまーす
発酵時間が多かったせいか、いつもよりbigなパンができた😁 http://t.co/rDbM50m4
@moriyan131 美味しそう(^^)朝から食欲が湧きました😁
@moriyan131 中国からツィートは出来るけど、見ることができないから返信はないこと了解してね🙏
@housemegu @akikosingsJazz @moriyan131 @rika369 朝食に食べたら美味しかった(^^)
今日の時代屋クックで草太郎が初デコロールに挑戦。美味しかったです(^^) http://t.co/3xX4g8fD
@Akari_137 桃ちゃん頑張って👊👊
@rika369 もちろん楽しかったですよ😍 草太郎曰く、到さんのウチの奥さん可愛いよ。に納得してました。
明日に備えてモーニンググッドをラムに入れたら美味しくなってしまった😓
@manbow1173 家も鍋でした。ブタホのはずが、カニ、アサリとちゃんぽんに(^^)
昨日ダンナが中国出張から帰国、明日からツールド沖縄へ🚲13日に沖縄100km走り、帰ってきたら翌日から中国へ・・しかも今から🚲パッキング
@ryokosfjt_238行きたーいです。早かったねー新しいお家楽しみだね
@ryokosfjt_238ステキな部屋だね。😍😍
@manbow1173 @itaru0218 今日はMihoちゃんとwMihoでディナーしてました。ボジョレーではないワインを飲みながら、ツィートに反応し、ＦＢのウォール❔聞いたりして😄
@housemegu @rika369これからの季節にいいね。今度レシピ教えてね(^^)
草太郎作のデコロール(^^)何故この文字かは本人に聞いて？ http://t.co/rclUHZQG
ダンナ無事帰国。日本のビールで豚ハム、チーズを韓国のりでサンドが美味。ひとときの日常復活(^^)
先週沖縄から帰ってきた相棒の希望で今日はアグーのしゃぶしゃぶ。飲み物はやはりこれでしょう http://t.co/r2hcPuJD
デザートはイチジクのグラニテ！ http://t.co/ueo8a3hi
@rika369 実は私も同じ現象で、昨日からばくばく食べだしたのです。 ダイエットと同じで食べたものを記録するのはいいですね。はじめようっと（＾－＾）
今日はバケットをウォックで焼いた。 パスタはアサリたっぷりボンゴレ (^^) http://t.co/2lI2kkzt
@akikosingsJazz OK😍一緒に作ろう
