今日の夕方に実家に帰るよ(･∀･)♪  暇だけどね(笑)
@kazc_sakagchi 頑張って～(笑)
実家な～う(●´∀｀●)  暇だから誰か絡んでくださいわ
@kazc_sakagchi あたしにも料理をください(笑)
@kazc_sakagchi お疲れさまでした(●´ω｀●)
今日は息子の誕生日～♪  1歳になりました(●´∀｀●)
http://t.co/KvVn4uwS   今日はお昼過ぎから来輝の誕生日会やったよ～♪  メニューはお寿司とお刺身とオードブルと大人用のケーキと来輝のケーキでした(●´ω｀●)  写メは大人用のケーキです(笑)  せっかく来輝のケーキは手作りしたのに写メ撮り忘れちゃった～
これから施設のプレイルームにママ友と遊びに行ってきます(･∀･)♪  午後はオムツ買いに行く(笑)
@kazc_sakagchi 大丈夫～？？無理しないように(●´∀｀●)
Facebookのやり方がわからない(･∀･)
http://t.co/27kU2fj6 BRAVE HEARTS 海猿
毎日暑くて溶けそう(+_+)
右側の奥歯がズキズキ痛くて寝れない。  虫歯になっちゃったかな～？？  痛くてヤバいから歯医者に行く(T_T)
おはよ～☆  今日の午後に歯医者予約したから行ってくる。  やっぱり大人でも怖いもん？？
琉迦‐RUKA‐のファーム - http://t.co/k3SOqXh9
心理テスト・恋愛・性格診断がたくさん♪幸せココロサプリ始めたよ =&gt; http://t.co/MV6XFdxM #癒し #診断 #kokorosp
ママ友とBBQの計画なう♪  楽しみだぬ(´･ω･`)
BBQの日にちが決定～♪  あとは材料費とか決めなきゃ(´･ω･`)
夏だし髪染めたいな(´･ω･`)  早くしないと夏終わっちゃうぢゃん!!!
今日も中野に行ってきた(○´∀｀○)  アメドラで買い物してイオンにベビーカーを修理に出して店内ぶらぶらして帰ってきたけどやっぱり中野は暑い!!!  お昼は久しぶりにケンタッキー食べた☆  おいしかったわ～♪  ひよこクラブ買って毛染めも買ったし染めるぞ(･∀･)
久しぶりに髪染めた～♪  息子が何も捕まらずに立てるようになった!!!  しかも立ちながら自分でパチパチパチって拍手してたし(笑)  一歩前に出るのももうすぐかな(´･ω･`) http://t.co/Ghbe2KUL
明日の息子のお弁当はサンドイッチにしよっと(´･ω･`)  午前中はなかよし広場に行って午後は予防接種に行かなきゃ～!!!
http://t.co/7LASWDZi   この前撮った息子とスイカです(笑) ( 長野県上水内郡 http://t.co/l7vx4eEy )  #tspot
パパがいないから１人で晩酌なう(´･ω･`)  明日は中野に行くぞ～♪
おはよ～♪  今日はなかよし広場行って午後はあたし歯医者だよ(´Д｀)  歯医者行くついでに美容院も行ってきたら？ってばあちゃんが言ってくれたから行こうかな★  明日からばあちゃん忙しくて息子を預けられないから。
歯医者なう★  歯医者が終わったらそのまま美容院に行ってくるよ(´･ω･`)
歯医者と美容院に行ってきた～♪  短く切ってサッパリしたよ★  今日の夕飯は手抜きしてラーメンにします(笑) http://t.co/LntjTuAq   今日の息子っち( ´艸｀)
息子っちの写真デコってみた( ˘ ³˘)♥ http://t.co/66VXRblp #DECOPIC
FBが何回も強制終了して使えないんだけど！！  腹立つわ～(´Д｀)
息子っちが２時間半もお昼寝してくれたヽ(♥´д`♥)ノ http://t.co/k4VK7u5o #DECOPIC
http://t.co/3KXVhBS3   顔の下にキティちゃんのぬいぐるみ持ちながら寝てる(●´∀｀●)  かわゆす～♪
RT @lalalasbc: 今日の「これおいしい」は ワンコインランチ！ どしどし感想をつぶやいて下さいね～♪
ワンコインで焼き肉がたべれちゃうの～？？
食べた～い(･∀･)♪
ついっぷる for Android のデザインを「X-girl」に変更しました。　http://t.co/c2sAX81F
@lalalasbc おいしそ～う(･∀･)♪
@lalalasbc 食べた～い(●´∀｀●)
@lalalasbc 普通の家～？？
@lalalasbc 中華いいね～♪♪
@lalalasbc これで500円って安い～(･∀･)♪
息子っちの風邪が移っちゃって鼻水と鼻づまりでしんどいよ～(´Д｀)
スマホがおかしい(´Д｀)  修理に出そうかな～  まだ１年も経ってないのに。
ついに雪が降ってきた(´･ω･`)
ピノのロイヤルカフェラテうます(･∀･)♪
長野日赤なう。  毎週毎週めんどい(ﾉД`)
息子がまた風邪ひいて鼻水で苦しそうで熱もあってかわいそう(´･ω･`)  はやく良くなりますように♪
あけましておめでとうございます♪  今年もよろしくお願いします(○´∀｀○)  明日は実家のお母さんが来て皆でしゃぶしゃぶする★  楽しみだよ！！  あと重大発表する予定っす(･ω･)
@lalalasbc フィルムコミッションってなんだ？？
"@lalalasbc: 揚げあんパン食べてみたい(*´ω｀*)
暇すぎる～！！  何しようかな(´・ω・`)
@lalalasbc お肉美味しそ～う!!!
@lalalasbc 次は何かな～？？
@lalalasbc おもちゃもあるから子供連れでも良さそう(*´ω｀*)
@lalalasbc 豆腐ハンバーグでヘルシーだね(=^ェ^=)
@lalalasbc 夕飯美味しそう～！！
@lalalasbc すごい美味しそう～！！
@lalalasbc パンが焼ける電子レンジなんてあるの～？？
@lalalasbc おやつキャンペーンやってたんだ(笑)
@lalalasbc お寿司も大好き～！！
@lalalasbc 食べたいよ～！！
@lalalasbc 頑張ってくださいね＼(^^)／
@lalalasbc やしょうま作り難しいよ～！！
@lalalasbc きれいに出来たね＼(^^)／
@lalalasbc やしょうま食べたくなった～(=^ェ^=)
@lalalasbc 食べに行きたいよ～！！
@lalalasbc まさに黒部ダム！！
@lalalasbc 美味しそう～！！
おやつ代当たらなかった～(´・ω・`)
@lalalasbc 地元出た～！！
