RT @hayato_tritone: 髪を切った。サイドをバリカンで刈り上げた。ちびっと、染めた。夏モードだー。わいわい(=´∀｀)人(´∀｀=) http://p.twipple.jp/tmKW7
成田空港なう。バイバイ放射能。 http://p.twipple.jp/d9KgR
@akatsuka24 チャモロ人の家に泊めてもらいました！グアムです！
@ma_ko_10 真っ黒黒助で帰ってきましたよ！
@yajibon グアムへ疎開してきました！！写真のターゲットになりやすい真っ黒黒になって帰ってきましたよ！
@eTamo_3 帰ってきましたよ！はやとはお土産買ったはずです！！ありがとうございます！
@manamo_n60 ただいま！！
@hiromeno_deco 戻ってきたよん！！
@sanapon1020 明日から山中湖頑張ってねぇー(^_^)ﾉ
@manamo_n60 隼人が買ったはず！！！
@eTamo_3 今日はさいたまでアメフトのミーティングでした！今から、被災地に帰ります
@tsubotaku52 つぶやけ！！
RT @club_steelers: 【X3試合情報】9月10日(土)＠駒沢第2球技場 10時30分三井物産シーガルズ(@Seagulls_TV) vs STEELERS、13時丸紅クーガーズ vs 伊藤忠ウイングス 是非会場に熱い試合を観に来てくださいね！ #amefo ...
@Jin12QB 北川瞳くださいとか？
@Jin12QB ジンさんは3発二日でしょ？
転勤あるかな？？これから緊張の瞬間。
@manamo_n60 おはよーー 元気かい？？
転勤なしだぁー。
宇都宮みんみんなう。 http://t.co/zNZN20yF
モモカン？ももち？なう。
@TYO_KID ご無沙汰していますーー！試合待ってます！
RT @club_steelers: 【試合速報】第2戦 丸紅クーガーズ戦は7-13で敗れ2連敗となりました…ご声援ありがとうございました #amefootJP #xleague
万惣のホットケーキたべたいなう。
@manamo_n60 元気？
出張で仙台うぃる。震災後初めての仙台駅。。 牛タンかしら。
@akatsuka24 まさか、S○○○○○○s?
ちなみに俺は渋いSeahawksファン！
@eTamo_3 すいませーん！！夏くらいからバタバタして！kidさんもいろいろすいませんでした！
@manamo_n60 そうだよん！！
@Guitar_room @manamo_n60 @etamo_3　スマホの調子が悪くて返信遅くなってすいません！　みなさんご祝福ありがとうございました！！今後もよろしくお願いしますね！
@TYO_KID スマホの調子が悪くて返信遅くなってすいません！ 11月20日と12月4日ですが・・・出場できるかは未定なんです。11月20日なら望みが・・・
@TYO_KID ありがとうございます。しかし、機嫌が悪くなる一方で・・・
@eTamo_3 こんなところで披露できるもんではありませんよ（TT）
@hayato_tritone いいかげん仕事しろ！
@hayato_tritone 休みだらけだなー！
@eTamo_3 いま昼休みで昼寝中
@hayato_tritone 働け！
今日引っ越します！郡山市内だけど！ RT @hayato_tritone: 働いとるわ（−＿−；） RT @kosukek47: @hayato_tritone 働け！
引っ越し完了。ゴミやダンボールの山です。
@sanapon1020 買わないよ！ファミリータイプへ引っ越しだけ！！
@TYO_KID こんにちは！！今週もどうやら厳しい感じです。本当にごめんなさい！！
@sanapon1020 3月20日だよーー！
@TYO_KID 中途半端ですが、今シーズンは終了となりそうです！！ごめんなさい！来年関東に転勤できたら頑張ります！
田村市船引のヨークベニマルのとなりの車屋さんではおいしいクレープがただで食べられると #tamura
@me11gu 本当ですよ！美味しいクレープでした！
@me11gu 今日と明日限定みたいてすが、スズキの看板のあるビークルユニオンさんでクレープ配ってました！#tamura
@me11gu 私はお手伝いですが、クレープだけでも大歓迎って店長も言ってました！！おいしいクレープですよ！
@me11gu ちなみにお子さまにはアンパンマンカートも用意していますっ！
@me11gu 関係者って程でもないですが、拡散してください！！そして、クレープ食べちゃってください！！まってまーす！
@sts_yoshida @me11gu  どんどん来てください！！拡散もどんどんお願いします！ 田村市船引のベニマルの横のスズキの看板のビークルユニオンではクレープ無料で大盤振る舞い中です！明日までー！
@sts_yoshida @me11gu  ありがとうございます！！おいしいですよねー！！ 田村市船引ベニマル隣ビークルユニオン クレープ無料 #tamura
@me11gu ご来場されたんですかー？Twitterみたといっていただければ！！明日も待ってますよ！！店長にTwitterみてと声かけて下さい！！ #tamura
@hayato_tritone 遊ぼー
@hayato_tritone 泊まったの？？
@hayato_tritone 早く仕事しろ！
大人のあかし。本日人間ドックデビュー
@me11gu 初胃カメラです。寿仙堂うまいかな？？
@me11gu @sts_yoshida  涙とよだれの嵐でしたが、上手な先生でよかった！！
@me11gu 今は丸新で食事中！！中落ち食べたかったけど売り切れ！！
郡山の丸新さいこーです！！！
@hayato_tritone kちゃんのお腹もさいこーです！
@hayato_tritone メタボ警報発令中
@eTamo_3 引っ越すんですか？？
コストコ前橋倉庫店なう。 試食しまくり。 http://t.co/XjVW9CRJ
@me11gu 楽しいですよ！！ステーキうまし。
水を買いにきたのに、大きなのがない！
@sts_yoshida みんみん！水餃子食べたいです！！安いしーー！
@eTamo_3 岡崎っすか？
@eTamo_3 ようこそ！本州へ！！
@eTamo_3 @manamo_n60  俺も牡牛座のO型！
@manamo_n60 @etamo_3 3番目の男か・・・
@eTamo_3 どのくらい岡崎にいるんですか？むかし、豊田市で働いてたから詳しいですよ！
@eTamo_3 とりあえず岡崎なら西武かな？？
@TYO_KID 来週ハワイに行って来まーす！！
@TYO_KID そうです！！なんで試合はまた来年！！
@TYO_KID ありがとうございます！！
あれ～～～！アカウント変えたんですか？？？ ( #生活力向上委員会 福岡～岡崎！ http://t.co/g1Xgjb4G )
@sts_yoshida 郡山の駅前の珍満の珍満麺おすすめです！
RT @takedaerika: 今日届いた福島県の大越産の野菜です。きゅうり、長芋、ブロッコリー、ほうれん草、キノコ、リンゴ。福島の野菜は美味しいです。 http://t.co/8UvI5tes
@eTamo_3 同じく眠れない。。今日遅刻寸前だったのに。
@eTamo_3 否めない
女の子解体 #おんなのこかいたいを変換
@eTamo_3 寂しくなったら名鉄で1時間乗れば金津園に行けます
@eTamo_3 極楽浄土です。
冬模様だろ！ RT @hayato_tritone: 秩父にはいりまーす。山々は秋模様 http://t.co/XXJf8n61
ツルハドラッグ船引店 (船引駅) にいます http://t.co/fQRxdKxD
@eTamo_3 @manamo_n60  3Ｐでお願いします！
@eTamo_3 @manamo_n60  奇跡だね！！これは3Ｐせよとお告げ
@yajibon @club_steelers @jin12qb @marty1qb ワタクシも8位です！！
うねめ旅館 (郡山駅(福島県)) にいます http://t.co/Rak4kkYT
@yajibon @club_steelers @jin12qb @marty1qb  ＫＧ老にか。。
@hayato_tritone なに？ラーメン？
@hayato_tritone おれは大勝軒が、好き
@hayato_tritone あれまるいちだよね？
@eTamo_3 えっ？ドッキング？
@sts_yoshida こちらはだんまやで飲んでいます！
@sts_yoshida 天ちゃん！コブ刺し食べたい！！！
@sts_yoshida いきた～い！！レバ刺しとかしら！！
@sts_yoshida いいなぁ( ´艸｀)
@sts_yoshida ぜひ今度ご一緒しましょ！！
@sts_yoshida ちと遅かったかぁー
これから成田空港へgo!
成田空港到着！！
@60mon 行って来まーす！！福島で渡してあげるね！お土産！
@60mon それじゃ！福島で！
@hide0111hide 郡山のこうすけです！よろしくお願いします！！
@hide0111hide ありがとうございます！ハワイからこんばんはー！
@hayato_tritone 予約取り消しお願いします！
@hayato_tritone 買わないから大丈夫だよ！！
今日で旅行も最後！！明日から普通の日常が始まるよー！
@manamo_n60 寝て起きたら空港へ！！飛行機乗ったらジャパンです。
郡山に帰ってきました！！家も落ち着くね――！
福島来るの遅すぎ!!! ( @improve_style 新潟県だよ！ http://t.co/xcpKU09M )
@manamo_n60 いまおめでとうメール気づいたよー！かなり亀レスだけどありがとー
京浜東北線ゆっくり。休み明け遅延率多し。
下呂温泉の朝は寒い
@hayato_tritone  俺みたいに清々しい朝だったから。 7日行く予定だよ。はやとは？
RT @hayato_tritone: @kosukek47 ７日いくよ。みんなで集まるの久々だな。楽しみにしてるよ。
人間ドック終了。胃カメラの麻酔で酩酊ちう。
RT @fiagt1tm: NHKがニュースで「頼んでいない有料の映像配信サービスを契約させられたという被害が」と詐欺事件について報道するのは、  あなたがそれ言うの？ という意味でシュール・・・
あけましておめでとうございます。本年もよろしくお願いします！！！
@hayato_tritone マリッジブルー？
虫歯で歯が痛い
休み明け、何故とまるんだ、京浜東北
松阪牛なう http://t.co/5AgMg1jY49
週末アウトレットで買った会社用の靴があわなすぎて足が痛い。
アメリカン http://t.co/1Gg8aUQELm
@hayato_tritone あっ！お祝い金忘れた。まっいいっか♪
@hayato_tritone  お祝いは300円って書いて～！
@hayato_tritone ガソリン情報を探そうと思って
@hayato_tritone  浮いたガソリン福島に送ってくだされ
福島はまだACのCMの連発。ありがとうさぎ♪
今日も自宅待機。ソリティアのやりすぎで疲れた。こんなに長くなるならアメリカにでも高飛びしたい。
@sanapon1020 ガソリンくれー
