accomplished_0,u535105,*pour out the rain (lacey&apos;s song) - buddy jewell*,Buddy Jewell,Help Pour Out The Rain (Lacey's Song),3223668,TRQQDWX128F42727EA
accomplished_1,u402061,Evanescence-Bring Me to Life,Evanescence,Bring Me To Life,6521475,TRQZILP128F92F6E61
accomplished_2,u276593,i wanna be me - the sex pistols,Sex Pistols,I Wanna Be Me,7500811,
accomplished_3,u480993,david bisbal - Buleria,David Bisbal,Buleria,3181921,TRENDCL128F92CDE0B
accomplished_4,u402075,Where Are You Christmas-Faith Hill,Faith Hill,Where Are You Christmas,6894247,
accomplished_5,u402076,All Along the Watchtower - Jimi Hendrix,Jimi Hendrix,All Along The Watchtower,7450753,TRWMZOQ12903CC16CB
accomplished_6,u480999,About A Girl -- Nirvana,Nirvana,About A Girl,148335,TRTPEAH128F931E048
accomplished_7,u574291,Yellowcard - only one,Yellowcard,Only One,285608,TREJJLL128F1462E03
accomplished_8,u402088,YellowCard-ocean Avenue,Yellowcard,Ocean Avenue,285605,TRZGABY128F1462E00
accomplished_9,u256059,rilo kiley- does he love you?,Rilo Kiley,Does He Love You?,80653,
accomplished_10,u574296,sneaker pimps - post modern sleaze,Sneaker Pimps,Post-Modern Sleaze,4331885,TRGXDLD128F42B9CCA
accomplished_11,u481011,Ryan Cabrera- On the Way Down,Ryan Cabrera,On The Way Down,63781,
accomplished_12,u574304,Jimmy Eat World - Nothing Wrong,Jimmy Eat World,Nothing Wrong,15717,TRGTMSX128E0783718
accomplished_13,u535133,MarOoN 5- tHiS lOvE...,Maroon 5,This Love,864400,TRZHXFO128F9302A17
accomplished_14,u276677,Better off Dead- new found glory,New Found Glory,Better Off Dead,231623,TRQPWBR128F1456B8B
accomplished_15,u481022,Crossfade- cold,Crossfade,Cold,163535,TRFVQQE128F427EDBF
accomplished_16,u603026,eighteen visions - vanity,Eighteen Visions,Vanity,13139275,TRMZEKV12903CC23F2
accomplished_17,u603026,rush - tom sawyer,Rush,Tom Sawyer,271411,TRFXGYO128F1481F5E
accomplished_18,u638946,Soundgarden - Head Injury,Soundgarden,Head Injury,901194,TRNVYHC128EF3685F7
accomplished_19,u535141,obie trice - bad bitch,Obie Trice,Bad Bitch,502922,TRFQWCS128F14771B9
accomplished_20,u402131,incubus--pardon me,Incubus,Pardon Me,3165722,TRLSNDQ128F4266BD7
accomplished_21,u481029,incubus-i miss you,Incubus,I Miss You,3232067,TRYSBRF128F42748B9
accomplished_22,u256065,Eagle Eye Cherry - Save Tonight,Eagle-Eye Cherry,Save Tonight,165922,TRHLEVU128E0792E39
accomplished_23,u481035,mirah - location temporary,Mirah,Location Temporary,3094268,TRLOQJW128F4257392
accomplished_24,u535156,taking back sunday-number five with a bullet,Taking Back Sunday,Number Five With A Bullet,15671918,
accomplished_25,u535156,the best deceptions- Dashboard Confessional,Dashboard Confessional,The Best Deceptions,496700,TRHIXMJ128F148AE3F
accomplished_26,u263596,Live - Like I Do,Live,Like I Do,150574,TRVEURZ128E078F665
accomplished_27,u300,sweater song - Weezer,Weezer,Undone -- The Sweater Song,3814173,TRSMLEM128F9339EA8
accomplished_28,u574322,Wounded - Third Eye Blind,Third Eye Blind,Wounded (2006 Remastered LP Version),415742,TRLNQSV128F147C7CF
accomplished_29,u535164,Let Me Out - Future Leaders of the World,Future Leaders of the World,Let Me Out (Acoustic),3281707,
accomplished_30,u402154,seether - broken,Seether,Broken,6858715,
accomplished_31,u276728,Dead Can Dance - Towards The Within,Dead Can Dance,Towards The Within (Remastered),2385971,TRJLJNP128F428534E
accomplished_32,u276729,Summertime - Billie Holiday,Billie Holiday,Summertime,6143309,TRCOJBT128F9306EC6
accomplished_33,u358,Depeche Mode - Personal Jesus,Depeche Mode,Personal Jesus,513101,TRYIJWH128F146948C
accomplished_34,u638950,Madonna - Take A Bow,Madonna,Take A Bow,6532669,
accomplished_35,u638950,Sarah Mclachlan - Push,Sarah McLachlan,Push,15860968,TRCFJDA128F4291720
accomplished_36,u382,Rancid-Let&apos;s Go!,Rancid,Let's Go (Album Version),3973855,TRYGSGO128F428A4A9
accomplished_37,u574330,Tenacious D- City Hall,Tenacious D,City Hall/I Believe/Malibu Nights Medley,3256608,TRRMZRQ128F427A5A2
accomplished_38,u623715,love buzz - nirvana,Nirvana,Love Buzz,17952250,TRNQBVT128F931E01D
accomplished_39,u402178,Tribute - Tenacious D,Tenacious D,Tribute,3256551,TRNBFZV128F931F759
accomplished_40,u402186,A perfect Circle- Freedom of choice,A Perfect Circle,Freedom of Choice,1608592,TRUDQUD128F4267DCE
accomplished_41,u603048,wish you were here-incubus,Incubus,Wish You Were Here,5304935,TRWJTJO128F42807BD
accomplished_42,u478,No Doubt - Rock Steady,No Doubt,Rock Steady,148162,TRZBPVN128E078ED35
accomplished_43,u623720,Dashboard Confessional- As Lovers Go,Dashboard Confessional,As Lovers Go (Remix),5572862,
accomplished_44,u623720,Thursday- Signals over the Air,Thursday,Signals Over The Air,2435740,TRAELLV128F1495C30
accomplished_45,u402211,Deep Blue Something - Breakfast at Tiffany&apos;s,Deep Blue Something,Breakfast At Tiffany's,1271510,TREVCGZ128E079232A
accomplished_46,u491,artie shaw -- begin the beguine,Artie Shaw,Begin The Beguine,12717755,TRMXFAS128F934A93C
accomplished_47,u603053,U2 - sunday bloody sunday,U2,Sunday Bloody Sunday,1540,TRMTMEO128F92CFD60
accomplished_48,u276810,New Order-Age of Consent,New Order,Age Of Consent,97885,TREOKKU128F92EF8AB
accomplished_49,u402219,"""Little Moments"" -Brad Paisley",Brad Paisley,Little Moments,11119231,TRTAAHY128F428D383
accomplished_50,u530,Live - Selling the Drama,Live,Selling The Drama,150032,TRYMRST128E078373F
accomplished_51,u481083,dirty vegas-days go by,Dirty Vegas,Days Go By,1108465,TRYUSSL128F1462E41
accomplished_52,u536,Aaliyah - More Than A Woman,Aaliyah,More Than A Woman,3922167,TRZLNAQ128F92F28C9
accomplished_53,u402236,Finch - Ender,Finch,Ender,2467058,TROLSCV128C719637A
accomplished_54,u268548,Jeff Buckley - Last Goodbye,Jeff Buckley,Last Goodbye,4276078,TRUERNF128F930452D
accomplished_55,u579,autechre - pen expers,Autechre,Pen Expers,5888535,TRZJQAL128F9300000
accomplished_56,u590,Garbage-when I grow up,Garbage,When I Grow Up,19756470,TRKRMCN128E0786BAA
accomplished_57,u481095,Oasis - Live Forever,Oasis,Live Forever,167740,TRWIKJO128F148EF27
accomplished_58,u642,eminem- my band,Eminem,My Darling,7489075,TRGLNKG128F9307689
accomplished_59,u574357,the briefs- where did he go?,The Briefs,Where Did He Go?,2751909,TRAVEEW128F4253A1F
accomplished_60,u623729,Thornley - Come Again,Thornley,Come Again,1371985,TRVZREG128F42364FC
accomplished_61,u275214,The Blood Brothers - Love Rhymes with Hideous Car Wreck,The Blood Brothers,Love Rhymes With Hideous Car Wreck,7295145,TROENFE128F932DFBB
accomplished_62,u275214,The Mars Volta - The Widow,The Mars Volta,The Widow,86052,TRUZQFC128E0785D6F
accomplished_63,u263604,my chemical romance- helena,My Chemical Romance,Helena,1420735,
accomplished_64,u702,"david bowie- ""space oddity""",David Bowie,Space Oddity,5327,
accomplished_65,u703,Usher----YEAH!,Usher,Yeah! - Instrumental,16143555,
accomplished_66,u263606,penny and me - hanson,Hanson,Penny & Me,16092526,TRAQBHJ128E0794F0B
accomplished_67,u276913,something corporate - ashes,Something Corporate,Only Ashes,2444848,TRHKXJQ128E0792182
accomplished_68,u574370,&apos;Somebody Told Me&apos; - The Killers,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
accomplished_69,u481115,"Korn - ""Right Now""",Korn,Right Now,10343820,TRGNAQH128EF342402
accomplished_70,u623734,Breakaway- Kelly Clarkson,Kelly Clarkson,Breakaway,3428701,TRBFAES12903CE2660
accomplished_71,u574372,New Found Glory-dressed to kill,New Found Glory,Dressed To Kill,231624,TRYLMXY128C71967B6
accomplished_72,u810,Eric Prydz - Call On Me,Eric Prydz,Call On Me,3556451,TRQAFRU128F426A0AE
accomplished_73,u813,the who - i can see for miles,The Who,I Can See For Miles,7503967,TRQMXHN128F9316D60
accomplished_74,u815,Transatlanticism- Death Cab For Cutie,Death Cab for Cutie,Transatlanticism,14139748,TRPDIJL128F145C25D
accomplished_75,u535242,"""Burn"" - Usher",Usher,Burn,4983267,TRGGYXX128F429586C
accomplished_76,u638966,daft punk- one more time,Daft Punk,One More Time,485116,
accomplished_77,u402305,UTADA - Easy Breezy,Utada,Easy Breezy,3523238,TRNZOUD128F42BAA2E
accomplished_78,u829,Wilco - Heavy Metal Drummer,Wilco,Heavy metal drummer,4191184,TRRDXSD128F92D31EA
accomplished_79,u851,Hoobastank - Let You Know,Hoobastank,Let You Know,291251,TRBVIWM128F1463CCF
accomplished_80,u855,I wanna be your lover- Prince,Prince,I Wanna Be Your Lover,6686332,
accomplished_81,u256081,Beach Boys - Good Vibrations,The Beach Boys,Good Vibrations,19400118,
accomplished_82,u256081,Shania Twain - You&apos;re Still the One,Shania Twain,You're Still The One,146841,TRCUNLB128E0783EC3
accomplished_83,u276991,Thrice - The Melting Point of Wax.,Thrice,The Melting Point Of Wax,284906,TRWTQCV128F1462B7F
accomplished_84,u603075,*Only One--Yellowcard*,Yellowcard,Only One,285608,TREJJLL128F1462E03
accomplished_85,u481154,steve miller band-joker,Steve Miller Band,The Joker,295560,TRAPHVG128F14595A7
accomplished_86,u574382,Breaking the Habit- Linkin Park,Linkin Park,Breaking The Habit,449741,
accomplished_87,u402339,A Perfect Circle- Judith,A Perfect Circle,Judith,320818,
accomplished_88,u623744,the barricades of heaven - jackson browne,Jackson Browne,The Barricades Of Heaven,7460537,TRPPVZN128F1452604
accomplished_89,u623744,echo - trapt,Trapt,Echo,17425354,
accomplished_90,u277032,Float On- Modest Mouse,Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
accomplished_91,u603083,"Yellowcard-""Inside Out""",Yellowcard,Inside Out,285612,TRYFYVV128F1462E07
accomplished_92,u603084,Snoop Dogg - Let&apos;s get blown,Snoop Dogg,Let's Get Blown,3516898,TRSLKFP128EF341D1B
accomplished_93,u984,Just a Girl - No Doubt,No Doubt,Just A Girl,147724,TRRNWOF128E078EB4C
accomplished_94,u535267,The Killers - Somebody Told Me,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
