annoyed_0,u535104,Hawthorne Heights-Ohio is for Lovers,Hawthorne Heights,Ohio Is For Lovers,15684044,
annoyed_1,u10,Enya - Caribbean Blue,Enya,Caribbean Blue (Remastered 2009),7382473,TRRMSAB128F934BC3D
annoyed_2,u15,chariot- Gretchen Wilson,Gretchen Wilson,Chariot,3281942,TRWUKVR128F4280764
annoyed_3,u535107,flogging molly- drunken lullabies,Flogging Molly,Drunken Lullabies,8587206,TRHSGXW12903CE895F
annoyed_4,u480993,I&apos;d do anything - Simple Plan,Simple Plan,I'd Do Anything (Album Version),63703,TRHUYUD128E07850B1
annoyed_5,u574293,valentine -- the get up kids,The Get Up Kids,Valentine,811395,TRVWHUS128F9335627
annoyed_6,u603014,"""Never Ending Math Equation""-- Modest Mouse",Modest Mouse,Never Ending Math Equation,3300416,TRVKPXM128F4284E60
annoyed_7,u481007,The Young Crazed Peeling- The Distillers,The Distillers,The Young Crazed Peeling,2225439,TRVXIFS128F426227C
annoyed_8,u256059,duran duran- the reflex,Duran Duran,The Reflex,12463,TRNKNJN128F92DF6D5
annoyed_9,u481012,Atreyu - Right Side of the Bed,Atreyu,Right Side Of The Bed,15671787,TRWEHPJ128F42483C5
annoyed_10,u137,Maroon 5 - She Will Be Loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
annoyed_11,u402097,Rape Me-Nirvana,Nirvana,Rape Me,148260,TRHMVGF128E078ED9B
annoyed_12,u155,Garbage - Can&apos;t cry these tears,Garbage,Can't Cry These Tears,19868341,TRYWKAO128E0786BB6
annoyed_13,u574306,My Immortal- Evanescence,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
annoyed_14,u179,"LiLLiX - ""ToMoRRoW""",Lillix,Tomorrow (Radio Remix),470546,TRGCISM128F1486037
annoyed_15,u276683,Blow it away-Adema,Adema,Blow It Away,3360207,TRWUVDK128F429339F
annoyed_16,u271870,"""existentialism on prom night""-straylight run",Straylight Run,Existentialism On Prom Night,15747040,
annoyed_17,u271870,"""still""-rufio",Rufio,Still,14000309,TRVAOGO128F427C9D6
annoyed_18,u271870,"""in years to come""-thrice",Thrice,In Years To Come,6973471,TRPHGGJ128F931F58F
annoyed_19,u603023,Ra - Rectifier,Ra,Rectifier,282646,TRGSAFO128F14622D7
annoyed_20,u574311,The Doors-Spanish Caravan,The Doors,Spanish Caravan,716746,
annoyed_21,u574311,Tenacious D-Tribute,Tenacious D,Tribute,3256551,TRNBFZV128F931F759
annoyed_22,u221,mudvayne- world so cold,Mudvayne,World So Cold Intro,3125094,
annoyed_23,u402131,yellowcard-way away,Yellowcard,Way Away,285603,TRDUOIP128F147D5A7
