anxious_0,u276600,Korn - Make me bad,Korn,Make Me Bad,10343824,TRAGOVG128F42A963D
anxious_1,u480989,Roses - Outkast,OutKast,Roses,19726784,TRZTJRK128F428D2BC
anxious_2,u535113,Ivy - Blame It On Yourself,Ivy,Blame It On Yourself,11113475,TROICEM12903CEA274
anxious_3,u535114,Rooftops- Mest,Mest,Rooftops (Album Version),389339,TRXDBAZ128F1477AFC
anxious_4,u574296,sugarbomb - hello,Sugarbomb,Hello,10515844,TRQHKEL128F4293499
anxious_5,u276644,Lostprophets - Last Train Home,Lostprophets,Last Train Home,536416,TRKOKRZ128F1492716
anxious_6,u574299,green day  - jesus of suburbia,Green Day,Jesus Of Suburbia,8807708,
anxious_7,u574301,robbie williams - feel,Robbie Williams,Feel,14857619,
anxious_8,u623703,the clash-should i stay or should i go,The Clash,Should I Stay Or Should I Go,10893294,TRHERLD128F42599C6
anxious_9,u276656,This could be Love - Alkaline Trio,Alkaline Trio,This Could Be Love,4105893,TRKCNDX128F42B7653
anxious_10,u603019,Every Time I Die - She&apos;s My Rushmore,Every Time I Die,She's My Rushmore,3022701,TRJMZAL128F424843A
anxious_11,u157,The Joker- Steve Miller Band,Steve Miller Band,The Joker,295560,TRAPHVG128F14595A7
anxious_12,u535130,Exodus- bob,Bob Marley,Exodus,148606,
anxious_13,u603020,Brand New- Mix Tape,Brand New,Mix Tape,16579793,TRAHVYB128F932D5D6
anxious_14,u271870,"""the ex""-billy talent",Billy Talent,The Ex,2271993,TRQQLDY128F422318E
anxious_15,u271870,"""smells like teen spirit""-nirvana",Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
anxious_16,u574311,Flogging Molly-Devil&apos;s Dance Floor,Flogging Molly,Devil's Dance Floor,8587214,TRLTTLL12903D03292
anxious_17,u276695,Liz Phair -- Fuck and Run,Liz Phair,Fuck and Run,17852591,TRVRZAO128F92CBC6F
anxious_18,u256065,Ben Folds - Rockin The Suburbs,Ben Folds,Rockin' The Suburbs,3142404,TRZHTRX128F4262E08
anxious_19,u574316,Metallica-Master of Puppets,Metallica,Master Of Puppets,417005,TRTMDLJ128F93095D0
anxious_20,u273,Yeah-usher,Usher,Yeah! - Instrumental,16143555,
