curious_0,u402060,Frou Frou - Must be dreaming,Frou Frou,Must Be Dreaming,3515385,TRBOQBQ128F42B8BF4
curious_1,u480988,pulp - common people,Pulp,Common People,438507,TRWBYNU128F1480938
curious_2,u61,Trik Turner - Sacrifice,Trik Turner,Sacrifice,4454956,TRPUVPQ128F9341E1C
curious_3,u481000,Eminem  -  Mosh,Eminem,Mosh (Album Version (Explicit)),18123,
curious_4,u535119,even flow- pearl jam,Pearl Jam,Even Flow,11305710,TRCJLKT128F92D5CA4
curious_5,u276631,Blondie- one way or another,Blondie,One Way Or Another,17671559,TRTEYTK128F145BF9E
curious_6,u574297,The Way We Get By- Spoon,Spoon,The Way We Get By,1144361,TRXOSGL128F42BBB25
curious_7,u263592,wonderwall - oasis,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
curious_8,u535135,Drug like- action action,Action Action,Drug Like (Album Version),3238146,TRTRMJV128F422F1E1
curious_9,u402110,Incubus - Aqueous Transmission,Incubus,Aqueous Transmission,4349885,TRYJFWI128F42AAD6F
curious_10,u603021,Trapt - These Walls,Trapt,These Walls (Album Version),6004694,TRWTUPN128F931C09D
curious_11,u276697,Steppenwolf-Magic Carpet Ride,Steppenwolf,Magic Carpet Ride,244862,TRPCNDA128F429D8D4
curious_12,u535142,Kanye West- All Falls Down,Kanye West,All Falls Down,23427,
curious_13,u263596,Pete Murray - So Beautiful,Pete Murray,So Beautiful - Single Version,7349310,
curious_14,u481045,Benny Benassi - Satisfaction,Benny Benassi,Satisfaction,9091711,
curious_15,u276736,The Shins - Caring is Creepy,The Shins,Caring Is Creepy,11270427,TRYSPOW128F4280A46
curious_16,u638950,Eve - Love is blind,Eve,Love Is Blind,163308,
curious_17,u623718,Trapt - Headstrong,Trapt,Headstrong,6004652,
curious_18,u422,Wolfsheim - Sparrows and Nightingales,Wolfsheim,The Sparrows And The Nightingales,5318736,TRAVUTW128F92D821F
curious_19,u436,Lucky-Hoobastank,Hoobastank,Lucky,8926148,TRNRSAV128F148B117
curious_20,u481068,silverstein- giving up,Silverstein,Giving Up,15828940,
curious_21,u535184,Depeche Mode - Stripped,Depeche Mode,Stripped,7330876,
curious_22,u276802,pearl jam- yellow ledbetter,Pearl Jam,Yellow Ledbetter,3273876,TRYFBEP128F427E7E2
curious_23,u276811,Barbie Girl- aqua,Aqua,Barbie Girl,6355940,TRMTATV12903CA4A32
curious_24,u481083,nirvana-smells like teen spirit,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
curious_25,u535202,Verve - Bitter Sweet Symphony,The Verve,Bitter Sweet Symphony,8384,TRAALAH128E078234A
curious_26,u256075,"Boomkat - ""The Wreckoning""",Boomkat,The Wreckoning,496634,TRRNUHD128F148AE02
curious_27,u276848,the kills - At the Back of the Shell,The Kills,At The Back Of The Shell,5903063,TRKFXWX128F93038B1
curious_28,u276863,california-phantom planet,Phantom Planet,California (Live),3166258,
curious_29,u638959,Faith- Limp Bizkit,Limp Bizkit,Faith,3850158,
curious_30,u535218,Doo Wop (That Thing) - Lauryn Hill,Lauryn Hill,Doo Wop (That Thing),4610908,TRGJSAL128F92DDC1A
curious_31,u402264,Nevermore- Who Decides.,Nevermore,Who Decides (re-mixed & re-mastered),8139334,TRKQYYE12903CF24DC
curious_32,u574362,child star-the unicorns,The Unicorns,Child Star,4868301,TRJOVWN128F4281CF6
curious_33,u256078,Memory - Sugarcult,Sugarcult,Memory,10482238,
curious_34,u402272,Don&apos;t Cry - guns n Roses,Guns N' Roses,Don't Cry (Original),23510,TRVUGOX128E0784629
curious_35,u690,Float On - Modest Mouse,Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
curious_36,u268550,Addicted- Lit,Lit,Addicted,3379670,TRJPPRG128F4297FAB
curious_37,u276932,Wouldn&apos;t It be Nice- the Beach Boys,The Beach Boys,Wouldn't It Be Nice,17907639,TRUXCMZ128F14850B2
curious_38,u623735,"""Bedroom Talk""-The Starting Line",The Starting Line,Bedroom Talk,3812528,TRIZYED128F14534E7
CURIOUS_39,u402300,Yellowcard---breathing,Yellowcard,Breathing,285604,TRIPEHH128F1462DFF
curious_40,u807,Live - Lakini&apos;s Juice,Live,Lakini's Juice,150134,TRUMYIZ128E078374D
curious_41,u402309,Lauryn Hill - Peace of mind,Lauryn Hill,I Gotta Find Peace Of Mind,3209959,TRGSBTP128F426F2A0
curious_42,u869,Rick Springfield - Jessie&apos;s Girl,Rick Springfield,Jessie's Girl,3565391,TRQJQBY128F4289141
curious_43,u276997,Benny Benassi - Satisfaction,Benny Benassi,Satisfaction,9091711,
curious_44,u574381,bob marley - three little birds,Bob Marley,Three Little Birds,17373245,
curious_45,u277005,Atari Teenage Riot - fuck all,Atari Teenage Riot,Fuck All,5596449,TRJOMYP128F932EA1A
curious_46,u603076,Deep Forest -- India,Deep Forest,India,17921675,TRKSFWW128F92FCF1C
curious_47,u277030,Neil Young - Heart of Gold,Neil Young,Heart Of Gold,1408506,
curious_48,u574390,The Killers - On Top,The Killers,On Top,4465251,TRNIUTJ128F4214AA0
curious_49,u623748,perfect - simple plan,Simple Plan,Perfect (Album Version),63617,TRTTCQJ128E078508A
curious_50,u638973,John Mayer- Daughters,John Mayer,Daughters,10562801,TRGRKMN128F4280B9D
curious_51,u268552,Love Song - 311,311,Love Song,5828367,
curious_52,u574401,Tori Amos - Pancake,Tori Amos,Pancake,3415562,TRBZPHY128F42A0B05
curious_53,u481179,lynyrd skynyrd -Free Bird,Lynyrd Skynyrd,Free Bird,14877261,TRHWANA128F93173FC
curious_54,u574409,"New Order - ""Bizarre Love Triangle""",New Order,Bizarre Love Triangle '94,96623,TRMBQUY128E0787D4B
curious_55,u574416,Bohemian Rhapsody - Queen,Queen,Bohemian Rhapsody,11612115,TRINKPR128F1455756
curious_56,u535286,System of a Down--Prison Song,System of a Down,Prison Song,3226377,TRGSBHX128F427327F
curious_57,u277124,The Academy Is - Season,The Academy Is...,Season (Album Version),312297,TRXCHFH128F1468729
curious_58,u638986,Best of me- Starting Line,The Starting Line,The Best Of Me,276875,TRZBOTQ128F1460DBB
curious_59,u535290,switchfoot-adding to the noise,Switchfoot,Adding To The Noise,7333377,TRUYYWY12903CA52A2
curious_60,u402413,I Like That-Houston,Houston,I Like That,272518,
curious_61,u263620,"""Tie the Rope"" - The Format",Format,Tie The Rope (Album Version),3547585,
curious_62,u623762,311 - Large in the Margin,311,Large In The Margin,5927177,TRHQKIR128F930967C
curious_63,u535299,cky - close yet far,CKY,Close Yet Far (Live),271015,
curious_64,u1248,foolish fool-sublime,Sublime,Foolish Fool,230941,TRBLWYL128F14568D3
curious_65,u603112,"""Haunted""- Poe",Poe,Haunted,6246685,TRUOGKT128F9356C4F
curious_66,u603113,"""With You"" - Jessica Simpson",Jessica Simpson,With You,759675,TRNANAN128F428248D
curious_67,u402447,Local H -Bound for the Floor,Local H,Bound For The Floor (Acoustic),580672,
curious_68,u402449,keane - bedshaped,Keane,Bedshaped,1528,TRBGQHZ128F424EA56
curious_69,u481254,Eagles - Hotel California,Eagles,Hotel California,5912273,TRXWWWB128F9305CAA
curious_70,u402457,Mario- Let me love you,Mario,Let Me Love You,3471123,TRGFRWU128F42ADFA6
curious_71,u1333,caught up - Usher,Usher,Caught Up,3108485,TRSWWOH128F429CC85
curious_72,u1354,rob zombie- living dead girl,Rob Zombie,Living Dead Girl,162659,TRIOYRS128E079388B
curious_73,u402462,a perfect sonnet- bright eyes,Bright Eyes,A Perfect Sonnet,570627,TRIGTIQ128F14979A3
curious_74,u623773,Fuct Up Kid- Mest,Mest,Fuct Up Kid (Album Version),8485660,TRWRTYL12903CCFDBC
curious_75,u263622,"""Soldier"" - Destiny&apos;s Child",Destiny's Child,Soldier,7174750,
curious_76,u263622,"""So Far Away"" - Crossfade",Crossfade,So Far Away,3275378,TRLCWKJ128F427EDC0
curious_77,u402474,Something Corporate - Konstantine,Something Corporate,Konstantine,244669,TRQIXPI128F1459AFE
curious_78,u623777,M2M - Mirror Mirror,M2M,Mirror Mirror (LP Version),5675990,TRZMQOR128F9341FF6
curious_79,u402498,Solsbury Hill -Peter Gabriel,Peter Gabriel,Solsbury Hill,3058260,
curious_80,u623781,My Chemical Romance - Helena,My Chemical Romance,Helena,1420735,
curious_81,u402524,"""magic carpet ride"" - steppenwolf",Steppenwolf,Magic Carpet Ride,244862,TRPCNDA128F429D8D4
curious_82,u277310,bob dylan- hurricane,Bob Dylan,Hurricane,10894081,TRMYEFF128F426EF54
curious_83,u268561,Sex Pistols-Anarchy in the UK,Sex Pistols,Anarchy In The UK,17419630,
curious_84,u268561,Dimmu Borgir-Puritania,Dimmu Borgir,Puritania,1118270,TRATOAJ128F422F6A7
curious_85,u268561,Senses Fail-Bloody Romance,Senses Fail,Bloody Romance,214396,TRHQMKP128F14534EC
curious_86,u1582,SES - Love,Booty Love Gang,Verses de l'huile sur ses courbes,4032370,TRQFSDK128F93277F3
curious_87,u639000,"muse - ""time is running out""",Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
curious_88,u268562,red hot chili peppers - under the bridge,Red Hot Chili Peppers,Under The Bridge,132205,
curious_89,u481318,every time i die- romeo a go-go,Every Time I Die,Romeo A Go-Go,3022697,TRLTUKJ128F4248436
curious_90,u481324,green day-when i come around,Green Day,When I Come Around,2281403,
curious_91,u535354,Brand New-Guernica,Brand New,Guernica,7056195,TRPHSQI128F933362C
curious_92,u277393,Sarah McLachlan - afterglow,Sarah McLachlan,"Wait (From ""Afterglow Live"")",18878336,
curious_93,u256098,delta goodrem - in my own time,Delta Goodrem,In My Own Time,3231802,TRXQUKO128F42747B0
curious_94,u535364,Live- I Alone,Live,I Alone,150033,
curious_95,u481367,the cure - where the birds always sing,The Cure,Where The Birds Always Sing,149144,TROKBFW128E078F136
curious_96,u574490,rascal flatts-bless the broken road,Rascal Flatts,Bless The Broken Road (Acoustic),1134081,
curious_97,u535385,"Jackson Browne- ""Lives In The Balance""",Jackson Browne,Lives In The Balance,4556167,TRFUXHA128F1452611
curious_98,u271882,Echo - Trapt,Trapt,Echo,17425354,
curious_99,u1995,Republica - Ready To Go,Republica,Ready To Go,9224684,TRGZSAD12903CF9E95
