devious_0,u46,Postal Service--Sleeping In,The Postal Service,Sleeping In,15773698,
devious_1,u276610,Ashlee Simpson - Pieces of Me,Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
devious_2,u481000,Edgewater  -  Science Of It All,Edgewater,Science Of It All,7003912,TRRDCGS128F9326A51
devious_3,u574292,the great disappointment - a.f.i.,AFI,The Great Disappointment,3857053,TRLXCEF128F9304164
devious_4,u535121,The Get Up Kids - Mass Pike,The Get Up Kids,Mass Pike,9612052,TRDSDCI12903CDBF24
devious_5,u623703,weezer-sweater song,Weezer,Undone -- The Sweater Song,3814173,TRSMLEM128F9339EA8
devious_6,u180,"Good Charlotte - ""the young and the hopeless""",Good Charlotte,The Young & The Hopeless,4348716,TRERTCG128F427BF12
devious_7,u402108,house of jealous lovers- the rapture,The Rapture,House Of Jealous Lovers,85365,TRWNUXD128F146B7ED
devious_8,u276702,copeland-priceless,Copeland,Priceless,2927677,TRRNCJI128F427CA3D
devious_9,u276703,Dimmu borgir - Burn in hell,Dimmu Borgir,Burn In Hell,1118280,TRUNPII128F42912D2
devious_10,u263596,Pete Murray - So Beautiful,Pete Murray,So Beautiful - Single Version,7349310,
devious_11,u402172,AFI-Silver and Cold,AFI,Silver And Cold,3857046,TRZCCSU128F1474B88
devious_12,u638952,Sweetest Thing- U2,U2,Sweetest Thing,4129845,TRCUYBK128F933ADC3
devious_13,u263599,Barenaked Ladies - One Week,Barenaked Ladies,One Week,15457436,
devious_14,u535,outkast-roses,OutKast,Roses,19726784,TRZTJRK128F428D2BC
devious_15,u276889,Keith Urban - Making Memories of Us,Keith Urban,Making Memories Of Us,1832851,TRLAGJN128F1488E6F
devious_16,u764,Long Snake Moan-PJ Harvey,PJ Harvey,Long Snake Moan,4262,TRPXBMS128E078113F
devious_17,u767,"""Personal Jesus""-Marilyn Manson",Marilyn Manson,Personal Jesus,15774,TRWBPLY12903CE52B8
devious_18,u603070,If and When We Rise Again - Streetlight Manifesto,Streetlight Manifesto,If And When We Rise Again,15813180,
devious_19,u574373,"""Love Rhymes With Hideous Car Wreck""  -The Blood Brothers",The Blood Brothers,Love Rhymes With Hideous Car Wreck,7295145,TROENFE128F932DFBB
devious_20,u603072,Better - Hoobastank,Hoobastank,Better,485119,TREMXNG128F1463CD0
devious_21,u481141,Right for me - Justin Timberlake,Justin Timberlake,Right For Me,4454999,TRLRHTW128F42962E5
devious_22,u276995,Garbage- Queer,Garbage,Queer (Live),19868439,
devious_23,u574387,IT&apos;S MY LIFE------NO DOUBT,No Doubt,It's My Life,3779600,TRMDQOY128E078EB4D
devious_24,u1006,death cab for cutie- photobooth,Death Cab for Cutie,Photobooth,449506,
devious_25,u277088,Heaven Knows I&apos;m Miserable Now- The Smiths,The Smiths,Heaven Knows I'm Miserable Now,3724652,TRMATIZ12903CA7203
devious_26,u277109,Spill Canvas - The Tide,The Spill Canvas,The TIde (LP Version),1242869,TRJJETI128F42A6A5E
devious_27,u481200,"System Of A Down - ""ATWA""",System of a Down,ATWA,3226385,TRGFQXC128F92F3C37
devious_28,u277127,Incubus-megalomaniac,Incubus,Megalomaniac,10973049,TRLINWE128F428080B
devious_29,u277142,Finch - three simple words,Finch,Three Simple Words,266236,TRMOCVK12903CACB1A
devious_30,u402461,Disturbed - Down with the Sickness,Disturbed,Down With The Sickness,8552136,
devious_31,u1369,Talib Kweli - Ghetto Show,Talib Kweli,Ghetto Show,8122185,
devious_32,u277229,Snow Patrol - Run,Snow Patrol,Run,346912,TRGUKXL128E07846D5
devious_33,u1513,creatures- 311,311,Creatures (For A While),5828357,TRMFGPR128F92DC53B
devious_34,u535332,nofx - stickin in my eye,NOFX,Stickin In My Eye,2218212,TRRHVTZ128F4289089
devious_35,u1601,40 Below Summer- A Season In Hell,40 Below Summer,Season In Hell (Album Version),2306451,TRKZRFG128F427539F
devious_36,u256096,Slipknot --- Surfacing,Slipknot,Surfacing [Live],3544765,TRIIHYJ128F92C4BAD
devious_37,u1635,SLAYER- Raining Blood.,Slayer,Raining Blood,10863076,TRFTHOM128F92EA2E5
devious_38,u256097,Courtney Love - Almost Golden,Courtney Love,Almost Golden,295785,TRCDFEQ128F1464CA7
devious_39,u574477,Guns N Roses - Patience,Guns N' Roses,Patience,23506,TRMQYNA128E0799A6A
devious_40,u271882,Stacie Orrico - Stuck,Stacie Orrico,Stuck (Thunderpuss Radio Remix),,TRDAMRS128F1468C69
devious_41,u402625,HateBreed- I Will Be Heard,Hatebreed,I Will Be Heard,3306145,TROEDVL128F428649A
devious_42,u402625,HateBreed- I will be heard,Hatebreed,I Will Be Heard,3306145,TROEDVL128F428649A
devious_43,u535404,talking heads- burning down the house,Talking Heads,Burning Down The House,6616435,TRLDHFI12903CE3806
devious_44,u603160,Space Raiders - Song For Dot,Space Raiders,Song For Dot,8833212,TROAURT12903CB0BD3
devious_45,u277548,Rasputina - Rusty the Skatemaker,Rasputina,Rusty The Skatemaker,3160671,TRVTDXQ128F426581B
devious_46,u535423,addicted - kelly clarkson,Kelly Clarkson,Addicted,4313967,TRPRJUW128F42A3AFD
