discontent_0,u19,Linkin Park  - Faint,Linkin Park,Faint [Live In Japan],864336,TRECWKG128EF35F93C
discontent_1,u574286,Stabbing Westward - Save Yourself,Stabbing Westward,Save Yourself,12430688,TRGYHRX128F4263395
discontent_2,u481005,The Smiths- Heaven Knows I&apos;m Miserable Now,The Smiths,Heaven Knows I'm Miserable Now,3724652,TRMATIZ12903CA7203
discontent_3,u402095,Gretchen Wilson-What Happened,Gretchen Wilson,What Happened,3281939,TRHIYUI128F4280761
discontent_4,u535128,Wheel-John Mayer,John Mayer,Wheel,3481729,TREQMWE128F427EDE8
discontent_5,u276672,Yellow - Coldplay,Coldplay,Yellow,425045,TRIKGRK128E0780DB0
discontent_6,u638947,lEttErS tO gOd -- bOx cAr rAcEr,Box Car Racer,Letters To God,2184636,TRMTMKG128F1456CBC
discontent_7,u535154,Further Seems Forever - Light Up Ahead,Further Seems Forever,Light Up Ahead (Live),5709396,TRNSHLG128F934A1B3
discontent_8,u291,Witch Hunt - Rush,Rush,Witch Hunt,532617,
discontent_9,u535158,[Metallica - Enter Sandman],Metallica,Enter Sandman,417163,TRQSYEE128F147CC5D
discontent_10,u320,One Call Away - Chingy,Chingy,One Call Away,477198,
discontent_11,u603047,Thursday - This Side Of Brightness,Thursday,This Side Of Brightness,560023,TRZYUNQ128F14862A2
discontent_12,u440,Smashing Pumpkins - Spaceboy,The Smashing Pumpkins,Spaceboy,16318374,TREOOAM128E0788902
discontent_13,u444,oasis- wonderwall,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
discontent_14,u492,coldplay - yellow,Coldplay,Yellow,425045,TRIKGRK128E0780DB0
discontent_15,u535192,Brick Shithouse - Placebo,Placebo,Brick Shithouse,1434403,TRKARMP128E0780D7C
discontent_16,u535195,Excitable Boy - Warren Zevon,Warren Zevon,Excitable Boy [Live Version],3762208,TRTKPCX128F92F131E
discontent_17,u276823,"""Holiday""---Green Day",Green Day,Holiday,8807805,
discontent_18,u573,Edwin McCain- I&apos;ll Be,Edwin McCain,I'll Be,5840262,TRAPJGX128F92F43A7
discontent_19,u535209,Godsmack - I stand alone,Godsmack,I Stand Alone,1940926,TRYUJBG128F422B9C8
discontent_20,u481093,Incubus-Here in My Room,Incubus,Here In My Room,10973067,TRJRKLT128F42807B6
discontent_21,u276861,"""sparks"" - coldplay",Coldplay,Sparks,425044,TRNGAAK128F147DF92
discontent_22,u535212,The Doors - Touch Me,The Doors,Touch Me,2309600,
discontent_23,u276887,Boston - Rock & Roll Band,Boston,Rock & Roll Band,3158582,TRQWTRO128F426A902
discontent_24,u481104,Cake - Sheep Go To Heaven,Cake,Sheep Go To Heaven,3335583,TRSFJQM128F428D38F
