ditzy_0,u623697,Linkin Park - Faint,Linkin Park,Faint [Live In Japan],864336,TRECWKG128EF35F93C
ditzy_1,u623698,finch - letters to you,Finch,Letters To You,266227,TRQSOVZ128F14534EA
ditzy_2,u402064,Set Phasers to Stun-Taking Back Sunday,Taking Back Sunday,Set Phasers To Stun,15686827,
ditzy_3,u275919,Queen - Crazy Little Thing Called Love,Queen,Crazy Little Thing Called Love,11612125,
ditzy_4,u109,Alicia Keys - A Woman&apos;s Worth,Alicia Keys,A Woman's Worth,14136369,TRGHUYL128F429A201
ditzy_5,u402106,She Will Be Loved- Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
ditzy_6,u623705,The Eagles - Hotel California,Eagles,Hotel California,5912273,TRXWWWB128F9305CAA
ditzy_7,u535142,creed-one last breath,Creed,One Last Breath,6521336,TRNCEUK12903CCC629
ditzy_8,u603028,Let it be-The Beatles,The Beatles,Let It Be,21979062,
ditzy_9,u309,Faithless-Insomnia,Faithless,Insomnia,4422270,TRHWBQT12903D05236
ditzy_10,u402218,She will be loved -- Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
ditzy_11,u638954,|*- The sound of his voice -*|,Bob Baldwin,Maurice_ The Sound Of His Voice,8037068,TRELTKS12903CD95EE
ditzy_12,u574346,Taking Back Sunday - You Know How I Do,Taking Back Sunday,You Know How I Do,15671894,
ditzy_13,u481096,Crazy Train- Ozzy Osbourne,Ozzy Osbourne,Crazy Train,13775572,TRLDBHR128F9306F73
ditzy_14,u256077,saosin- lost symphonies,Saosin,Lost Symphonies (Live),178815,TRZUCBB128E0795427
ditzy_15,u275920,"""Hold On""-Dashboard Confessional",Dashboard Confessional,Hold On,11487197,TRLXFHT128E078460D
ditzy_16,u535238,aqua- Barbie girl,Aqua,Barbie Girl,6355940,TRMTATV12903CA4A32
ditzy_17,u256084,99 problems - jay z,Jay-Z,99 Problems,17671535,TRPVVGC12903CAC89F
ditzy_18,u277047,All I want for Christmas is you- Mariah Carey,Mariah Carey,All I Want For Christmas Is You,11182370,TRDYHSN128F4267081
ditzy_19,u1010,Jimmy Eat World - Work,Jimmy Eat World,Work,18504363,TRPYDWB128E0786534
ditzy_20,u481181,Float On- Modest Mouse,Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
ditzy_21,u481202,Maroon 5- This love,Maroon 5,This Love,864400,TRZHXFO128F9302A17
ditzy_22,u535295,"""ocean breathes salty""-Modest Mouse",Modest Mouse,Ocean Breathes Salty,3275039,TRGGNJT128F427EC6D
ditzy_23,u623765,think about you   -simple plan,Simple Plan,Don't Wanna Think About You (Album Version),68711,TRIOQDY128E078515C
ditzy_24,u623777,Nelly - My Place,Nelly,My Place,2234317,TRWDEVW128F426412E
ditzy_25,u623778,let&apos;s stay together - al green,Al Green,Let's Stay Together,5211245,TREKJHD128F92D11CB
ditzy_26,u277261,no doubt - hey baby,No Doubt,Hey Baby,147739,TRDOGJW128E078EB5E
ditzy_27,u574448,leave right now - will young,Will Young,Leave Right Now,6929665,TRMWDDD128F92E1ECF
ditzy_28,u574452,Stupid - Sarah McLachlan,Sarah McLachlan,Stupid,4143116,TRMJGNI128F92C3064
ditzy_29,u1546,Maps - Yeah Yeah Yeahs,Yeah Yeah Yeahs,Maps,289121,TRMSOEB128F147517B
ditzy_30,u256094,My Happy Ending- Avril Lavigne,Avril Lavigne,My Happy Ending,3363655,TRTXJBO128F4294115
ditzy_31,u1589,Neil Diamond - I Haven&apos;t Played This Song In Years,Neil Diamond,I Haven't Played This Song In Years,3140109,TRCPHWW128F4262511
ditzy_32,u277337,Razed In Black - I&apos;ll Damage You,Razed in Black,I'll Damage You,1674928,
ditzy_33,u277349,Dare you to move - Switchfoot,Switchfoot,Dare You To Move,7333372,TRMAAYB12903CA52A5
ditzy_34,u256099,ratt--lack of communication,Ratt,Lack Of Communication,1239030,
ditzy_35,u603144,"""Run Like Hell"" - Pink Floyd",Pink Floyd,Run Like Hell,15487580,
ditzy_36,u535378,Good Charlotte - Young and the Hopeless,Good Charlotte,The Young & The Hopeless,4348716,TRERTCG128F427BF12
ditzy_37,u535381,Yeah Yeah Yeahs - Maps,Yeah Yeah Yeahs,Maps,289121,TRMSOEB128F147517B
ditzy_38,u481369,Yeah - Usher,Usher,Yeah! - Instrumental,16143555,
ditzy_39,u402626,ryan cabrera- true,Ryan Cabrera,True (Spanglish Version),1337642,TRGMKDB128F423117A
ditzy_40,u535401,The Authority Song - Jimmy Eat World,Jimmy Eat World,The Authority Song,161993,TRRHSQS128F42900FF
ditzy_41,u639018,U2 - Sweetest Thing,U2,Sweetest Thing,4129845,TRCUYBK128F933ADC3
ditzy_42,u639021,maroon 5-she will be loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
ditzy_43,u481445,"""Oops I did it again"" <---- Britney Spears!!",Britney Spears,Oops!...I Did It Again,19174290,TRBAUVN128F932FEF8
ditzy_44,u535458,sister hazel - all for you,Sister Hazel,All For You (Acoustic),2946758,TRIUXIV128F4281462
ditzy_45,u481490,My Immortal - Evanescence,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
ditzy_46,u574550,fefe dobson - everything,Fefe Dobson,Everything,19537922,TRZBFRE128F92F3B03
ditzy_47,u639036,Coldplay- Trouble,Coldplay,Trouble,425046,TRGSPUQ128E0780DA5
ditzy_48,u481505,Alan Parsons Project - Eye in the Sky,The Alan Parsons Project,Eye In The Sky,6367151,
ditzy_49,u535485,Sex Pistols-- No Feelings,Sex Pistols,No Feelings,7500803,
ditzy_50,u2533,I Am Who I Am - Lara Fabian,Lara Fabian,I Am Who I Am,3249987,TRVCDUH128F4278BFA
ditzy_51,u535503,All I wanna do- Sheryl Crow,Sheryl Crow,All I Wanna Do,1940779,TRALGCA128E078EC5F
ditzy_52,u2641,Ja Rule- Put It On Me,Ja Rule,Put It On Me,810459,
ditzy_53,u574582,snow patrol- ways and means,Snow Patrol,Ways & Means,162831,TRCRABB128E0780FE0
ditzy_54,u535520,Cyndi Lauper- Girls Just Wanna Have Fun,Cyndi Lauper,Girls Just Wanna Have Fun,8282226,TREJCZX12903CC84A4
ditzy_55,u535529,losing grip -- avril lavigne,Avril Lavigne,Losing Grip,3432791,TRCADQW128F4260C6D
ditzy_56,u256124,Rufio - Still,Rufio,Still,14000309,TRVAOGO128F427C9D6
ditzy_57,u481575,Jessica Simpson- take mY Breath Away,Jessica Simpson,Take My Breath Away,3727795,TRFDQNJ128F92EC421
ditzy_58,u2857,Drowning pool- Bodies,Drowning Pool,Bodies,6522377,TRILVCI12903CCC9D7
ditzy_59,u623879,With You - Jessica Simpson,Jessica Simpson,With You,759675,TRNANAN128F428248D
ditzy_60,u574621,as i lay dying - forever,As I Lay Dying,Forever,10413737,TRRXHKC128F934B693
ditzy_61,u574634,karma-alicia keys,Alicia Keys,Karma,3358987,TRHBKJS128F42AC31B
ditzy_62,u268587,Every Breath You Take -- Police,The Police,Every Breath You Take,164162,TRGOAML128F92EC212
ditzy_63,u481651,Eric Clapton - Unplugged,Eric Clapton,Layla [Unplugged] (Edit),1736480,
ditzy_64,u3176,Come On Home - Franz Ferdinand,Franz Ferdinand,Come On Home,5025236,TRHGAHW128F4260329
ditzy_65,u535607,penny and me - hanson,Hanson,Penny & Me,16092526,TRAQBHJ128E0794F0B
ditzy_66,u3405,rufus wainwright- cigarettes and chocolate milk,Rufus Wainwright,Cigarettes And Chocolate Milk (Reprise),673648,
ditzy_67,u256142,The Killers - Jenny Was A Friend Of Mine,The Killers,Jenny Was A Friend Of Mine,4465242,TRZEUSK128F9309A53
ditzy_68,u481720,Holiday -- Green Day,Green Day,Holiday,8807805,
ditzy_69,u268591,Elton John - Don&apos;t Go Breaking My Heart,Elton John,Don't Go Breaking My Heart,6516558,
ditzy_70,u278221,Feuer Frei - Rammstein,Rammstein,Feuer Frei,3641090,TRRMNLW128F92D92B0
ditzy_71,u574703,Destiny&apos;s Child - Soldier,Destiny's Child,Soldier,7174750,
ditzy_72,u623939,I want your sex-George Michael,George Michael,I Want Your Sex,12143633,TRGNGKL128F92F5DE9
ditzy_73,u403231,Hoobastank - The reason,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
ditzy_74,u403231,maroon 5 - She will be loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
ditzy_75,u535716,sonic youth-sugar kane,Sonic Youth,Sugar Kane,5553391,TRSSDPM128F148D0B6
ditzy_76,u4061,"Spice Girls- ""Wannabe""",Spice Girls,Wannabe,19400088,
ditzy_77,u481853,micheLLe BRAncH --GOoDBYE to You--,Michelle Branch,Goodbye To You,6607860,
ditzy_78,u263673,Vanessa Carlton - White Houses,Vanessa Carlton,White Houses,18010,TRVOWOG128E0783E33
ditzy_79,u535760,Coheed and Cambria - Blood Red Summer,Coheed and Cambria,Blood Red Summer,5773636,TRRVYBX128F4282551
ditzy_80,u4452,Amazing - Alex Lloyd,Alex Lloyd,Amazing,465463,TRYBSRM128F1484FDC
ditzy_81,u278781,Slave 4 U- Britney Spears,Britney Spears,I'm A Slave 4 U,7042064,TRUJONK12903C96987
ditzy_82,u256176,"""Sunlight""-Natalie Imbruglia",Natalie Imbruglia,Sunlight,3107213,TRYUHCT128F931D2CD
ditzy_83,u278880,"""Are You Happy Now?""-Michelle Branch",Michelle Branch,Are You Happy Now?,6632264,
ditzy_84,u639149,wham! - last christmas,Wham!,Last Christmas,17555536,TREHFVL128F42597D9
ditzy_85,u278937,Her Brand New Skin----Everclear,Everclear,Her Brand New Skin,7287,TRMAWNW128E0781B77
