dorky_0,u535104,Hawthorne Heights-Ohio is for Lovers,Hawthorne Heights,Ohio Is For Lovers,15684044,
dorky_1,u16,Sic Transit Gloria...Glory Fades--Brand New,Brand New,Sic Transit Gloria ... Glory Fades,7056177,TRGKWHO128F933361A
dorky_2,u480988,death cab for cutie - transatlanticism,Death Cab for Cutie,Transatlanticism,14139748,TRPDIJL128F145C25D
dorky_3,u276614,nick cave - loverman,Nick Cave & The Bad Seeds,Loverman (2011 - Remaster),13706709,
dorky_4,u276630,Sting- Desert Rose,Sting,Desert Rose,164171,TRUMWXT128F9312ECE
dorky_5,u263591,Something Corporate - Space,Something Corporate,Space,11691958,TRYYPQS12903CB7021
dorky_6,u268544,Eminem- Just Lose It,Eminem,Just Lose It (Instrumental),14645,
dorky_7,u402099,Lacuna Coil--Heaven&apos;s a Lie,Lacuna Coil,Heaven's A Lie,7717695,TRBFOFD12903D02794
dorky_8,u402103,inside out--Yellowcard,Yellowcard,Inside Out,285612,TRYFYVV128F1462E07
dorky_9,u256062,river city rebels-no easy way out,River City Rebels,No Easy Way Out,15813055,
dorky_10,u402115,Bob Marley- Turn your lights down low,Bob Marley,Turn Your Lights Down Low,3988463,
dorky_11,u276685,Brand New - Seventy Times 7,Brand New,Seventy Times 7,16579851,TRVZMXV128F932D5DD
dorky_12,u271870,"""lip gloss and black""-atreyu",Atreyu,Lip Gloss and Black,15671762,TRSESKQ128F42483B2
dorky_13,u276693,Roscoe-Shakedown,Roscoe,Shakedown,274834,TRSFSQZ128F1460698
dorky_14,u263595,What You Waiting For-Gwen Stefani,Gwen Stefani,What You Waiting For?,17671474,TRMTLEF128E0786194
dorky_15,u603027,*Ashlee Simpson - Better Off*,Ashlee Simpson,Better Off,2473026,TRJQAMT128F4214A82
dorky_16,u481029,your own disaster-taking back sunday,Taking Back Sunday,Your Own Disaster '04,15671927,
dorky_17,u263596,Lighthouse Family - High,Lighthouse Family,High,284207,TRGVIBV128F423971F
dorky_18,u402165,"Van Morrison- ""Brown Eyed Girl""",Van Morrison,Brown Eyed Girl,8795800,TRFHYOH128F9358CEF
dorky_19,u402182,The Killers - Mr. Brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
dorky_20,u276777,nirvana - lounge act,Nirvana,Lounge Act,15465048,TRYHOYW128F9312AA8
dorky_21,u638953,Sweet - Ballroom Blitz,Sweet,Ballroom Blitz,6479035,TROLJLW12903CC229D
dorky_22,u535188,The Distillers- Sick of it all,The Distillers,Sick Of It All,2225436,TRQEGKN128F4262279
dorky_23,u535193,Andain - Beautiful Things,Andain,Beautiful Things,11182400,TRWCCWN128F92F9A6E
dorky_24,u533,Louder than Words-Unsung Zeros,Unsung Zeros,Louder Than Words,7867279,TRXKMXC12903CB022F
dorky_25,u576,stevie wonder- superstition,Stevie Wonder,Superstition,282875,TROAFDZ128F148D024
dorky_26,u623727,pearl jam - yellow ledbetter,Pearl Jam,Yellow Ledbetter,3273876,TRYFBEP128F427E7E2
dorky_27,u402261,"Janet Jackson- ""Son of a gun""",Janet Jackson,Son Of A Gun (Rock Remix),3379215,TROZCSS128F4297DFA
dorky_28,u276890,The Pixies - Where is My Mind?,Pixies,Where Is My Mind?,2073191,TRNNGMK128F423F034
dorky_29,u402278,senses fail-bloody romance,Senses Fail,Bloody Romance,214396,TRHQMKP128F14534EC
dorky_30,u623732,Green Day- Boulevard of  Broken Dreams,Green Day,Boulevard Of Broken Dreams,8807889,
dorky_31,u481126,Hopesfall - Icarus,Hopesfall,Icarus,7113370,TRBAKVA12903CEDCC8
dorky_32,u402298,let&apos;s do something different-boys night out,Boys Night Out,(Just Once) Let's Do Something Different,602303,TRHJAVT128F149EFA1
dorky_33,u802,Edgewater - Eyes Wired Shut,Edgewater,Eyes Wired Shut,7003917,TRRHAGL128F92F6FF5
dorky_34,u481132,Matthew Good Band - Hello Time Bomb,Matthew Good,Hello Time Bomb,2712382,
dorky_35,u638966,POD- boom,P.O.D.,Boom,519816,TRYYBLL128F930589C
dorky_36,u276960,gone-switchfoot,Switchfoot,Gone,18957548,TRXLBUQ128F42BC25F
dorky_37,u535253,Maroon 5 -Sunday morning,Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
dorky_38,u275921,Lee Ann Womack - I Hope you Dance,Lee Ann Womack,I Hope You Dance,150935,TREFEUS128E078F7D5
dorky_39,u402338,shadow-ashlee simpson,Ashlee Simpson,Shadow,18453390,TRBPWVZ128F4214A7E
dorky_40,u481161,vitamin c - graduation,Vitamin C,Graduation,2930926,
dorky_41,u974,Taking back sunday- Timberwolves at New Jersey,Taking Back Sunday,Timberwolves At New Jersey,15746786,
dorky_42,u263611,Shaggy- Angel,Shaggy,Angel,3386073,
dorky_43,u268552,One Thing - Finger Eleven,Finger Eleven,One Thing,6572778,TRFKBAS12903CD8DEA
