drained_0,u276590,Avril Lavigne - my happy ending,Avril Lavigne,My Happy Ending,3363655,TRTXJBO128F4294115
drained_1,u574290,Janis Joplin - Bobby McGee,Janis Joplin,Me And Bobby McGee,18160361,TRWAZUK128F4277368
drained_2,u77,The Crystal Ship - The Doors,The Doors,The Crystal Ship,10869667,TRKTASJ128F92F42C0
drained_3,u603010,Lostprophets - Last Train Home,Lostprophets,Last Train Home,536416,TRKOKRZ128F1492716
drained_4,u91,Roses - Outkast,OutKast,Roses,19726784,TRZTJRK128F428D2BC
drained_5,u481002,2 Become 1 - Spice Girls,Spice Girls,2 Become 1,533843,TROXMUA128F1491A41
drained_6,u535120,The Doors- When The Music&apos;s Over,The Doors,When The Music's Over,3693504,
drained_7,u603015,As I Lay Dying - Distance is Darkness,As I Lay Dying,Distance Is Darkness,6204299,TRMYVBL128F934C6ED
drained_8,u268544,Casting Crowns- Who Am I,Casting Crowns,Who Am I,5796800,
drained_9,u535123,night drive - jimmy eat world,Jimmy Eat World,Night Drive,15718,TRNWNUY128E0783719
drained_10,u402096,taking back sunday-set phasers to stun,Taking Back Sunday,Set Phasers To Stun,15686827,
drained_11,u603020,Steve Miller Band- Space Cowboy,Steve Miller Band,Space Cowboy,295572,
drained_12,u166,Fall to Pieces - Avril Lavigne	,Avril Lavigne,Fall To Pieces,3363661,TRQFHAC128F429411B
drained_13,u638942,"""Sorry About That"", - Alkaline Trio",Alkaline Trio,Sorry About That,2246943,TRUVESU128F426C924
drained_14,u172,smile empty soul-the other side,Smile Empty Soul,The Other Side (Edited Album Version),71697,TRCSYOY12903CC48ED
drained_15,u176,"""Somebody Told Me"" - The Killers",The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
drained_16,u177,pyramid song-radiohead,Radiohead,Pyramid Song,2748245,TRHQYEV128E078129D
drained_17,u638943,Only Time - Enya,Enya,Only Time,216567,
drained_18,u256062,sparta-cut your ribbon,Sparta,Cut Your Ribbon,2471461,TRXUDPN128E0791F3A
drained_19,u194,Dido-no angel,Dido,I'm No Angel,3849140,TRWCPEY128F42884DF
drained_20,u276687,Take My Breath Away - Jessica Simpson,Jessica Simpson,Take My Breath Away,3727795,TRFDQNJ128F92EC421
drained_21,u603025,If Heaven - Andy Griggs,Andy Griggs,If Heaven,3320239,TRTDNUA128F4289975
drained_22,u276696,Brand New- Mix Tape,Brand New,Mix Tape,16579793,TRAHVYB128F932D5D6
drained_23,u256063,Evanescence - My Immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
