drunk_0,u402067,Come- Fleetwood Mac,Fleetwood Mac,Come,12395296,
drunk_1,u42,Ruff Endz - If I Was The One,Ruff Endz,If I Was The One,3141605,TRFYJEQ128F4262AE9
drunk_2,u480993,jojo-leave,JoJo,Leave (Get Out) (Instrumental),4628,
drunk_3,u481012,Kanye West - Jesus Walks,Kanye West,Jesus Walks,15691,TRGUJWM128F148D783
drunk_4,u603019,Weezer - My Name Is Jonas,Weezer,My Name Is Jonas,169107,TRNXEPE128F9339E47
drunk_5,u402131,atomic tangerine--gravity,Atomic Tangerine,Gravity,10562816,
drunk_6,u276712,Mudvayne - Not Falling,Mudvayne,Not Falling,3165571,TRGHEVK128F425EB78
drunk_7,u535158,[Otep - Blood Pigs],Otep,Blood Pigs,3066642,TRCAFWK128F42521A4
drunk_8,u276733,Tipsy- J Kwon,J-Kwon,Tipsy,5829017,TRLROEV128F92F1826
drunk_9,u355,outkast-roses,OutKast,Roses,19726784,TRZTJRK128F428D2BC
drunk_10,u276752,Darkness- I believe in a thing called love,The Darkness,I Believe In A Thing Called Love,11348836,TRDTJKE12903CB29CE
drunk_11,u535180,Ben Folds - The Ascent of Stan,Ben Folds,The Ascent Of Stan,3140223,TRMYXXZ128F4262583
drunk_12,u574343,Mario - Let Me Love You,Mario,Let Me Love You,3471123,TRGFRWU128F42ADFA6
drunk_13,u552,guns n roses - paradise city,Guns N' Roses,Paradise City,22687,TRZJNOD128F4264131
drunk_14,u556,"Big and Rich-""Save a horse ride a cowboy""",Big & Rich,Save A Horse (Ride A Cowboy),79563,
drunk_15,u608,Offspring-Come Out And Play,The Offspring,Come Out and Play,2946205,
drunk_16,u574356,McFly - That Girl,McFly,That Girl,6982485,TRILNLG128F146ECE5
drunk_17,u481105,"""The Cure"" --Metallica",Metallica,Cure,417182,TRDWZUM128F147CC70
drunk_18,u276891,Evanescence - Going Under,Evanescence,Going Under,6521474,TRBSCHB12903CDCF13
drunk_19,u574364,goldfinger - 99 red balloons,Goldfinger,99 Red Balloons,6353673,TRTGQPF128F429508F
drunk_20,u276921,Drive - Incubus,Incubus,Drive,5304930,TRCUEPI128F4278E10
drunk_21,u623736,everlong (acoustic)-foo fighters,Foo Fighters,Everlong (Acoustic Version),6788041,
drunk_22,u276972,SLIPKNOT-Metabolic,Slipknot,Metabolic,1398449,
