embarrassed_0,u481007,The Boys Of Summer- the Ataris,The Ataris,The Boys Of Summer,3222986,TRWQKYO128F427ED6B
embarrassed_1,u535140,Sorry 2004 -ruben studdard,Ruben Studdard,Sorry 2004,3318349,TRXZSUN128F428923F
embarrassed_2,u256064,Time is Running Out- Muse,Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
embarrassed_3,u574324,Barenaked Ladies- Good Boy,Barenaked Ladies,What A Good Boy,5676050,
embarrassed_4,u276800,hawthorne heights - niki fm,Hawthorne Heights,Niki Fm,15684019,
embarrassed_5,u657,fat bottomed girls - queen,Queen,Fat Bottomed Girls,11612119,
embarrassed_6,u603062,Incubus- I miss you,Incubus,I Miss You,3232067,TRYSBRF128F42748B9
embarrassed_7,u535224,Howie Day-Brace Yourself,Howie Day,Brace Yourself,3288447,TRHNQWV128F42AD545
embarrassed_8,u603072,Give It Back - Hoobastank,Hoobastank,Give It Back,291258,TRWZVBQ128F1463CD6
embarrassed_9,u402311,this love-maroon 5,Maroon 5,This Love,864400,TRZHXFO128F9302A17
embarrassed_10,u535265,Shiver- Maroon 5,Maroon 5,Shiver,864402,TRQXLBU128F9302A09
embarrassed_11,u263613,evanescence - &apos;bring me to life&apos;,Evanescence,Bring Me To Life,6521475,TRQZILP128F92F6E61
embarrassed_12,u1260,ONE-U2,U2,One,1621,
embarrassed_13,u481259,Fly Away - Lenny Kravitz,Lenny Kravitz,Fly Away,1550812,TREEZOR128F146A21E
embarrassed_14,u268558,Almost Home-Craig Morgan,Craig Morgan,Almost Home,6534366,TRLSCFB12903CE3013
embarrassed_15,u603126,Jimmy Eat World - Middle,Jimmy Eat World,The Middle,161986,TRRCPXP128E0791F01
embarrassed_16,u256094,On Fire- Lloyd Banks,Lloyd Banks,On Fire,21779594,TRWNUGN12903D08177
embarrassed_17,u603134,Yellow- Coldplay,Coldplay,Yellow,425045,TRIKGRK128E0780DB0
embarrassed_18,u574484,Donovan - Sunshine Superman,Donovan,Sunshine Superman,13902532,TRNNIIM128F427EE50
embarrassed_19,u402661,Alkaline Trio-fuck you aurora.,Alkaline Trio,Fuck You Aurora,2777333,TRJRMVM128F4259C12
embarrassed_20,u603183,Getaway - Bryan Adams,Bryan Adams,Getaway,166540,TRKXEOY128E07930BA
embarrassed_21,u277742,Cranberries - Empty,The Cranberries,Empty,270940,TRBDEBY128F427C0B0
embarrassed_22,u639036,JoJo-Leave,JoJo,Leave (Get Out) (Instrumental),4628,
embarrassed_23,u402808,Blue October - Razorblade,Blue October,Razorblade,2232414,TRTWSHK128F4263995
embarrassed_24,u277815,Mood Indigo- Duke Ellington,Duke Ellington,Mood Indigo,19513888,TRJRJKP128F4269E69
embarrassed_25,u623856,stills-still in love song,The Stills,Still In Love Song,62231,
embarrassed_26,u481547,Bye Bye Badman -- The Stone Roses,The Stone Roses,Bye Bye Badman (Demo Remastered),6114017,
embarrassed_27,u603248,Sunshower - Chris Cornell,Chris Cornell,Sunshower (Great Expectations Soundtrack),6314797,TRODQHQ12903C9ACF6
embarrassed_28,u535590,She Bop - Cyndi Lauper,Cyndi Lauper,She Bop,5293924,TRQLZSP12903CBAAC9
embarrassed_29,u574648,Green Day -St. Jimmy,Green Day,St. Jimmy,8808939,
embarrassed_30,u623907,Metallica-Orion,Metallica,Orion,417010,TRNYJFH128F147CBED
embarrassed_31,u603276,Through with you - Maroon 5,Maroon 5,Through With You,864425,TRBBMQN128EF35F995
embarrassed_32,u603280,Diamonds and Guns- the Transplants,Transplants,Diamonds And Guns (Album Version),3973825,TRMJAIF128F428A2E7
embarrassed_33,u535659,Road to nowhere-Ozzy,Ozzy Osbourne,Road To Nowhere,3261759,TRMZXAB128F427A52D
embarrassed_34,u3650,Apocalyptica - Kaamos,Apocalyptica,Kaamos - Instrumental Version,2477438,
embarrassed_35,u403185,3 Doors Down - Here Without You,3 Doors Down,Here Without You,147252,TRMOYCC128C7196947
