enraged_0,u272,kanye west-all falls down,Kanye West,All Falls Down,23427,
enraged_1,u535199,One Step Closer - Linkin Park,Linkin Park,One Step Closer,193080,TRNFKIB128F93333A1
enraged_2,u619,Violence Fetish - Disturbed,Disturbed,Violence Fetish,8552142,
enraged_3,u574361,as lovers go- dashboard confessional,Dashboard Confessional,As Lovers Go (Remix),5572862,
enraged_4,u603072,My Salvation - Econoline Crush,Econoline Crush,My Salvation,379322,TRGVZCU128F14758FF
enraged_5,u883,Cursive - Art is Hard,Cursive,Art is Hard,1126795,TRODVKZ128F426D462
enraged_6,u603077,seventy times 7- Brand New,Brand New,Seventy Times 7,16579851,TRVZMXV128F932D5DD
enraged_7,u638972,Nothing New - Ashlee Simpson,Ashlee Simpson,Nothing New,3441858,TRIZUZB128F42A6D9E
enraged_8,u402340,Diary- Alicia Keys,Alicia Keys,Diary,3340931,TRZXWKQ128F92F121E
enraged_9,u481170,black sabbath- angry heart,Black Sabbath,Angry Heart,645349,
enraged_10,u574402,explode-the unseen,The Unseen,Explode,2707970,TRSKXMY128F4249F3F
enraged_11,u535279,chop suey-system of a down,System of a Down,Chop Suey!,3226382,TRUENYK128F4274057
enraged_12,u277110,7 Words- Deftones,Deftones,7 Words,685377,
enraged_13,u277123,"3 Doors Down - ""Here without you""",3 Doors Down,Here Without You,147252,TRMOYCC128C7196947
enraged_14,u268558,Never Really Was- Mario Winans,Mario Winans,Never Really Was (Amended Version),200615,TRYOJGO128E0799462
enraged_15,u535317,"yes- ""owner of a lonely heart""",Yes,Owner Of A Lonely Heart,2227058,
enraged_16,u277252,"""president gas"" - the psychedelic furs",The Psychedelic Furs,President Gas,13632735,TRZWHLZ128F4274671
enraged_17,u481276,Morrissey -First of the Gang to Die,Morrissey,The First Of The Gang To Die,10970723,TRRWMNI128F92F977E
enraged_18,u535323,LL Cool J - Mama Said Knock You Out.,LL Cool J,Mama Said Knock You Out,354238,TRLGLMA128F1470959
enraged_19,u638995,Evanescence-Going Under,Evanescence,Going Under,6521474,TRBSCHB12903CDCF13
enraged_20,u574449,coheed and cambria - delirium trigger,Coheed and Cambria,Delirium Trigger,17269711,TRKKRTM128F428254D
enraged_21,u638997,pieces-sum 41,Sum 41,Pieces,15731,TRVLYAC128E0783727
enraged_22,u535340,chris isaak-somebody&apos;s crying,Chris Isaak,Somebody's Crying,423135,
enraged_23,u535350,Limp Bizkit - My Way,Limp Bizkit,My Way,146350,TRPZWPS128E078ED3F
enraged_24,u535354,Linkin Park-Faint,Linkin Park,Faint [Live In Japan],864336,TRECWKG128EF35F93C
enraged_25,u402601,Korn-Right Now,Korn,Right Now,10343820,TRGNAQH128EF342402
enraged_26,u402629,fall-something corporate,Something Corporate,Fall,18130878,TREHLVB128E0791890
enraged_27,u277519,Limp Bizkit - Break Stuff,Limp Bizkit,Break Stuff,3850160,TRCKGPG128E078ED38
enraged_28,u481416,Machine Head - Ten Ton Hammer,Machine Head,Ten Ton Hammer,2343206,
enraged_29,u402715,SALIVA - ALWAYS,Saliva,Always,271775,TRPJSVD12903CF6720
enraged_30,u402726,JoJo- Leave,JoJo,Leave (Get Out) (Instrumental),4628,
enraged_31,u277767,Rob Zombie - Superbeast,Rob Zombie,Superbeast,162660,TRCWSML128F423051E
enraged_32,u402836,All i Wanna Do-Heart,Heart,All I Wanna Do Is Make Love To You,273765,
enraged_33,u481540,dig-mudvayne,Mudvayne,Dig,3140012,TRFRTBK128F42624A0
enraged_34,u574594,People=Shit - Slipknot,Slipknot,People = Shit,19544009,
enraged_35,u402876,Prodigy - Breathe,The Prodigy,Breathe,401242,
enraged_36,u277946,Foo Fighters - Halo,Foo Fighters,Halo,3370761,TRHONVZ128F4295CFB
enraged_37,u481645,same direction - hoobastank,Hoobastank,Same Direction,497431,TRRDBIT128F9316A92
enraged_38,u3225,The Ramones-Sheena Is A Punk Rocker,The Ramones,Sheena Is A Punk Rocker,645026,
enraged_39,u278134,Devildriver-I could care less,DevilDriver,I Could Care Less,1398086,
enraged_40,u574667,Mase - Welcome Back,Mase,Welcome Back,159566,
enraged_41,u3436,Dare You To Move<-SwItChFoOt,Switchfoot,Dare You To Move,7333372,TRMAAYB12903CA52A5
enraged_42,u3447,The KKK Took My Baby Away- Ramones,The Ramones,The KKK Took My Baby Away,4199160,
enraged_43,u623923,Limp Bizkit - My Way,Limp Bizkit,My Way,146350,TRPZWPS128E078ED3F
enraged_44,u574752,Swing swing- All American Rejects,The All-American Rejects,Swing_ Swing,162168,TRHGJYE128E0791F71
enraged_45,u574798,Weezer- Sweater song,Weezer,Undone -- The Sweater Song,3814173,TRSMLEM128F9339EA8
enraged_46,u639125,pantera- floods,Pantera,Floods,684474,
enraged_47,u639137,the distillers - hall of mirrors,The Distillers,Hall Of Mirrors (Album Version),3549120,TRFLUZK128E0785AC4
enraged_48,u278931,Tourniquet- Evanescence,Evanescence,Tourniquet,6521480,TRNXXQF128F42801EF
enraged_49,u403580,Rob Zombie - Dragula,Rob Zombie,Dragula,162658,TRCCICJ128E0793888
enraged_50,u263688,Disturbed- Down With The Sickness,Disturbed,Down With The Sickness,8552136,
enraged_51,u574896,Phil Collins - Rain,Phil Collins,I Wish It Would Rain Down,435082,TRCBIIS128F147FCB6
enraged_52,u574896,Phil Collins - Rain,Phil Collins,I Wish It Would Rain Down,435082,TRCBIIS128F147FCB6
enraged_53,u603451,Broken Promise - God Forbid,God Forbid,Broken Promise,8191116,TRJOOVT12903CF151E
enraged_54,u639182,"Everclear - ""Science Fiction""",Everclear,Science Fiction,2969242,TRZODSR128F4285752
enraged_55,u271907,Korn - Freak On A Leash,Korn,Freak On A Leash,3566179,TRBWEHR128F9314984
enraged_56,u603483,"Morrissey - ""First Of The Gang To Die""",Morrissey,The First Of The Gang To Die,10970723,TRRWMNI128F92F977E
enraged_57,u5690,"""This Love"" (Acoustic) -Maroon 5",Maroon 5,This Love (Acoustic),864400,
enraged_58,u482190,Linkin Park - Faint,Linkin Park,Faint [Live In Japan],864336,TRECWKG128EF35F93C
enraged_59,u624052,Adam Ant - Goody Two Shoes,Adam Ant,Goody Two Shoes,3105597,TRMRNWA128F92DF770
enraged_60,u536040,smack my bitch up - prodigy,The Prodigy,Smack My Bitch Up,401241,
enraged_61,u536044,Linkin Park - Numb,Linkin Park,Numb (Live In Texas),440026,TRHKEAQ128F1480E8E
enraged_62,u603530,Always- Saliva,Saliva,Always,271775,TRPJSVD12903CF6720
enraged_63,u603530,(I Hate) Everything About You- Three Days Grace,Three Days Grace,I Hate Everything About You,3112257,TRRGTOV128F425B9D1
enraged_64,u6302,Bruce Springsteen - Ghost of Tom Joad,Bruce Springsteen,The Ghost Of Tom Joad,15726129,TREYSRP128F92ECA87
enraged_65,u6333,HELP - THE BEATLES,The Beatles,Help!,6516766,
enraged_66,u279767,pantera - walk,Pantera,Walk [Live Version],684480,TRPPFWI128F14B0F1C
enraged_67,u536108,kelis - milkshake,Kelis,Milkshake,2223539,TRCNVLA12903CF6052
enraged_68,u404106,What Goes Around Comes Around - Giggles,Giggles,What Goes Around Comes Around,2752915,TRPTOFG128F4253E07
enraged_69,u279848,Seed 2.0 - The Roots,The Roots,The Seed (2.0),15516890,
enraged_70,u482396,Hatebreed - A Call For Blood,Hatebreed,A Call For Blood,3306146,TRXIBFJ128E078F9FF
enraged_71,u603579,Devo-Gut Feeling,Devo,Gut Feeling,309575,TRJIIBW128F4293F1F
enraged_72,u536214,Marvin Gaye- got to give it up,Marvin Gaye,Got To Give It Up,2076,
enraged_73,u7310,Coldplay -- In My Place,Coldplay,In My Place,2968,TRFWGOJ128E0780C8B
enraged_74,u280202,tiny dancer - elton john,Elton John,Tiny Dancer,14461516,
enraged_75,u404394,Danzig - Mother,Danzig,Mother,16351517,TRQVNXG128F92E8AB6
enraged_76,u273974,Limp  Bizkit- My Way,Limp Bizkit,My Way,146350,TRPZWPS128E078ED3F
enraged_77,u7635,HELP- The Beatles,The Beatles,Help!,6516766,
enraged_78,u7725,Hey Baby -No Doubt,No Doubt,Hey Baby,147739,TRDOGJW128E078EB5E
enraged_79,u404491,common rider - small pebble,Common Rider,Small Pebble,6975011,TRLETIQ128F931FB91
enraged_80,u575185,limp bizkit- break stuff,Limp Bizkit,Break Stuff,3850160,TRCKGPG128E078ED38
enraged_81,u263737,You&apos;re the One-Sugarcult,Sugarcult,You're The One,1083388,TRXGZEC128F428AAE9
enraged_82,u482651,avenged sevenfold-radiant eclipse,Avenged Sevenfold,Radiant Eclipse,7375752,TRMPKTQ12903CAF5C1
enraged_83,u536341,The Smiths - This Charming Man,The Smiths,This Charming Man,3724594,TRRNLVL128F92EB809
enraged_84,u575201,Coldplay- Clocks,Coldplay,Clocks,2971,TRENTGL128E0780C8E
enraged_85,u575211,Alanis-So Unsexy :(,Alanis Morissette,So Unsexy,212879,
enraged_86,u575230,Janis Joplin - Me And Bobby McGee,Janis Joplin,Me And Bobby McGee,18160361,TRWAZUK128F4277368
enraged_87,u624212,"The Killers--""Somebody Told Me""",The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
enraged_88,u482776,BLINDED BY THE LIGHTS - THE STREETS,The Streets,Blinded By The Lights,133916,TRQIBJN128F92EB268
enraged_89,u404735,What about your friends - TLC,TLC,What About Your Friends,12628286,TRURNOJ128F428586D
enraged_90,u575284,Nine Inch Nails - Burn,Nine Inch Nails,Burn - Soundtrack Version (Explicit),169060,
enraged_91,u482832,i won&apos;t be there - Simple Plan,Simple Plan,I Won't Be There,560330,
enraged_92,u280903,"""American Idiot"" - Green Day",Green Day,American Idiot,2281705,
enraged_93,u575303,Green Day - American Idiot,Green Day,American Idiot,2281705,
enraged_94,u404799,Kyur4 Th Ich - linkin park,Linkin Park,Kyur4 Th Ich (Album Version),,TRGXVSC128E07996AF
enraged_95,u536471,A Perfect Circle - Judith,A Perfect Circle,Judith,320818,
enraged_96,u256313,orbital - halcyon + on + on,Orbital,Halcyon And On And On,20797,
enraged_97,u268683,Heaven- Los Lonely Boys,Los Lonely Boys,Heaven,14484642,TRLOLQO128F428244C
enraged_98,u281144,Finch-What it is to burn,Finch,What It Is To Burn,2467062,TRWGYVA12903CACB2A
enraged_99,u9405,Tick ___-----___ Yeah Yeah Yeahs,Yeah Yeah Yeahs,Tick,330859,TROFTNI128F146C777
enraged_100,u603801,Belly Dancer-Akon,Akon,Bananza (Belly Dancer) - Instrumental,146343,
enraged_101,u536582,Evanescence-my immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
enraged_102,u273981,Stronger---Britney Spears,Britney Spears,Stronger,7042063,TRZTHPU128F42980A1
enraged_103,u482995,Fall to Pieces - Velvet Revolver,Velvet Revolver,Fall To Pieces,3296157,TRVSBGC128F4283DBB
enraged_104,u483020,Switchblade Symphony- Dissolve,Switchblade Symphony,Dissolve,805553,TRTTCGV128EF353C21
enraged_105,u575412,Dashboard Confessional - Screaming Infidelities,Dashboard Confessional,Screaming Infidelities,496699,TRZEUSA128F148AE3E
enraged_106,u10050,Billy Idol- White Wedding,Billy Idol,White Wedding,2899040,
enraged_107,u405171,alone in the universe - david usher,David Usher,Alone In The Universe,274185,TRGWYDH128F1460496
enraged_108,u281543,minor threat-filler,Minor Threat,Filler,487602,
