excited_0,u603005,Only One - Lifehouse,Lifehouse,Only One,307753,TRYOPDE128F14676AB
excited_1,u638938,Switchfoot- meant to live,Switchfoot,Meant To Live,3861386,TRFZHJF12903CA52A6
excited_2,u256056,Gwen Stefani - Rich Girl,Gwen Stefani,Rich Girl,86229,
excited_3,u402069,Simple Plan - I&apos;d do anything,Simple Plan,I'd Do Anything (Album Version),63703,TRHUYUD128E07850B1
excited_4,u574285,Where&apos;s the Love-- Hanson,Hanson,Where's The Love,214256,TRNIBSC128F1453461
excited_5,u402074,Eminem- Lose yourself,Eminem,Lose Yourself,220615,TRMSHQN128E0792879
excited_6,u60,Coheed & Cambria - Cuts Marked in the March of Men,Coheed and Cambria,Cuts Marked In The March Of Men,5773635,TRNPTKQ128F92E426D
excited_7,u574288,Right here in my Arms-HIM,HIM,Right Here In My Arms,3340763,TRCZGLI128F42BB3F9
excited_8,u402080,Toxic-Britney Spears,Britney Spears,Toxic,7042069,TRMEBYQ128F932FEFF
excited_9,u623700,annie*-*chewing gum,Annie,Chewing Gum (Mylo Remix),492961,TRNVFKG128F148A30E
excited_10,u574294,limp - fiona apple,Fiona Apple,Limp,3142894,TRSVIBC128F4262FF2
excited_11,u603014,"""The Ha Ha Wall""-- The Libertines.",The Libertines,The Ha Ha Wall,2948776,TRPIMSG128F4281C40
excited_12,u481005,inxs- new sensation,INXS,New Sensation,13808652,
excited_13,u603015,Avenged Sevenfold - Unholy Confessions,Avenged Sevenfold,Unholy Confessions,7375722,TRSKQZQ12903CAF5A3
excited_14,u263591,Less Than Jake - Shotgun,Less Than Jake,Shotgun,11063355,TRFRDES128F4221EA7
excited_15,u402089,No Doubt--Simple Kind of Life,No Doubt,Simple Kind Of Life,147735,TRXLMRV128E078EC78
excited_16,u574297,The District Sleeps Alone Tonight- The Postal Service,The Postal Service,The District Sleeps Alone Tonight,11270584,
excited_17,u603018,MxPx - So Kill Me,MxPx,So Kill Me (Let It Happen Album Version),255950,TRUXQOO128F145C410
excited_18,u402095,Toby Keith-Rodeo Moon,Toby Keith,Rodeo Moon,161838,TRUYBYS128E0791E7B
excited_19,u574303,aaron carter - one better,Aaron Carter,One Better,3530453,TRHERAB128F42BC659
excited_20,u623702,"Operation Ivy- ""Room without a window""",Operation Ivy,Room Without a Window,1828976,TRFQWXF128F429870C
excited_21,u144,only one-yellowcard,Yellowcard,Only One,285608,TREJJLL128F1462E03
excited_22,u150,Pieces of Me-Ashlee Simpson,Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
excited_23,u160,Reptilia - The Strokes,The Strokes,Reptilia,2948903,TRWMVOB128F4281CBF
excited_24,u402101,Rammstein-Alter Mann,Rammstein,Alter Mann,3847447,TRSGZOK128F92D5426
excited_25,u638943,She Will Be Loved - Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
excited_26,u276665,sic-- slipknot,Slipknot,[sic] [Explicit],6484570,TRHCDHI128F92C4B9B
excited_27,u623704,vanessa carlton- who&apos;s to say,Vanessa Carlton,Who's To Say,18011,TRDEPOC128E0783E34
excited_28,u623704,morrissey- first of the gang to die,Morrissey,The First Of The Gang To Die,10970723,TRRWMNI128F92F977E
excited_29,u535136,My Chemical Romance - Cemetery Drive,My Chemical Romance,Cemetery Drive,11754014,
