exhausted_0,u402059,311  - Love Song,311,Love Song,5828367,
exhausted_1,u8,modest mouse - i came as a rat,Modest Mouse,I Came As A Rat,3152231,TRGOOGQ128F4284E69
exhausted_2,u480983,Venom - Black Metal,Venom,Black Metal,3805202,TRHOQNT12903CE122A
exhausted_3,u480983,Metallica - Master of Puppets,Metallica,Master Of Puppets,417005,TRTMDLJ128F93095D0
exhausted_4,u402068,Hawthorne Heights-Ohio Is For Lovers,Hawthorne Heights,Ohio Is For Lovers,15684044,
exhausted_5,u603008,box car racer - letters to god,Box Car Racer,Letters To God,2184636,TRMTMKG128F1456CBC
exhausted_6,u574286,Pearl Jam - Elderly Woman Behind the Counter in a Small Town,Pearl Jam,Elderly Woman Behind The Counter In A Small Town,13167246,TRFXJBK128F427E1DB
exhausted_7,u51,bodies - drowning pool,Drowning Pool,Bodies,6522377,TRILVCI12903CCC9D7
exhausted_8,u574294,sullen girl - fiona apple,Fiona Apple,Sullen Girl,3188761,TRSUQJF128F426A552
exhausted_9,u603014,"""In My Arms""-- Rufus Wainwright",Rufus Wainwright,In My Arms,168875,TRQOZOT128E079380C
exhausted_10,u638940,Billy Talent-Standing in the rain,Billy Talent,Standing In The Rain,2271998,TRMZSNY128F422318B
exhausted_11,u574302,Muse- Stockholm Syndrome,Muse,Stockholm Syndrome,5134203,TRIBLJO128F932B6E9
exhausted_12,u268545,Brick - Ben Folds,Ben Folds,Brick,3166552,TRSETST128F92DD6E4
exhausted_13,u276676,Slipknot - Danger Keep Away,Slipknot,Danger - Keep Away,5838504,
exhausted_14,u231,Disco Inferno- 50 Cent,50 Cent,Disco Inferno,721053,TRCYOEE128E0786532
exhausted_15,u233,Nirvana-Smells like teen spirit,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
exhausted_16,u481026,party time - gloria estefan,Gloria Estefan,You'll Be Mine (Party Time),4301290,TRVOUGF128F4279FF8
exhausted_17,u241,Black-Eyed Peas,The Black Eyed Peas,Request + Line/ Empire Strikes Black,,
exhausted_18,u574319,away from the sun -3 doors down,3 Doors Down,Away From The Sun,147248,TRZZWWR128F427EA01
exhausted_19,u603029,Papa don&apos;t preach - Madonna,Madonna,Papa Don't Preach,6532328,TRBIBLJ12903CCF436
exhausted_20,u481035,pink floyd - wish you were here,Pink Floyd,Wish You Were Here,15462697,
exhausted_21,u535155,john mayer - clarity,John Mayer,Clarity,3275393,TRRCQFA128F427EDCF
exhausted_22,u298,Bohemian Rhapsody -Queen,Queen,Bohemian Rhapsody,11612115,TRINKPR128F1455756
exhausted_23,u273933,My Chemical Romance - Thank You For The Venom,My Chemical Romance,Thank You For The Venom,11754006,
exhausted_24,u481047,exit music (for a film) - radiohead,Radiohead,Exit Music (For A Film),9089,TRZSOWU128F9310EA2
exhausted_25,u402152,"Bob Dylan - ""I Want You""",Bob Dylan,I Want You,10894055,
exhausted_26,u402155,"Debbie Gibson - ""Red Hot""",Debbie Gibson,Red Hot,8898881,TRXHEZR128F92FD8D4
exhausted_27,u574324,The Killers- Mr. Brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
exhausted_28,u623710,"Simon and Garfunkel - ""At the Zoo""",Simon & Garfunkel,At The Zoo,12881607,TRDKKWC12903CED1A4
exhausted_29,u535168,Default - Faded,Default,Faded,11472148,TRSOJXU128F93206AF
exhausted_30,u481057,No Doubt-Six Feet Under,No Doubt,Six Feet Under,147988,TROVXAA128E078EC7A
exhausted_31,u623715,roulette dares - mars volta,The Mars Volta,Roulette Dares (The Haunt Of),3776642,TRHISOL128F148D65E
exhausted_32,u623715,road to joy - bright eyes,Bright Eyes,Road To Joy,1126946,TRRTAAT128F149798E
exhausted_33,u623717,Take On Me- Reel Big Fish,Reel Big Fish,Take On Me,11459555,
exhausted_34,u535176,HIM-Join Me...,HIM,Join Me - Razorblade Mix,3340761,
exhausted_35,u535181,The Exploited-Safe Below,Exploited,Safe Below,2685922,TRKDKJS128F4245498
exhausted_36,u623721,"""Zombie""---The Cranberries",The Cranberries,Zombie,270939,TRGBWJL128F9332B52
exhausted_37,u574339,Leonard Cohen - Hallelujah,Leonard Cohen,Hallelujah,4691596,TRCBECX128F934C5A9
exhausted_38,u638954,|*- The sound of his voice -*|,Bob Baldwin,Maurice_ The Sound Of His Voice,8037068,TRELTKS12903CD95EE
exhausted_39,u402221,Yellowcard - Firewater,Yellowcard,Firewater,1172661,TRTNBZP128F425787E
exhausted_40,u535201,Bigwig - sink or swim,Bigwig,Sink Or Swim,1171556,TRMLBXV128F429AEFA
exhausted_41,u271872,The Frequency - Fear Factory,Fear Factory,Frequency,1398203,
exhausted_42,u276852,The Early November- Ever So Sweet,The Early November,Ever So Sweet,214401,TRRCEQY128F4292BCC
exhausted_43,u276859,hoobastank-the reason,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
exhausted_44,u574351,Incubus - Megalomaniac,Incubus,Megalomaniac,10973049,TRLINWE128F428080B
exhausted_45,u606,steriogram- walkie-talkie man,Steriogram,Walkie Talkie Man,105009,TRKGSQP128E0788CE1
exhausted_46,u402255,Dokken - Into the Fire,Dokken,Into The Fire,8802436,
exhausted_47,u276869,LL Cool J-Headsprung,LL Cool J,Headsprung,7285350,TRAVJHK128E078370B
exhausted_48,u535216,red hot chili peppers - breaking the girl,Red Hot Chili Peppers,Breaking The Girl,132214,
exhausted_49,u574367,This is your life-Switchfoot,Switchfoot,This Is Your Life,7333369,TRAYSWO128F931CFA4
exhausted_50,u402272,Fade To Black - Metallica,Metallica,Fade To Black,416979,TRAFMVN128F147CBCE
exhausted_51,u275215,Evanescence-Missing [live],Evanescence,Missing (Live in Europe),6521468,TRAWIQY12903CCC64A
exhausted_52,u263607,on the way down - ryan cabrera,Ryan Cabrera,On The Way Down,63781,
exhausted_53,u535229,Atreyu - LIp Gloss and Black,Atreyu,Lip Gloss and Black,15671762,TRSESKQ128F42483B2
exhausted_54,u623733,yesterdays rising - our lucid dream,Yesterdays Rising,Our Lucid Dream,1171824,
exhausted_55,u481118,Nirvana - Dumb,Nirvana,Dumb,148340,TRDMUWU128E078EDDB
exhausted_56,u481121,G Love and Special Sauce - Friday Night,G. Love & Special Sauce,Friday Night (Hundred Dollar Bill),3189232,TRMQUYZ128F426A729
exhausted_57,u481125,Hopeless--Dionne Farris,Dionne Farris,Hopeless,4476791,TROVEAI128F930ADED
exhausted_58,u276963,Nick Drake - Time of No Reply,Nick Drake,Time Of No Reply,3664,TRXPGXG128F145E2BA
exhausted_59,u574377,louis XIV - finding out true love is blind,Louis XIV,Finding Out True Love Is Blind,203393,
exhausted_60,u481144,Radiohead - Idioteque,Radiohead,Idioteque,2748796,TRQDSJD128F932E77E
exhausted_61,u481150,ashlee simpson -shadow,Ashlee Simpson,Shadow,18453390,TRBPWVZ128F4214A7E
exhausted_62,u481152,Franz Ferdinand - This Fire,Franz Ferdinand,This Fire,5025225,TRQNNLG128F9311516
exhausted_63,u277004,better together-jack johnson,Jack Johnson,Better Together,85559,TRHSEDE128F146CC3A
exhausted_64,u256082,Matchbook Romance-Shadows Like Statues,Matchbook Romance,Shadows Like Statues (Album Version),2272607,TRFDHQG128F426D3B8
