flirty_0,u402062,Guster-- Mona Lisa,Guster,Mona Lisa,79286,
flirty_1,u26,"""Hold You"" -ATB",ATB,Hold You (M.O.R.P.H. Mix),606815,
flirty_2,u603016,"""Winter Wonderland"" --Johnny Mathis",Johnny Mathis,Winter Wonderland,20560111,TRBBZZV12903CAF13F
flirty_3,u603016,"""Your Body is a wonderland"" -- John Mayer",John Mayer,Your Body Is A Wonderland,5000205,TRKNQXY128F930FB24
flirty_4,u535126,"""New Workout Plan"" -Kanye!",Kanye West,The New Workout Plan,23432,TRHMXCE128E0784137
flirty_5,u134,the killers-mr. brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
flirty_6,u402104,Sunday Morning-Maroon 5,Maroon 5,Sunday Morning,864418,TRRUESA128F9302A03
flirty_7,u535135,white houses (?)- Vanessa Carlton,Vanessa Carlton,White Houses,18010,TRVOWOG128E0783E33
flirty_8,u220,Ryan Cabrera- True,Ryan Cabrera,True (Spanglish Version),1337642,TRGMKDB128F423117A
flirty_9,u256064,¤Three Days Grace-Just Like You¤,Three Days Grace,Just Like You,3112254,TRSVURQ128F425B9AB
flirty_10,u603030,time stands still-all american rejects,The All-American Rejects,Time Stands Still,511339,TRCAZGB128E0791FB3
flirty_11,u623711,Wonderwall - Oasis,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
flirty_12,u638950,Maria Mena - You&apos;re the only one,Maria Mena,You're the only one,4281217,TRPKHRD128F92E6039
flirty_13,u276788,The Reason-Hoobastank,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
flirty_14,u263603,the cars - just what I needed,The Cars,Just What I Needed,6566499,TRURMRL12903CD756B
flirty_15,u535206,Britney Spears - Everytime,Britney Spears,Everytime,3371815,TRHESQM128F9309934
flirty_16,u402240,The Way You Move - Outkast,OutKast,The Way You Move,3297428,TRQMZTE128F42B5074
flirty_17,u567,let me love you-mario,Mario,Let Me Love You,3471123,TRGFRWU128F42ADFA6
flirty_18,u276880,Terror Squad - Take Me Home,Terror Squad,Take Me Home,8729122,
