full_0,u638937,damien rice - delicate,Damien Rice,Delicate,9833,TRSJIJK128E07823A3
full_1,u638937,damien rice - the blower&apos;s daughter,Damien Rice,The Blower's Daughter,79593,TRHWLMP12903CC44A8
full_2,u276611,lonestar-mr. mom,Lonestar,Mr. Mom,5828547,TRQQOJF128F42BC5A3
full_3,u79,Nirvana - Lithium,Nirvana,Lithium,148256,TRMYDPM128F1451EFE
full_4,u402087,"Vitamin C - ""Smile""",Vitamin C,Smile,19535723,TRERNEJ128F427A5E2
full_5,u603016,"""Mountain""--Good Charlotte",Good Charlotte,Mountain,11401712,TRJCAEZ128F42AAF3F
full_6,u256059,the faint- i disappear,The Faint,I Disappear,1126907,
full_7,u535123,dispatch - the general,Dispatch,The General,3442016,TRKLQNU128F42A6E3D
full_8,u574298,the panic- strata,Strata,The Panic,13233423,TRDSQHL128F9326AF1
full_9,u402117,Glassjaw- Radio Cambodia,Glassjaw,Radio Cambodia,6004611,
full_10,u623709,KISS - Into the Void,Kiss,Into The Void,510755,TRFXIXT128EF3518D6
full_11,u481035,ryan adams - the shadowlands,Ryan Adams,The Shadowlands,497566,TRCDMTZ128F148B199
full_12,u481038,starting line- best of me,The Starting Line,The Best Of Me,276875,TRZBOTQ128F1460DBB
full_13,u402148,nonpoint - what a day,Nonpoint,What A Day,546677,TRCYKCE128F1493228
full_14,u481042,Metallica - Nothing Else Matters,Metallica,Nothing Else Matters,417170,TRFBZPX128F42BA1BD
full_15,u481042,Metallica - Devil&apos;s Dance,Metallica,Devil's Dance,417191,TRZBKPS128F42BA1B6
full_16,u481049,warning sign - coldplay,Coldplay,Warning Sign,2974,TRNEKDM128E0780C91
full_17,u276760,ryan cabrera - true,Ryan Cabrera,True (Spanglish Version),1337642,TRGMKDB128F423117A
full_18,u535192,Pumpkins - Cherub Rock,The Smashing Pumpkins,Cherub Rock,16318318,TRPCAOD128E0788980
full_19,u623725,scooter - the night,Scooter,The Night,18237756,TRRJPST128F149967B
full_20,u535204,What You Waiting For - Gwen Stefani,Gwen Stefani,What You Waiting For?,17671474,TRMTLEF128E0786194
full_21,u481091,the beatles-let it be,The Beatles,Let It Be,21979062,
