good_0,u402062,Me and the Moon -- Something Corporate,Something Corporate,Me And The Moon,2444849,TRUZNCR128F429239E
Good_1,u276589,Pieces-Sum 41,Sum 41,Pieces,15731,TRVLYAC128E0783727
good_2,u275919,The Verve - Lucky Man,The Verve,Lucky Man,8392,TRXNWTR128E0781F2E
good_3,u276601,"""If"" - Janet Jackson",Janet Jackson,If,18008129,TRMLTZR128F934BE53
good_4,u263590,System of a Down - Chop Suey,System of a Down,Chop Suey!,3226382,TRUENYK128F4274057
good_5,u481001,rock me-great white,Great White,Rock Me,13072773,TRQYRTJ128F4262474
good_6,u99,Memory- Sugarcult,Sugarcult,Memory,10482238,
good_7,u638940,3 doors down-kryptonite,3 Doors Down,Kryptonite,143770,TRHTCXG12903CC2F60
good_8,u112,Midtown - Is It Me? Is It True?,Midtown,Is It Me? Is It True?,3294087,TRKPILU128F4283675
good_9,u535124,bouncing off the walls - sugarcult,Sugarcult,Bouncing Off The Walls,1170077,TRTYXSW128F428AAEC
good_10,u574298,more than a feeling- boston,Boston,More Than A Feeling,3158567,TRMWYUT128F426A835
good_11,u574305,muse - feeling good,Muse,Feeling Good,5771056,TRBSMHW128F92E385A
good_12,u158,Frank Sinatra- Cake,Cake,Frank Sinatra,3335432,TRTIRFG128F428D2F8
good_13,u402107,Just Once- James Ingram,James Ingram,Just Once (New Version),473315,
good_14,u203,the Early November- ever so sweet,The Early November,Ever So Sweet,214401,TRRCEQY128F4292BCC
good_15,u232,Mockingbird - Eminem,Eminem,Mockingbird (Instrumental),109487,
good_16,u263595,Lindsay Lohan-Over,Lindsay Lohan,Over,17059794,TRUPDVR128E0789145
good_17,u535145,the white stripes - the hardest button to button,The White Stripes,The Hardest Button To Button,308638,TRNJGXP128F428F408
good_18,u535146,"Incubus-""Wish You Were Here""",Incubus,Wish You Were Here,5304935,TRWJTJO128F42807BD
good_19,u261,"""Alone"" - Joe",Joe,Alone,8394910,TRVKRDH128F9327C41
good_20,u535147,Minority-Green Day,Green Day,Minority,2281624,
good_21,u535148,VAST - Flames,VAST,Flames ( LP Version ),5678345,TRIGIAH128F9342922
good_22,u535148,VAST - Flames,VAST,Flames ( LP Version ),5678345,TRIGIAH128F9342922
good_23,u535148,VAST - Touched,VAST,Touched,5678320,
good_24,u263596,Metallica - Wherever I May Roam,Metallica,Wherever I May Roam,417167,TRFGUXT128F42BA1C8
good_25,u535163,"The Dismemberment Plan-""Respect is Due""",The Dismemberment Plan,Respect Is Due,6650477,TRHYATD12903CEBCA8
good_26,u481046,Razed In Black- Blush,Razed in Black,Blush,1674917,TREULMH128F4277F36
good_27,u481047,the ocean breathes salty - modest mouse,Modest Mouse,Ocean Breathes Salty,3275039,TRGGNJT128F427EC6D
good_28,u263598,avril lavigne- slipped away,Avril Lavigne,Slipped Away,3363665,TREOYDI128F42A3E44
good_29,u603039,Drops of Jupiter-Train,Train,Drops Of Jupiter,3232909,TRZZGIP128F4279856
good_30,u276736,Atreyu - Lip Gloss and Black,Atreyu,Lip Gloss and Black,15671762,TRSESKQ128F42483B2
good_31,u574327,"""Talk Shows On Mute"" -Incubus",Incubus,Talk Shows On Mute,10973052,TRMIVZT128F42809F8
good_32,u402168,Let&apos;s Make This Moment a Crime - The Format,Format,Let's Make This Moment A Crime,3547595,
good_33,u380,sade - Smooth Operator,Sade,Smooth Operator,13497653,TRGMHIS128F4259E70
