grateful_0,u603006,Close Yet Far-CKY,CKY,Close Yet Far (Live),271015,
grateful_1,u276591,klaus badelt - to the pirates cave,Klaus Badelt,To The Pirates' Cave!,328053,TRWMBGO128F146BD6E
grateful_2,u638940,Butthole Surfers-Pepper,Butthole Surfers,Pepper,303993,TRGIEHQ128F14668E3
grateful_3,u329,Underoath -young and aspiring,Underoath,Young And Aspiring,398504,TRCKIKY128F14794E2
grateful_4,u481052,What&apos;s Up - 4 non blondes,4 Non Blondes,What's Up?,984988,TRIDJFI12903CC2F56
grateful_5,u623714,The Get Up Kids - Shorty,The Get Up Kids,Shorty,11237851,
grateful_6,u276755,Something Corporate - globes and maps,Something Corporate,Globes & Maps,160329,TRYBWEB128E0791898
grateful_7,u638952,N Dey Say- Nelly,Nelly,N Dey Say,590723,TRPVBPL128E0789CFA
grateful_8,u574343,Keith Urban - You&apos;ll Think Of Me,Keith Urban,You'll Think Of Me,1832865,TRFKJHO128F1453F85
grateful_9,u271872,Stellar (acoustic) - Incubus,Incubus,Stellar (Acoustic),3165725,
grateful_10,u623725,Overseer - Doomsday,Overseer,Doomsday,7877369,TRNRXSQ128F4265927
grateful_11,u623725,ATB - ecstasy,ATB,Ecstasy,609662,TRHUOII128F14A0C3C
grateful_12,u559,Less Than Jake--The Science of Selling Yourself Short,Less Than Jake,The Science Of Selling Yourself Short,79757,
grateful_13,u574358,switchfoot-dare you to move,Switchfoot,Dare You To Move,7333372,TRMAAYB12903CA52A5
grateful_14,u574360,the rocket summer-december days,The Rocket Summer,December Days,2658671,TRBBXKB128F423EE51
grateful_15,u402279,Ataris --- In This Diary,The Ataris,In This Diary,3222981,TRYNWPS128F427253B
grateful_16,u276939,The Shins- Caring is Creepy,The Shins,Caring Is Creepy,11270427,TRYSPOW128F4280A46
grateful_17,u276943,Growing Pains- Ludacris,Ludacris,Growing Pains,85393,
grateful_18,u402307,With You- Jessica Simpson,Jessica Simpson,With You,759675,TRNANAN128F428248D
grateful_19,u638968,a decade under the influence - taking back sunday,Taking Back Sunday,A Decade Under The Influence,15686835,
grateful_20,u574379,Etnica - Hell&apos;s Kitchen,Etnica,Hell's Kitchen,8208583,TRCJCFH12903D03323
grateful_21,u481153,the christmas song - nat king cole,Nat King Cole,The Christmas Song,6862523,TRFORZM12903CDF88C
grateful_22,u277004,without you here-finch,Finch,Without You Here,266232,TRZCKPB128F145E755
grateful_23,u932,chisel- do go on,Chisel,Do Go On,2017189,TRRNSYP128F42399C3
grateful_24,u638972,Billie Jean- Michael Jackson,Michael Jackson,Billie Jean,6930069,TRWJKVP128F92DCA7E
grateful_25,u402342,New Radicals---Someday we&apos;ll know,New Radicals,Someday We'll Know,146662,TRNAABY128E078E759
grateful_26,u1029,way away- yellowcard,Yellowcard,Way Away,285603,TRDUOIP128F147D5A7
grateful_27,u574415,korn-falling away from me,Korn,Falling Away From Me,10343834,TRNXBAE128F148D0BB
grateful_28,u481198,OAR- crazy game of poker,O.A.R.,That Was A Crazy Game Of Poker,17853850,
grateful_29,u277122,ryan cabrera-true,Ryan Cabrera,True (Spanglish Version),1337642,TRGMKDB128F423117A
grateful_30,u481210,hey girl - dashboard,Dashboard Confessional,Hey Girl,386205,TRJECGS128F147714B
grateful_31,u1161,kutless-sea of faces,Kutless,Sea Of Faces (Sea Of Faces Album Version),670266,TRXKQAZ128F14ADEB4
grateful_32,u481244,back to you- faith hill,Faith Hill,Back To You (Album Version),6331220,TRQXKMB12903C9EC3C
grateful_33,u268557,Home Grown - She said,Home Grown,She Said...,1751858,TRYMQXR128F428A2DF
grateful_34,u277207,"""move on""- Jet",Jet,Move On,1139591,
grateful_35,u277219,Immigrant Song- Led Zeppelin,Led Zeppelin,Immigrant Song,1787067,
grateful_36,u535315,If heaven-Andy Griggs,Andy Griggs,If Heaven,3320239,TRTDNUA128F4289975
grateful_37,u481270,Stuck in America - Sugarcult,Sugarcult,Stuck In America,1083389,TRCJPHJ128F428AAEA
grateful_38,u402478,easier to run--linkin park,Linkin Park,Easier To Run (Album Version),14276647,TRLWCQR128F14824EB
grateful_39,u623777,Joe Nichols - The Impossible,Joe Nichols,The Impossible,12723236,TRYQHLQ128F1459D76
grateful_40,u1454,counting blue cars- dishwalla,Dishwalla,Counting Blue Cars,4721585,TRCXZKY128F92E81CD
grateful_41,u481287,""" Do you ReMeMBeR ? "" - aaRoN CaRTeR",Aaron Carter,Do You Remember,5847323,TROQANR128F92F5F19
grateful_42,u535327,the postal service- sleeping in,The Postal Service,Sleeping In,15773698,
grateful_43,u1575,Ashanti - Foolish,Ashanti,Foolish,85405,TRKQYZP128E07899F8
grateful_44,u535336,Cat Stevens - Wild World,Cat Stevens,Wild World,2234783,TRAOOYZ128F92E2D6E
grateful_45,u481304,GWAR-Tune From Da Moon,GWAR,Tune From Da Moon,6198194,TREEWRE128F934AF16
grateful_46,u256096,Modest Mouse --- The World At Large,Modest Mouse,The World At Large,3275037,TRQFLSV128F427EC6B
grateful_47,u574466,The Lemon Song-Led Zeppelin,Led Zeppelin,The Lemon Song  (Album Version),1829886,TREJCDH128F4298981
grateful_48,u402567,Love Song- 311,311,Love Song,5828367,
grateful_49,u268564,Vanessa Carlton - Pretty Baby,Vanessa Carlton,Pretty Baby,11681329,TRRDUSR128E0792808
grateful_50,u268565,John Legend - She Don&apos;t Have To Know,John Legend,She Don't Have To Know,6353573,TRNNGSL128F428257D
