grumpy_0,u535106,the format- on your porch,Format,On Your Porch (Acoustic) (Acoustic),6646148,
grumpy_1,u256060,From Now On- Kill Hannah,Kill Hannah,From Now On (Album Version),68313,TRNTKLL128E078511E
grumpy_2,u271870,"""nothing to lose""-billy talent",Billy Talent,Nothing To Lose,2272005,TRKZZUV128F4223197
grumpy_3,u223,badly drawn boy- the shining,Badly Drawn Boy,The Shining,2072700,TRVLGQE128F423EE49
grumpy_4,u402127,patty griffin-flaming red,Patty Griffin,Flaming Red,166347,TRASWKJ128E0792FE7
grumpy_5,u479,Nirvana-lithium,Nirvana,Lithium,148256,TRMYDPM128F1451EFE
grumpy_6,u574345,Boulevard of Broken Dreams- Green Day,Green Day,Boulevard Of Broken Dreams,8807889,
grumpy_7,u402227,Aerosmith - Dream On,Aerosmith,Dream On,148382,TRWVYWL128F933016F
grumpy_8,u402234,Kittie --brackish--,Kittie,Brackish,13012133,
grumpy_9,u481090,Eminem- Just Lose it,Eminem,Just Lose It (Instrumental),14645,
grumpy_10,u623726,Rilo Kiley - Spectacular Views,Rilo Kiley,Spectacular Views,570655,TRLDUCS128F14979BF
grumpy_11,u638958,Metallica - Fade To Black,Metallica,Fade To Black,416979,TRAFMVN128F147CBCE
grumpy_12,u574361,bad day-fuel,Fuel,Bad Day,10562999,TRNVJKT128F92EF155
grumpy_13,u402280,Mercy In You - Depeche Mode,Depeche Mode,Mercy In You,478209,
grumpy_14,u603080,trapt-headstrong,Trapt,Headstrong,6004652,
grumpy_15,u574404,the zutons- remember me,The Zutons,Remember Me,3298825,TRSKROJ128F425A3D9
grumpy_16,u603094,You and Me - Lifehouse,Lifehouse,You And Me,17850731,
grumpy_17,u277138,Devendra Banhart - This Is the Way,Devendra Banhart,This Is The Way,2072755,TRJXEMX128F423EE80
grumpy_18,u603103,common- come close to me,Common,"Come Close to Me (Remix) ft. Pharell, Q-Tip & Erykah Badu",,
grumpy_19,u603109,"""Killing Machine"" -The Partisans-",The Partisans,Killing Machine,17480909,
grumpy_20,u268557,the aquabats - hey luno,The Aquabats,Hey Luno,1172680,TRHHNGC128F429B2FA
grumpy_21,u268557,the aquabats - hey luno,The Aquabats,Hey Luno,1172680,TRHHNGC128F429B2FA
grumpy_22,u268557,311 - Hive,311,Hive,3112220,TRITNQV128F9309199
grumpy_23,u623769,Caress Me Down -- Sublime,Sublime,Caress Me Down,230912,TRFMXWD128F145689F
grumpy_24,u481264,My Chemical Romance- I&apos;m not okay,My Chemical Romance,I'm Not Okay,2284784,
grumpy_25,u263625,"""the trooper"" -iron maiden",Iron Maiden,The Trooper,17811865,
grumpy_26,u1611,Monica--So Gone,Monica,So Gone,3315395,
grumpy_27,u574461,Three Days Grace - Just Like You,Three Days Grace,Just Like You,3112254,TRSVURQ128F425B9AB
grumpy_28,u1678,Rammstein - Herzeleid,Rammstein,Herzeleid,3622713,TREJJTG128F92D541B
grumpy_29,u1803,Maintain Consciousness-Relient K,Relient K,Maintain Consciousness (Album Version),3116875,TREWIFM128F425CB9D
grumpy_30,u263630,Pain -- Jimmy Eat World,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
grumpy_31,u402629,yellowcard-firewater,Yellowcard,Firewater,1172661,TRTNBZP128F425787E
grumpy_32,u535407,"""Nothing&apos;s Changed"" -The Calling",The Calling,Nothing's Changed,3379632,TRRDIYU128F4297F87
grumpy_33,u2051,Hot Hot Heat-Bandages,Hot Hot Heat,Bandages,140190,
grumpy_34,u2072,Ocean Avenue - Yellowcard,Yellowcard,Ocean Avenue,285605,TRZGABY128F1462E00
grumpy_35,u402692,u2- walk on,U2,Walk On,4129852,TRYPLQR128F933ADCA
grumpy_36,u623819,I Wish You&apos;d Stay- Brad Paisley,Brad Paisley,I Wish You'd Stay,11688086,TRPTWBE128F4285B85
grumpy_37,u481435,Iron Maiden - The Sign of the Cross,Iron Maiden,Sign Of The Cross,13922645,
grumpy_38,u603175,smells like teen spirit - nirvana,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
grumpy_39,u2233,Helicopter Girl - Individual,Helicopter Girl,Individual,3243645,TRFRLKV128F4277372
grumpy_40,u535468,Rammstein - Der Meister,Rammstein,Der Meister,3622706,TRSLJPC128F92D5414
grumpy_41,u481473,Every Time I Die - She&apos;s My Rushmore,Every Time I Die,She's My Rushmore,3022701,TRJMZAL128F424843A
grumpy_42,u603193,you ain&apos;t goin nowhere- bob dylan,Bob Dylan,You Ain't Goin' Nowhere,10894068,TRFKWIM128F426B506
grumpy_43,u603193,crazy for you- madonna,Madonna,Crazy For You,6532464,
grumpy_44,u2426,my own worst enemy- lit,Lit,My Own Worst Enemy,3325703,TRFFIIC128F428ADB2
grumpy_45,u574562,"""Puke""-Eminem",Eminem,Puke (Album Version (Explicit)),18124,
grumpy_46,u535560,Black Dog --Led Zeppelin,Led Zeppelin,Black Dog,1829850,
grumpy_47,u481644,Folk Implosion - Easy,The Folk Implosion,Easy,19264602,
grumpy_48,u402980,Filter - My Long Walk to Jail,Filter,My Long Walk To Jail,6330126,
grumpy_49,u623896,Bikini Kill-Rebel Girl,Bikini Kill,Rebel Girl,14635665,TRRPIFU128F9327097
grumpy_50,u535586,John Lennon - Imagine,The Sounds Of John Lennon,Imagine,10802113,
grumpy_51,u278081,"Fear Factory - ""Obsolete""",Fear Factory,Obsolete,1138596,
grumpy_52,u3223,Taking Back Sunday - The Ballad of Sal Villanueva,Taking Back Sunday,The Ballad Of Sal Villanueva,15671925,
grumpy_53,u481668,David Bowie - Golden Years,David Bowie,Golden Years,5343,
grumpy_54,u623904,"""Wouldn&apos;t it be nice"" - Beach Boys",The Beach Boys,Wouldn't It Be Nice,17907639,TRUXCMZ128F14850B2
grumpy_55,u574671,Evanescence - My Immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
grumpy_56,u603287,"""Culo"" -Pitbull",Pitbull,Culo,18634525,
grumpy_57,u3400,flogging molly - if i ever leave this world alive,Flogging Molly,If I Ever Leave This World Alive,8587215,TRZJGOL12903CE8968
grumpy_58,u403117,I&apos;ll Find A Way - Rachael Yamagata,Rachael Yamagata,I'll Find a Way,7425611,TRTVFUT128F42AA8F1
grumpy_59,u3715,brokenheartsville- Nichols,Joe Nichols,Brokenheartsville,245339,TRTGKUX128F1459D78
grumpy_60,u574722,China Girl - David Bowie,David Bowie,China Girl,1534272,
grumpy_61,u403261,Refused-Return to the Closet,Refused,Return To The Closet,2285302,TRBNTOS128F428ADE5
grumpy_62,u603356,my generation - limp bizkit,Limp Bizkit,My Generation,3850164,TRQUHKZ128F930304E
grumpy_63,u275228,"""Wind Of Change"" - The Scorpions",Scorpions,Wind Of Change,265809,TRHYECH128F145E5AF
grumpy_64,u4166,Manowar - Carry On,Manowar,Carry On  (LP Version),11129817,TRNQVIZ12903CC493A
grumpy_65,u278581,Candlebox- Far Behind,Candlebox,Far Behind,4674956,TRCPQWI128F9334FBB
grumpy_66,u403351,virgin black - velvet tongue,Virgin Black,Velvet Tongue,7329099,TRWLXGP12903CA41EF
grumpy_67,u4375,A Moment Like This - Kelly Clarkson,Kelly Clarkson,A Moment Like This,3371063,TRHOQZW128F4297564
grumpy_68,u4399,wilco - hummingbird,Wilco,Hummingbird,6602229,TRGTVSB128E0786BEA
grumpy_69,u574823,simple plan- welcome to my life,Simple Plan,Welcome To My Life,92050,
grumpy_70,u403449,alanis morissette - That I Would Be Good,Alanis Morissette,That I Would Be Good,212871,
grumpy_71,u535798,the cranberries - linger,The Cranberries,Linger,2347460,TRFWBGO128E079120D
grumpy_72,u603402,Yeah Yeah Yeahs - Maps,Yeah Yeah Yeahs,Maps,289121,TRMSOEB128F147517B
grumpy_73,u574846,Goldfinger-99 red balloons,Goldfinger,99 Red Balloons,6353673,TRTGQPF128F429508F
