high_0,u402067,Michelle Branch-Hotel Paper,Michelle Branch,Hotel Paper (Album Version),6632273,TRLKRBY128F146E5C4
high_1,u402078,radiohead - creep,Radiohead,Creep,4501072,
high_2,u80,Counting Crows- A Long December (Live),Counting Crows,A Long December (Live At Heineken Music Hall),3509835,
high_3,u535121,The Doors - Not To Touch The Earth,The Doors,Not To Touch The Earth,519965,
high_4,u402094,Jimmy Eat World - Last Christmas,Jimmy Eat World,Last Christmas,3181476,
high_5,u276684,system of a down-snowblind,System of a Down,Snowblind,3109080,TRQTRCU128F4274534
high_6,u574311,Moody Blues-Question,The Moody Blues,Question,2894320,TRJIEGH128F4274931
high_7,u535141,wilco - poor places,Wilco,Poor Places,4191188,TRJGOQP128F146EDC2
high_8,u535141,the roots - adrenaline,The Roots,Adrenaline,143710,
high_9,u256063,Incubus - The Warmth,Incubus,The Warmth,19759726,TRMDTAW128F9306C49
high_10,u402129,311-Amber,311,Amber,5828353,TRYJIVF128F92F158D
high_11,u263596,Evanescence - Bring Me To Life,Evanescence,Bring Me To Life,6521475,TRQZILP128F92F6E61
high_12,u301,Usher- Simple Things,Usher,Simple Things,6320142,TRQSZFZ128F92F1311
high_13,u276716,Rammstein - Feuer Frei!,Rammstein,Feuer Frei,3641090,TRRMNLW128F92D92B0
high_14,u535190,Stuff Me Up - Peaches,Peaches,Stuff Me Up,4158377,TRLAMMQ128F92CD93E
high_15,u256074,Outkast - Hey Ya,OutKast,Hey Ya!,17671526,TRCJUCQ12903CEB017
high_16,u256074,Bob Marley - Three Little Birds,Bob Marley,Three Little Birds,17373245,
high_17,u256074,Bob Marley - Buffalo Soldier,Bob Marley,Buffalo Soldier,17373256,
high_18,u256074,Passenger - Deftones,Deftones,Passenger,685404,
high_19,u574343,White Town - Your Woman,White Town,Your Woman,1616531,TRGHUUE128F423F30A
high_20,u574346,The Darkness - I Believe In A Thing Called Love,The Darkness,I Believe In A Thing Called Love,11348836,TRDTJKE12903CB29CE
high_21,u560,earshot-someone,Earshot,Someone (Alternate Version),1337492,TRSQSNG128F4231103
high_22,u582,dj shadow - long stem transmission,DJ Shadow,Stem/Long Stem/Transmission 2,116673,
high_23,u402251,postal service-such great heights,The Postal Service,Such Great Heights,1579101,TRCRCBT128F4260DD1
high_24,u612,kill me quickly-THRICE,Thrice,Kill Me Quickly,6973400,TRKGEIQ128F931F548
high_25,u402262,The Cure-Love Song[acoustic],The Cure,Love Song (Acoustic Version),1355271,
high_26,u574364,Yellowcard - Only One       =),Yellowcard,Only One,285608,TREJJLL128F1462E03
high_27,u734,Tori Amos - A Sorta Fairytale,Tori Amos,A Sorta Fairytale,3231499,TRIHAFP128F4274681
