hopeful_0,u535116,nirvana-rape me,Nirvana,Rape Me,148260,TRHMVGF128E078ED9B
hopeful_1,u75,"""Just a Girl"" - No Doubt",No Doubt,Just A Girl,147724,TRRNWOF128E078EB4C
hopeful_2,u276626,Muse - Space Dementia,Muse,Space Dementia,337878,TRWOEVR128F932B6F6
hopeful_3,u481004,air- surfing on a rocket,Air,Surfing On A Rocket,113746,
hopeful_4,u204,The Prodigy - Voodoo People,The Prodigy,Voodoo People,199788,
hopeful_5,u276688,Lindsay Lohan - Very Last Moment in Time,Lindsay Lohan,Very Last Moment In Time,2234301,TRNTCQY128F426411E
hopeful_6,u402127,no doubt-marry me,No Doubt,Marry Me,147991,TRIDDKN128E078EC7D
hopeful_7,u247,Kelly Clarkson- Addicted,Kelly Clarkson,Addicted,4313967,TRPRJUW128F42A3AFD
hopeful_8,u574316,Metallica-Nothing Else Matters,Metallica,Nothing Else Matters,417170,TRFBZPX128F42BA1BD
hopeful_9,u574316,Slayer - Dead Skin Mask,Slayer,Dead Skin Mask,15400319,TRWJMBA128F92EA2E8
hopeful_10,u256066,Taking Back Sunday - Number Five With A Bullet,Taking Back Sunday,Number Five With A Bullet,15671918,
hopeful_11,u603035,the cranberries - no need to argue,The Cranberries,No Need To Argue,270950,TRSTBGC128F92E3088
hopeful_12,u574321,Hoy - Gloria Estefan,Gloria Estefan,Hoy (Salsa Mix),3522017,
hopeful_13,u481038,Starting line- left coast envy,The Starting Line,Left Coast Envy,276885,TRYDFNJ128F1460DC5
hopeful_14,u574324,Oasis- Wonderwall,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
hopeful_15,u574326,green day- minority,Green Day,Minority,2281624,
hopeful_16,u360,Always be my baby- Mariah Carey,Mariah Carey,Always Be My Baby,3153537,TRWDSMP128F9329C10
hopeful_17,u481056,matisyahu - king without a crown,Matisyahu,King Without A Crown,3434712,TRMKFSG128F42AE29E
hopeful_18,u535172,The Killers-- Somebody Told Me,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
hopeful_19,u623717,Trendy- Reel Big Fish,Reel Big Fish,Trendy,11459562,TRKLFOS128F429F776
hopeful_20,u535197,thank God i found you- mariah carey,Mariah Carey,Thank God I Found You,11812789,
