hungry_0,u638937,keane - this is the last time,Keane,This Is The Last Time,1531,TRCYLZV128F931848A
hungry_1,u276587,"Ashlee Simpson - ""Pieces of Me""",Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
hungry_2,u276594,Chevelle - Family System,Chevelle,Family System,3112373,TRYZYUZ128F425BA22
hungry_3,u480992,Korn - Wake Up Hate,Korn,Wake Up Hate,15952712,TRWRYNV12903CACA23
hungry_4,u276604,50 cent- in da club,50 Cent,In Da Club (Instrumental),4762671,
hungry_5,u480998,Ashlee Simpson- Shadow,Ashlee Simpson,Shadow,18453390,TRBPWVZ128F4214A7E
hungry_6,u256058,Green Day - Boulevard of Broken Dreams,Green Day,Boulevard Of Broken Dreams,8807889,
hungry_7,u574297,Crush- Gavin DeGraw,Gavin DeGraw,Crush,88884,TREDEYI128F428B094
hungry_8,u276646,Falco - Rock Me Amadeus,Falco,Rock Me Amadeus,8282450,TRFETLF12903D05FD5
hungry_9,u256060,Everything- The Juliana Theory,The Juliana Theory,Everything,19537922,TRYRUVL128F426547D
hungry_10,u574305,muse - darkshines,Muse,Darkshines [Live From Le Zenith],337876,TRDFVDG128F146DD39
hungry_11,u402102,Chevelle- Closure,Chevelle,Closure,3112383,TRZKXBN128F426F899
hungry_12,u481018,The 69 Eyes - Stolen Season,The 69 Eyes,Stolen Season,2128931,
hungry_13,u402104,What You Waiting For-Gwen Stefani,Gwen Stefani,What You Waiting For?,17671474,TRMTLEF128E0786194
hungry_14,u574307,Beck - Lost cause,Beck,Lost Cause,164296,TRIVERN128E0792815
hungry_15,u276669,Writing on the wall  -Threats,Threats,Writing on the Wall,6972776,TRCUXRX128F931F2D8
hungry_16,u638944,"""Echo"" - Trapt",Trapt,Echo,17425354,
hungry_17,u638944,"""How About You"" - Staind",Staind,How About You,3547618,
hungry_18,u638944,"""Away From The Sun"" - 3 Doors Down",3 Doors Down,Away From The Sun,147248,TRZZWWR128F427EA01
hungry_19,u574309,shadows fall - destroyer of senses,Shadows Fall,Destroyer Of Senses,7678274,TRENXMN12903CF1CC7
hungry_20,u276680,A Perfect Circle - A Stranger,A Perfect Circle,A Stranger,1689107,TRUOCWY128F427B6F5
hungry_21,u276684,system of a down- shimmy,System of a Down,Shimmy,3226387,TRRNOZY128F92F518F
hungry_22,u271870,"""get your hands off my woman""-the darkness",The Darkness,Get Your Hands Off My Woman,2481231,TRHSHVG128F4216A11
hungry_23,u535141,franz ferdinand - jacqueline,Franz Ferdinand,Jacqueline,5025208,TROHJBH128F422984F
hungry_24,u256064,Green Day-Good Riddance (time of your life),Green Day,Good Riddance [Time Of Your Life],2281480,
hungry_25,u402144,john-Daughters,John Mayer,Daughters,10562801,TRGRKMN128F4280B9D
hungry_26,u276715,sugarcult-memory,Sugarcult,Memory,10482238,
hungry_27,u535167,let me love you - Mario,Mario,Let Me Love You,3471123,TRGFRWU128F42ADFA6
hungry_28,u276732,Lillix - It&apos;s About Time,Lillix,It's About Time (Album Version),389342,TRDAQWE128F1477AFF
hungry_29,u574326,Soundgarden-the day i tried to live,Soundgarden,The Day I Tried To Live,169667,TRYUHJT128E0793B0D
hungry_30,u354,chariot - gavin degraw,Gavin DeGraw,Chariot,3465912,TRHKFKV128F426609B
hungry_31,u402164,Neutral Milk Hotel - Song Against Sex,Neutral Milk Hotel,Song Against Sex,5274351,TRBNZLU128F92E16AB
hungry_32,u623712,Sing - Travis,Travis,Sing,18190865,TRXXGET128F4259B88
hungry_33,u623713,does he love you? - rilo kiley,Rilo Kiley,Does He Love You?,80653,
hungry_34,u623713,does he love you? - rilo kiley,Rilo Kiley,Does He Love You?,80653,
hungry_35,u481058,dashboard confessional-screaming infidelities,Dashboard Confessional,Screaming Infidelities,496699,TRZEUSA128F148AE3E
hungry_36,u276750,Black Label Society - Born to Lose,Black Label Society,Born To Lose,7759159,TRYNUIL12903D0C8CF
hungry_37,u623717,I Want Your Girlfriend To Be My Girlfriend- Reel Big fish,Reel Big Fish,I Want Your Girlfriend To Be My Girlfriend Too,11459563,TRQVNWQ128F429F73B
hungry_38,u623717,Space Cowboy- Steve Miller Band,Steve Miller Band,Space Cowboy,295572,
hungry_39,u603048,fall apart-earshot,Earshot,Fall Apart (Album Version),79301,TRDNMGR128E0785A38
hungry_40,u638951,Stacie Orrico - Stuck,Stacie Orrico,Stuck (Thunderpuss Radio Remix),,TRDAMRS128F1468C69
hungry_41,u268547,Green Day - Jesus of Suburbia,Green Day,Jesus Of Suburbia,8807708,
hungry_42,u276795,Operation Ivy --- Healthy Body,Operation Ivy,Healthy Body,1828991,TRYZVIT128F4298717
hungry_43,u276800,green day - american idiot,Green Day,American Idiot,2281705,
hungry_44,u402225,Billy Talent - Try Honesty,Billy Talent,Try Honesty,2271987,TRIERTA128F4223196
hungry_45,u402235,everytime- britney spears,Britney Spears,Everytime,3371815,TRHESQM128F9309934
hungry_46,u574349,Buildings and Bridges- Ani DiFranco,Ani DiFranco,Buildings and Bridges,5860040,TRQKIIF128F92F90BF
hungry_47,u481096,"Vanessa Carlton-""White Houses""",Vanessa Carlton,White Houses,18010,TRVOWOG128E0783E33
hungry_48,u535215,Metallica-The Memory Remains,Metallica,The Memory Remains,3520981,
hungry_49,u691,Carl Thomas-First Love,Carl Thomas,My First Love,200567,
hungry_50,u276904,view from  Heaven-yellowcard,Yellowcard,View From Heaven,285611,TRVAXQV128F1462E06
hungry_51,u402282,"""Headsprung"" -- LL Cool J",LL Cool J,Headsprung,7285350,TRAVJHK128E078370B
hungry_52,u402283,Avril-Don&apos;t tell Me,Avril Lavigne,Don't Tell Me,3363667,TRCCQAT12903CED283
hungry_53,u603065,Descendents - Dreams,Descendents,Dreams,4667555,TROWXHM128F4234F54
hungry_54,u481123,john lennon- imagine,The Sounds Of John Lennon,Imagine,10802113,
hungry_55,u271875,The Bees - Horsemen,The Bees,Horsemen,5984,TRYIIHX128E07816EB
hungry_56,u574373,"""New Abortion""  -Slipknot",Slipknot,New Abortion,1398445,
hungry_57,u276942,I Just Wanna Live- Good Charlotte,Good Charlotte,I Just Wanna Live,3290771,TRTODYW128F4282A13
