irate_0,u535115,Jill Scott- Do you Remember?,Jill Scott,Do You Remember,5097983,TRZZKWC128F92FD0FD
irate_1,u623721,"""Always""---Saliva",Saliva,Always,271775,TRPJSVD12903CF6720
irate_2,u256078,She Will Be Loved - Maroon 5,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
irate_3,u864,Avril - Too Much to Ask,Avril Lavigne,Too Much To Ask,3432804,TRPQAHL128F9310447
irate_4,u535334,boston - more than a feeling!!,Boston,More Than A Feeling,3158567,TRMWYUT128F426A835
irate_5,u535395,nightwish- She is my sin,Nightwish,She Is My Sin,2327401,TRGTRYL128F9320F63
irate_6,u603159,Yeah - Usher,Usher,Yeah! - Instrumental,16143555,
irate_7,u402658,Taking Back Sunday- Ghost man on third,Taking Back Sunday,Ghost Man On Third,14680737,
irate_8,u402755,Complicated - Avril lavigne,Avril Lavigne,Complicated,3432808,TROOCBX128F429648A
irate_9,u277714,Sex Pistols- My Way,Sex Pistols,My Way,781240,TRHDXLP128EF3500FA
irate_10,u481535,Like A Pimp - David Banner,David Banner,Like A Pimp,6752683,
irate_11,u2869,Trial of Tears- Dream Theater,Dream Theater,Trial Of Tears (Live At Budokan),72741,TRVBZJM128E0785782
irate_12,u574617,Simple Plan - Thank You,Simple Plan,Thank You (Domestic Album Version),92052,TRFPFIC128E0787324
irate_13,u603284,magnetic fields - i don&apos;t believe you,The Magnetic Fields,I Don't Believe You,2271824,TRHZHHX128F426D0AA
irate_14,u278314,White Zombie - Black Sunshine,White Zombie,Black Sunshine,1961059,
irate_15,u574735,Lifehouse - Simon,Lifehouse,Simon,307754,TRAWCQE128F14676AC
irate_16,u535692,Blondie -Dreaming,Blondie,Dreaming,481152,TRZOCHA128F145BF98
irate_17,u535696,Current 93 - I Have a Special Plan for this World,Current 93,I Have A Special Plan For This World,4766754,TRFHNAA128F92D6056
irate_18,u574748,modjo--lady,Modjo,Lady,22122665,TRGZQAS128E07933A4
irate_19,u271895,December Wolves-Porn Again Christian,December Wolves,Porn Again Christian,7666334,TRUSVUJ12903CF5F68
irate_20,u481819,the Distillers-I am a Revenant,The Distillers,I Am A Revenant,2225437,TRWTQVX128F428A290
irate_21,u623966,Tori Amos - Precious Things,Tori Amos,Precious Things,1174525,TRCSDYH128F42A0A67
irate_22,u403347,Garbage-Stupid Girl,Garbage,Stupid Girl,18602116,TRHXKMH128E0786BA3
irate_23,u278638,Another One Bites The Dust-Queen,Queen,Another One Bites The Dust,14180072,
irate_24,u268605,"""Whisper"" - Evanescence",Evanescence,Whisper,6521485,TRHNOXP128F42828FD
irate_25,u574807,Avril Lavigne - Complicated,Avril Lavigne,Complicated,3432808,TROOCBX128F429648A
irate_26,u535796,"""Amerika"" -Rammstein",Rammstein,AMERIKA,16129,TRTSXHS128E078392D
irate_27,u279037,50 cent-don&apos;t push me,50 Cent,Don't Push Me,11612123,
irate_28,u574891,knife prty - deftones,Deftones,Knife Prty,685402,
irate_29,u535892,Dream on --Aerosmith--,Aerosmith,Dream On (Live),148382,
irate_30,u279224,mr. brightside - the killers,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
irate_31,u535929,Thompson Twins- Hold Me Now,Thompson Twins,Hold Me Now,8282848,TRFRMJC128F428D15C
irate_32,u5585,Xzibit - Back 2 the Way It Was,Xzibit,Back 2 The Way It Was,3402408,TRELCOP128F4282137
irate_33,u403805,KoRn - shoots and ladders,Korn,Shoots and Ladders,10343830,TRLLIBA128F92C9828
irate_34,u403863,Total Eclipse - Chaotic Circus,Total Eclipse,Chaotic Circus,8574798,TRMPLGK12903CE591E
irate_35,u273964,"Yellowcard- ""Ocean Avenue""",Yellowcard,Ocean Avenue,285605,TRZGABY128F1462E00
irate_36,u403993,midtown-like a movie,Midtown,Like A Movie,150468,TRKQVTI128E078F61C
irate_37,u279713,Slipknot - Sic,Slipknot,[sic] [Explicit],6484570,TRHCDHI128F92C4B9B
irate_38,u603545,SAINTS AND SAILORS - DASHBOARD CONFESSIONAL,Dashboard Confessional,Saints And Sailors,496702,TRYJOWF128F148AE41
irate_39,u404111,bargain music - black eye,Bargain Music,Black Eye,5733522,TRMIMEZ128F9308EF9
irate_40,u404141,Rob Zombie - Meet The Creeper,Rob Zombie,Meet The Creeper,170673,TRIBHGY128E0793893
irate_41,u575071,The White Stripes - Hotel Yorba,The White Stripes,Hotel Yorba,2072849,TRVQBRZ128F423EEDC
irate_42,u482447,[Right Side of the Bed] - Atreyu,Atreyu,Right Side Of The Bed,15671787,TRWEHPJ128F42483C5
irate_43,u575120,Black Flag - I&apos;ve Had It,Black Flag,I've Had It,2250447,TRRGLGP12903CE41C9
irate_44,u575123,Incubus - Nice To Know You,Incubus,Nice To Know You,21462254,TRMFCNV128F92E8B76
irate_45,u536331,|The Doors|- People are strange,The Doors,People Are Strange,2309581,TRQPGMD128EF34280A
irate_46,u256275,"""Under My Umbrella""-Incubus",Incubus,Under My Umbrella,3250764,TRBRLCH128F92F3877
irate_47,u624220,Golden Years- David Bowie,David Bowie,Golden Years,5343,
irate_48,u536461,Talvin Singh - Butterfly,Talvin Singh,Butterfly,5572861,TRRGZPZ128F9305B78
irate_49,u8895,The Cardigans - Happy meal,The Cardigans,Happy Meal II,148877,
irate_50,u9142,Coheed and Cambria - A Favor House Atlantic,Coheed and Cambria,A Favor House Atlantic,5773640,TRMJLNQ128F92E4272
irate_51,u271944,Clumsy- Our Lady Peace,Our Lady Peace,Clumsy,4877844,TRGMSNC128F92F0798
irate_52,u483002,Seven Nation Army - White Stripes,The White Stripes,Seven Nation Army (Live),8238205,TRMKVAQ12903D0A693
irate_53,u405112,nine inch nails - ruiner,Nine Inch Nails,Ruiner,165220,TRTHZLQ128E0792BAF
irate_54,u575423,PARDON ME- INCUBUS,Incubus,Pardon Me,3165722,TRLSNDQ128F4266BD7
irate_55,u603900,Keane- Everybody&apos;s Changing,Keane,Everybody's Changing,1532,TROIISO128F93184B7
irate_56,u273989,the Doors - The End,The Doors,The End,2309645,TRAQGTQ128F930E01E
IRATE_57,u10502,As I Lay Dying - 94 Hours,As I Lay Dying,94 Hours,6199329,TREKDYL128F934C6F8
irate_58,u483205,Oleander - Stupid,Oleander,Stupid,618621,TRDPUPZ128F14A2D8D
irate_59,u536751,Winter - Tori Amos,Tori Amos,Winter,15739530,TRPIOSU128F92DE1D7
irate_60,u10686,China Drum - Better Than Me,China Drum,Better Than Me,4825614,TRFQUBL128F92E3DA9
irate_61,u405431,Morcheeba - Never An Easy Way,Morcheeba,Never An Easy Way,225122,TRZJHGG128E079655A
irate_62,u536824,Stabbing Westward --- Save Yourself,Stabbing Westward,Save Yourself,12430688,TRGYHRX128F4263395
irate_63,u405538,A Boy Brushed Red Living In Black And White- Underoath,Underoath,A Boy Brushed Red Living In Black And White,398505,TRVRWET128F14794E3
irate_64,u256381,Hanson-Little Saint Nick,Hanson,Little Saint Nick,2233834,TROBIUS128F4263F28
irate_65,u11333,Fuel - Won&apos;t Back Down,Fuel,Won't Back Down,10562997,TRMCDIR128F427C56E
irate_66,u575572,A Perfect Circle - Thinking Of You,A Perfect Circle,Thinking Of You,320824,TRSBRGR128F146A5C4
irate_67,u483383,Orbital - Halcyon & On & On,Orbital,Halcyon And On And On,20797,
irate_68,u405622,from the inside-linkin park,Linkin Park,From The Inside,449742,
irate_69,u405676,"""So Beautiful""-Dashboard Confessional",Dashboard Confessional,So Beautiful,386204,TRMQUHI128F147714A
irate_70,u624411,The Dillinger Escape Plan-43% Burnt,The Dillinger Escape Plan,43% Burnt,6154450,TRHTGXX128F428CADF
irate_71,u282403,Maroon 5 -  she will be loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
irate_72,u405795,Linkin Park- One Step Closer,Linkin Park,One Step Closer,193080,TRNFKIB128F93333A1
