irritated_0,u603005,Last Kiss - Pearl Jam,Pearl Jam,Last Kiss,3274053,TRYDWSR128F428005C
irritated_1,u535125,bleeding through - revenge i seek,Bleeding Through,Revenge I Seek,19427532,TRNCVAM12903CC50A7
irritated_2,u623706,Nick Cave And The Bad Seeds - Stagger Lee,Nick Cave & The Bad Seeds,Stagger Lee (2011 - Remaster),13706729,
irritated_3,u623707,Finch- What it is to Burn,Finch,What It Is To Burn,2467062,TRWGYVA12903CACB2A
irritated_4,u216,Atreyu- The Crimson,Atreyu,The Crimson,15671793,
irritated_5,u260,modest mouse - float on,Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
irritated_6,u535150,Special D - Come with me,Special D.,Come With Me (Single Edit),18076317,
irritated_7,u481043,Venom - Witching Hour,Venom,Witching Hour,6989264,TRGFXIO128F9323A6F
irritated_8,u623720,Taking Back Sunday- Blue Channel,Taking Back Sunday,The Blue Channel,15746787,
irritated_9,u276793,Switchfoot - More Than Fine,Switchfoot,More Than Fine,7333370,TRJWJMM128F4283C53
irritated_10,u623724,Lullaby- Shawn Mullins,Shawn Mullins,Lullaby,4461037,TRFOUSU128F92DF9DC
irritated_11,u535218,Erased- Annie Lennox,Annie Lennox,Erased,3420753,TRAYWLI128F9300223
irritated_12,u263606,nirvana-dumb,Nirvana,Dumb,148340,TRDMUWU128E078EDDB
irritated_13,u276917,further seems forever- new years project,Further Seems Forever,New Years Project (Live),5709382,TRKGSSG128F934A1A5
irritated_14,u766,new found glory - this disaster,New Found Glory,This Disaster,3441590,TRKBEFY128F42A6C92
irritated_15,u481123,Oasis- Be Here Now,Oasis,Be Here Now,167769,TRBZODM128E0793475
irritated_16,u481141,Superman - Eminem,Eminem,Superman,148206,
irritated_17,u402320,Sex Pistols - Pretty Vacant,Sex Pistols,Pretty Vacant,17419632,TRALPXC128E07819A8
irritated_18,u276987,I will love you - fisher,Fisher,I Will Love You,1065647,TROMETZ128F42862E6
irritated_19,u638970,Avril Lavigne - Forgotten,Avril Lavigne,Forgotten,3363673,TRYFDHX128F42A3A40
irritated_20,u623744,at last - etta james,Etta James,At Last,13563363,TRBUCIY128F422B984
irritated_21,u944,Nobody&apos;s Home- Avril Lavigne,Avril Lavigne,Nobody's Home,3363657,TRCJNHM128F92C3172
irritated_22,u623745,thinking about you-radiohead,Radiohead,Thinking About You (Demo),4501152,TRYLBSX128F9310CC8
irritated_23,u481165,Rammstein - Bestrafe Mich,Rammstein,Bestrafe Mich,3821263,TRHRPKN128F92D5421
irritated_24,u638976,Incubus - Drive.,Incubus,Drive,5304930,TRCUEPI128F4278E10
irritated_25,u402369,pieces of me -- ashlee simpson,Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
irritated_26,u1046,Cake- Never There,Cake,Never There,3335574,TRWHGOU128F428D386
irritated_27,u277090,A Favor House Atlantic- Coheed and Cambria,Coheed and Cambria,A Favor House Atlantic,5773640,TRMJLNQ128F92E4272
irritated_28,u481188,Thursday - Streaks In the Sky,Thursday,Streaks In The Sky,3481729,TRYROPO128F14862A5
irritated_29,u402387,Led Zeppelin-over the hills and far away,Led Zeppelin,Over The Hills And Far Away,1787079,
irritated_30,u402389,it dies today - marigold,It Dies Today,Marigold,5322126,TRZVFOG128F92ECE97
irritated_31,u481200,"Adema - ""Unstable""",Adema,Unstable,4417025,TRGBLLX128F4294EF3
irritated_32,u638984,Foo Fighters - For All The Cows,Foo Fighters,For All The Cows,3318844,TRJDTBE128F4289421
irritated_33,u623760,The Killers - Under the Gun,The Killers,Under The Gun,1862733,TRBWPSA128F145E0F6
irritated_34,u574428,Jesus Of Suburbia - Green Day,Green Day,Jesus Of Suburbia,8807708,
irritated_35,u638989,"Descendents - ""Dry Spell""",Descendents,Dry Spell,2617905,TRQTDIS128F4234F5B
irritated_36,u481256,Only One - Yellowcard,Yellowcard,Only One,285608,TREJJLL128F1462E03
irritated_37,u277228,POD - Asthma,P.O.D.,Asthma (Album Version),68332,TRRSSTH128E0785131
irritated_38,u603119,"""Father Lucifer""-Tori Amos",Tori Amos,Father Lucifer,550881,TRCSDPD128F42AD897
irritated_39,u1421,august Winterman- Dead Poetic,Dead Poetic,August Winterman (Dead Poetic Album Version),1863239,TRKEWQF128F14ADACF
IRRITATED_40,u1460,ALL FALLS DOWN - KANYE WEST,Kanye West,All Falls Down,23427,
irritated_41,u1495,Linkin Park - In The End,Linkin Park,In The End,193086,
irritated_42,u603129,crazy train- ozzy,Ozzy Osbourne,Crazy Train,13775572,TRLDBHR128F9306F73
irritated_43,u638997,pieces-sum 41,Sum 41,Pieces,15731,TRVLYAC128E0783727
irritated_44,u277357,Aerosmith - Dream On,Aerosmith,Dream On,148382,TRWVYWL128F933016F
irritated_45,u1687,"""More than Fine"" - Switchfoot",Switchfoot,More Than Fine,7333370,TRJWJMM128F4283C53
irritated_46,u1705,green day - boulevard of broken dreams,Green Day,Boulevard Of Broken Dreams,8807889,
irritated_47,u256097,Aerosmith - Dream On,Aerosmith,Dream On,148382,TRWVYWL128F933016F
irritated_48,u277423,"Delerium - ""&apos;Till the End of Time""",Delerium,Till The End Of Time,11087629,TRUCIEG12903D059A3
irritated_49,u256100,the first cut is the deepest-sheryl crow,Sheryl Crow,The First Cut Is The Deepest,1940785,TRCMRNV128F42149CF
irritated_50,u535375,lunchbox - marilyn manson,Marilyn Manson,Lunchbox,2473940,TRETMAZ128E0792498
irritated_51,u623802,Three Days Grace - I Hate Everything About You,Three Days Grace,I Hate Everything About You,3112257,TRRGTOV128F425B9D1
irritated_52,u639008,Ours- Outside,Ours,Outside,13876298,TRKTHDX128F42B3EF6
irritated_53,u277467,Chingy - Balla Baby (remix),Chingy,Balla Baby Remix,17892,
irritated_54,u402634,Norah Jones - Come away with me,Norah Jones,Come Away With Me,4678,TRMXKVJ128F1484E1B
irritated_55,u574502,Miss Blue-Filter,Filter,Miss Blue,4558879,TRXGPXO128F931C3DC
irritated_56,u402643,quiet things - brand new,Brand New,The Quiet Things That No One Ever Knows,7056183,TRSPEFX128F9333620
irritated_57,u277522,No Such Thing - John Mayer,John Mayer,No Such Thing,5000201,TRHZKAD128F4263A6D
irritated_58,u481417,Jack Johnson -- Bubble Toes,Jack Johnson,Bubble Toes,15603564,TRFTUIW128E0784B9F
irritated_59,u271883,John Lennon - Imagine,The Sounds Of John Lennon,Imagine,10802113,
irritated_60,u277585,Politically Correct -- SR-71,SR-71,Politically Correct,3323445,TRLZVXV128F428A560
irritated_61,u481426,It&apos;s About Time- Lillix,Lillix,It's About Time (Album Version),389342,TRDAQWE128F1477AFF
irritated_62,u623829,Franz Ferdinand ----- Take me out,Franz Ferdinand,Take Me Out,5498916,TRWXKDD128F9311508
irritated_63,u574522,rickie lee jones - &apos;ghetto of my mind&apos;,Rickie Lee Jones,Ghetto Of My Mind,510016,TRFCKFD128F148D16F
irritated_64,u277632,Linkin Park - Somewhere I Belong,Linkin Park,Somewhere I Belong,449735,
irritated_65,u639025,john mayer- back to you,John Mayer,Back To You,3153079,TRPAXSN128F4263A71
