jealous_0,u603036,Nine Inch Nails - Just Like You Imagined,Nine Inch Nails,Just Like You Imagined,143828,TRJCVFN128E078DF63
jealous_1,u535183,keith urban-you&apos;ll think of me,Keith Urban,You'll Think Of Me,1832865,TRFKJHO128F1453F85
jealous_2,u535200,DEVILDRIVER - digging up the corpses,DevilDriver,Digging Up the Corpses (Album Version),1432590,TRVBBRD128F424132C
jealous_3,u481126,Metallica - The Unnamed Feeling,Metallica,The Unnamed Feeling,5607082,TRUZVGK128F42BA04D
jealous_4,u481151,john mayer - your body is a wonderland,John Mayer,Your Body Is A Wonderland,5000205,TRKNQXY128F930FB24
jealous_5,u603076,Delerium -- Love,Delerium,Love,8707421,TRWOJDN12903D06074
jealous_6,u277048,brand new -Jude Law And A Semester Abroad,Brand New,Jude Law and a Semester Abroad,16579773,TRXWGEZ128F932D5D3
jealous_7,u638995,Fefe Dobson-Everything,Fefe Dobson,Everything,19537922,TRZBFRE128F92F3B03
jealous_8,u481329,Bright Eyes-For You,Bright Eyes,I've Been Eating [For You],475975,TRBJETJ128F1487258
jealous_9,u402579,el otro yo - no me importa morir,El Otro Yo,No Me Importa Morir,8640144,TRVTTGU12903CF57F4
jealous_10,u574477,Weezer - Butterfly,Weezer,Butterfly,10297985,TRIWOSM128E078910D
jealous_11,u481362,simple plan- untitled,Simple Plan,Untitled (Domestic Album Version),92059,TRNGELJ128E078732B
jealous_12,u402710,Only one-yellowcard,Yellowcard,Only One,285608,TREJJLL128F1462E03
jealous_13,u271885,New Found Glory-Black And Blue,New Found Glory,Black And Blue,3500641,TRWMMIG128C71967C0
jealous_14,u535487,Evanescence - My Immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
jealous_15,u402832,When You Kiss Me-Shania Twain,Shania Twain,When You Kiss Me,245501,TRWDVBM128F9333B3E
jealous_16,u574582,pete yorn- strange condition,Pete Yorn,Strange Condition,3152581,TRNHSAW12903C9AA45
jealous_17,u535512,Dashboard Confessional - This Bitter Pill,Dashboard Confessional,This Bitter Pill,496707,TRUTFOJ128F148AE46
jealous_18,u574593,Get Out---JOJO,JoJo,Leave (Get Out) (Instrumental),4628,
jealous_19,u256124,Faith Hill - ?If My Heart Had Wings?,Faith Hill,If My Heart Had Wings,6321687,
jealous_20,u278078,Incubus - Pistola,Incubus,Pistola,10973057,TRQMWDM128F4280813
