jubilant_0,u638938,Outkast- Roses,OutKast,Roses,19726784,TRZTJRK128F428D2BC
jubilant_1,u256056,Robbie Williams - Radio,Robbie Williams,Radio,21723497,TRJPJFB128F426779F
jubilant_2,u263593,New Found Glory - This Disaster,New Found Glory,This Disaster,3441590,TRKBEFY128F42A6C92
jubilant_3,u638947,gEt it wEt -- tWiSta,Twista,Get It Wet,1434854,
jubilant_4,u446,the white stripes - hotel yorba,The White Stripes,Hotel Yorba,2072849,TRVQBRZ128F423EEDC
jubilant_5,u638952,Exodus- Bob Marley,Bob Marley,Exodus,148606,
jubilant_6,u557,Kenny Chesney- Keg in the Closet,Kenny Chesney,Keg In The Closet (Live),3491096,
jubilant_7,u276853,vice squad-latex love,Vice Squad,Latex Love,6786664,TRWNRAJ128F9306DE3
jubilant_8,u597,Three Days Grace- i hate everything about you,Three Days Grace,I Hate Everything About You,3112257,TRRGTOV128F425B9D1
jubilant_9,u614,Trapt- Still Frame,Trapt,Still Frame,3549475,
jubilant_10,u638960,the working title - something she said,The Working Title,Something She Said,4291404,TREDBSN128F92E87FD
jubilant_11,u653,Pure Shores- all saints,All Saints,Pure Shores,311929,
jubilant_12,u275215,Blake Shelton- some beach,Blake Shelton,Some Beach,68739,
jubilant_13,u768,I Am A Man Of Constant Sorrow - The Soggy Bottom Boys,The Soggy Bottom Boys,I Am A Man Of Constant Sorrow,14922227,TRYEKWE128F1459C42
jubilant_14,u623736,over the hills and far away-led zeppelin,Led Zeppelin,Over The Hills And Far Away,1787079,
jubilant_15,u263610,lostprophets - we still kill the old way,Lostprophets,We Still Kill The Old Way,536414,TRAHMQX128F1491BA9
jubilant_16,u276979,Lillix - It&apos;s About Time,Lillix,It's About Time (Album Version),389342,TRDAQWE128F1477AFF
jubilant_17,u276989,linkin park - with you,Linkin Park,With You,193081,
jubilant_18,u623742,Disco Inferno- 50 cent,50 Cent,Disco Inferno,721053,TRCYOEE128E0786532
jubilant_19,u603080,so yesterday-hilary duff,Hilary Duff,So Yesterday,4019210,
jubilant_20,u402359,Christmas Wrapping -- The Waitresses,The Waitresses,Christmas Wrapping,21471573,TRMUUNB128F935C9D1
jubilant_21,u277107,Steely Dan - My Old School,Steely Dan,My Old School,171130,TRBZYOO128F9329F87
jubilant_22,u1167,Michelle Branch-Hotel Paper,Michelle Branch,Hotel Paper (Album Version),6632273,TRLKRBY128F146E5C4
jubilant_23,u603112,"""Army""- Ben Folds",Ben Folds Five,Army,3151413,
jubilant_24,u402432,mae - suspension,Mae,Suspension,435189,TRMVSYP128F147FD25
jubilant_25,u402471,Groove Armada - My Friend,Groove Armada,My Friend,3107427,TRVAEDF128F92E53B7
jubilant_26,u273937,Ruff Endz - Someone To Love You,Ruff Endz,Someone To Love You,4435855,TRCRJEP128F427708A
jubilant_27,u277292,Boston-More than a Feeling,Boston,More Than A Feeling,3158567,TRMWYUT128F426A835
jubilant_28,u574459,orgy - blue monday,Orgy,Blue Monday,87488,TRRSZCO128F4270273
jubilant_29,u574459,limp bizkit - behind blue eyes,Limp Bizkit,Behind Blue Eyes,3103151,TRKTVEA128F4259640
jubilant_30,u277324,Metallica - Enter Sandman,Metallica,Enter Sandman,417163,TRQSYEE128F147CC5D
jubilant_31,u1634,pink tarantulas-the blood brothers,The Blood Brothers,Pink Tarantulas (off the Ambulance vs. Ambulance single) [Bonus Track],7295105,TRHOZOS12903C9BD6E
jubilant_32,u277384,something corporate- down,Something Corporate,Down,21497510,TRBWTKL12903CB7034
jubilant_33,u535354,Alanis Morissette-Head over Feet,Alanis Morissette,Head Over Feet,390357,
jubilant_34,u574473,fatboy slim - praise you,Fatboy Slim,Praise You,10572778,TRRQKVG12903CB08BD
jubilant_35,u481344,Cursive - Art is Hard,Cursive,Art is Hard,1126795,TRODVKZ128F426D462
jubilant_36,u256101,I Miss You- Incubus,Incubus,I Miss You,3232067,TRYSBRF128F42748B9
jubilant_37,u623801,The Misfits - Where Eagles Dare,Misfits,Where Eagles Dare,1157495,
jubilant_38,u277462,Rammstein- Klavier,Rammstein,Klavier,7887079,TRFHQJN128F92D5425
jubilant_39,u639008,Jimmy Eat World- Work,Jimmy Eat World,Work,18504363,TRPYDWB128E0786534
jubilant_40,u603152,glassjaw - the gillette cavalcade of sports,Glassjaw,The Gillette Cavalcade Of Sports,6004613,
jubilant_41,u277476,The Police-Can&apos;t Stand Losing You,The Police,Can't Stand Losing You,164160,TRFDFQK128F1492377
jubilant_42,u263632,"""Roses"" - Outkast",OutKast,Roses,19726784,TRZTJRK128F428D2BC
jubilant_43,u623809,the luckiest-Ben Folds,Ben Folds,The Luckiest,3151601,TRBNROK128F42634C8
jubilant_44,u623809,Collide-Howie Day,Howie Day,Collide,3288451,TRBGRXO128F4282115
jubilant_45,u1986,Macy Gray - Sweet baby,Macy Gray,Sweet Baby (featuring Erykah Badu),17012610,
jubilant_46,u481409,Deeper-Hanson,Hanson,Deeper,571695,TREECGZ128F428BC74
jubilant_47,u623817,Move To Bremerton-MxPx,MxPx,Move To Bremerton (Critter Version) (3:35),671243,TRKJWYH128F14AE54D
jubilant_48,u277582,brand new - soco amaretto lime,Brand New,Soco Amaretto Lime,7031531,TRTOYKB128F932D5E1
jubilant_49,u535430,S Club 7 - Never Had A dream Come true,S Club 7,Never Had A Dream Come True,162429,TRPPPFB128E07920B6
jubilant_50,u603167,"""Monosyllabic Girl"" - NOFX",NOFX,Monosyllabic Girl,2225868,TRZLQMH128F428905F
jubilant_51,u277610,Idlewild - Roseability,Idlewild,Roseability,11140463,TRRFJAH128E0782E36
jubilant_52,u402714,"""You&apos;re So Vain"" - Carly Simon",Carly Simon,You're So Vain - Live,3655332,
jubilant_53,u623832,Frank Sinatra- The Lady is a Tramp,Frank Sinatra,The Lady Is A Tramp,9268950,
jubilant_54,u2212,Mona Lisas and Mad Hatters- Mandy Moore,Mandy Moore,Mona Lisas and Mad Hatters,3112563,TRXSETP128F425BAE0
jubilant_55,u481453,Wicked Game - HIM,HIM,Wicked Game,4419085,TRQPJGU128F428E7C8
jubilant_56,u402776,Pretty Girl- Sugarcult,Sugarcult,Pretty Girl (The Way),1170081,TRLLEDY128F429A960
jubilant_57,u623842,Coldplay - Sparks,Coldplay,Sparks,425044,TRNGAAK128F147DF92
jubilant_58,u402789,Martine McCutcheon - On The Radio,Martine McCutcheon,On The Radio,643884,TRXTHTU128F146A995
jubilant_59,u402796,hoku-perfect day,Hoku,Perfect Day,163899,TRKMDHA12903CE69CE
jubilant_60,u574550,joss stone - you had me,Joss Stone,You Had Me (Live),2578079,TRLKEFU128F422C555
jubilant_61,u603206,The Killers- Mr. Brightside,The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
jubilant_62,u574566,Kelly Clarkson - Breakaway,Kelly Clarkson,Breakaway,3428701,TRBFAES12903CE2660
jubilant_63,u639039,Hall and Oates - Rich Girl,Hall & Oates,Rich Girl,5213886,
jubilant_64,u535501,simple plan- welcome to my life,Simple Plan,Welcome To My Life,92050,
jubilant_65,u481540,crunk juice- lil jon,Lil Jon,Crunk Juice,13253689,
jubilant_66,u277829,Oh Boy! -Buddy Holly,Buddy Holly,Oh Boy!,16163223,
jubilant_67,u277830,Flogging Molly - Salty Dog,Flogging Molly,Salty Dog,8587216,TRBCMSH12903D03298
jubilant_68,u402856,Penny and me- Hanson,Hanson,Penny & Me,16092526,TRAQBHJ128E0794F0B
