lonely_0,u638939,Downfall - Matchbox Twenty,matchbox twenty,Downfall,225112,
lonely_1,u402071,Cure My Tragedy - Cold,Cold,Cure My Tragedy,164534,TRXGFFW128E0792903
lonely_2,u276608,evanescence - my immortal,Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
lonely_3,u480998,YellowCard-Only One,Yellowcard,Only One,285608,TREJJLL128F1462E03
lonely_4,u276619,The Misfits - Hybrid Moments,Misfits,Hybrid Moments,309965,
lonely_5,u603012,Pepper - Stone Love,Pepper,Stone Love,6617786,TRWASPB128F933DCD7
lonely_6,u276638,Straylight Run- Tool Sheds and Hot Tubs,Straylight Run,Tool Sheds And Hot Tubs,15747045,
lonely_7,u276645,MXPX-Punk Rawk Show,MxPx,Punk Rawk Show (Teenage Politics Album Version),232132,TRRRKJI128F1456D1B
lonely_8,u623703,postal service- such great heights,The Postal Service,Such Great Heights,1579101,TRCRCBT128F4260DD1
lonely_9,u276653,Storm--Lifehouse,Lifehouse,Storm,6927268,TREKGBL128F429CBE4
lonely_10,u276654,just lose it - eminem,Eminem,Just Lose It (Instrumental),14645,
lonely_11,u268545,Hey jealousy - Gin Blossoms,Gin Blossoms,Hey Jealousy,2436623,TRCIIIB128F148D11C
lonely_12,u402101,Mr. Lonely-Bobby Vinton,Bobby Vinton,Mr. Lonely,13186180,TRRXNBD128F42AEE3F
lonely_13,u535132,Sum 41--Pieces,Sum 41,Pieces,15731,TRVLYAC128E0783727
lonely_14,u535134,Autobiography- Ashlee Simpson,Ashlee Simpson,Autobiography,3441846,TRGUOKQ128F4214A7C
lonely_15,u276671,azure ray-sleep,Azure Ray,Sleep,10673813,
lonely_16,u574308,Mama- Spice Girls.,Spice Girls,Mama,15659014,TRZRPDM128F4298331
lonely_17,u276678,The early November-Ever so sweet,The Early November,Ever So Sweet,214401,TRRCEQY128F4292BCC
lonely_18,u623707,silverstein- bleeds no more,Silverstein,Bleeds No More,15774024,
lonely_19,u481025,Lloyd Banks - On Fire,Lloyd Banks,On Fire,21779594,TRWNUGN12903D08177
lonely_20,u535142,simple plan- god must hate me,Simple Plan,God Must Hate Me,560329,
lonely_21,u263595,Jimmy Eat World-Pain,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
lonely_22,u402128,Linkin Park - In The End,Linkin Park,In The End,193086,
lonely_23,u402130,EmPtY aPaRtMeNt ->> YeLlOwCaRd,Yellowcard,Empty Apartment,285606,TRQYGUV128F1462E01
lonely_24,u603028,pieces-Sum 41,Sum 41,Pieces,15731,TRVLYAC128E0783727
lonely_25,u256064,Yellowcard- Miles Apart,Yellowcard,Miles Apart,285609,TRCJYPQ128F1462E04
lonely_26,u638948,Zeromancer-Wannabe,Zeromancer,Wannabe,89914,TRPHYWD128E0786D57
lonely_27,u603033,"""You&apos;re Not Welcome Here"" -  Phantom Planet",Phantom Planet,You're Not Welcome Here,3279624,TRRABEH128F42ADC78
lonely_28,u603035,dead poetic - glass in the trees,Dead Poetic,Glass In The Trees,1863235,TRGVAGR128F429DCD2
lonely_29,u402147,straw dog - something corporate,Something Corporate,Straw Dog,160322,TRCLLPB128E0791891
lonely_30,u535167,as lovers go - Dashboard Confessional,Dashboard Confessional,As Lovers Go (Remix),5572862,
lonely_31,u603045,"""Blue"" - A Perfect Circle",A Perfect Circle,Blue,239390,TRNHGBH128F427B6F0
lonely_32,u419,Welcome To My Life--Simple Plan,Simple Plan,Welcome To My Life,92050,
lonely_33,u276763,Sevendust - Skeleton Song,Sevendust,Skeleton Song,3925810,TRMIVAI128F9311EC1
lonely_34,u256072,"""Don&apos;t Let Me Down""-No Doubt",No Doubt,Don't Let Me Down,148156,TRIIUCR128E078ED2F
lonely_35,u402189,Welcome to My Life - Simple Plan,Simple Plan,Welcome To My Life,92050,
lonely_36,u276769,bolt thrower - in battle there is no law,Bolt Thrower,In Battle There Is No Law,7575060,TRGQYEQ12903CDFB2B
lonely_37,u454,recover - my only cure,Recover,My Only Cure,3444009,TRWZCGK128F92F140D
lonely_38,u481071,Iron Maiden-Run to the Hills,Iron Maiden,Run To The Hills,346912,
lonely_39,u481073,the Cult - She Sells Sanctuary,The Cult,She Sells Sanctuary,6005146,
lonely_40,u535189,Black Sabbath - Lonely is the Word,Black Sabbath,Lonely Is The Word,4524156,TRLEQDL128F931C342
lonely_41,u263600,sondre lerche - sleep on needles,Sondre Lerche,Sleep On Needles,6649,
lonely_42,u535192,Blank Page - Pumpkins,The Smashing Pumpkins,Blank Page,104274,TRNVVSC128E0788AAC
lonely_43,u256073,Puretone - Addicted To Bass,Puretone,Addicted To Bass,13124512,TRJBLDD128F4274769
lonely_44,u535194,Finch - What it is to Burn,Finch,What It Is To Burn,2467062,TRWGYVA12903CACB2A
lonely_45,u509,something corporate - Konstantine,Something Corporate,Konstantine,244669,TRQIXPI128F1459AFE
lonely_46,u535197,shadow- ashlee simpson,Ashlee Simpson,Shadow,18453390,TRBPWVZ128F4214A7E
lonely_47,u574342,Copeland - When Finally Set Free,Copeland,When Finally Set Free,2927685,TRLKQIP128F427CA45
lonely_48,u268548,Fisher - I Will Love You,Fisher,I Will Love You,1065647,TROMETZ128F42862E6
lonely_49,u535208,Wishing on a Star-cover Girls,The Cover Girls,Wishing On A Star,10049419,TRWTXLW128F42741B9
lonely_50,u402246,duality- slipknot,Slipknot,Duality,1397970,
lonely_51,u402258,Pink Floyd - Comfortably Numb,Pink Floyd,Comfortably Numb,15487570,TRQSIQV128F93085B3
lonely_52,u574353,"""Mr. Brightside"" - The Killers",The Killers,Mr. Brightside,4465244,TRSDHZY128F42B91E7
lonely_53,u402261,"""Fly away from here"" - Aerosmith",Aerosmith,Fly Away From Here,12749684,TRESBJX128F4262534
lonely_54,u623728,"""Pushing me away""- Linkin Park",Linkin Park,Pushing Me Away (Album Version),7006417,TRBJVGJ128E0797FCE
lonely_55,u481099,"""I MISS YOU"" - Incubus",Incubus,I Miss You,3232067,TRYSBRF128F42748B9
lonely_56,u535217,Everytime- Britney Spears,Britney Spears,Everytime,3371815,TRHESQM128F9309934
lonely_57,u481101,Nirvana - Smells Like Teen Spirit,Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
lonely_58,u623729,Misfits - Dig up Her Bones,Misfits,Dig Up Her Bones,510075,
lonely_59,u535219,Montgomery Gentry-Speed,Montgomery Gentry,Speed,3464996,TRKYBEQ128F42AC7B7
lonely_60,u481107,Alkaline Trio - Fuck You Aurora,Alkaline Trio,Fuck You Aurora,2777333,TRJRMVM128F4259C12
lonely_61,u263605,Eric Clapton - Tears in Heaven,Eric Clapton,Tears In Heaven,1515377,TRVYICQ128F4252493
lonely_62,u535225,3 Doors Down - Here By Me,3 Doors Down,Here By Me,225071,TRRXJVP128E0789A04
lonely_63,u638962,pinback - penelope,Pinback,Penelope,6112105,TRRKPIO128F9335F7E
lonely_64,u638962,"incubus - sick, sad, little world",Incubus,Sick Sad Little World,10973055,TREBEGR128F42809F9
lonely_65,u603065,The Juliana Theory - August In Bethany,The Juliana Theory,August In Bethany,669020,TRFIPTL128F9324508
lonely_66,u276919,Joy Division - Love will tear us apart,Joy Division,Love Will Tear Us Apart,2350093,TRWTQMA128F423C591
lonely_67,u574372,Brand New- Play crack the sky,Brand New,Play Crack the Sky,7056199,TRBOQOM128F9333630
lonely_68,u784,When you kiss me - Shania Twain,Shania Twain,When You Kiss Me,245501,TRWDVBM128F9333B3E
lonely_69,u276946,my december- linkin park,Linkin Park,My December,449732,TRZALAV128F1484413
lonely_70,u402304,azure Ray-November,Azure Ray,November,570620,TRTDRCV128F149799C
lonely_71,u623737,Unsung Zeros - Invisible Touch,Unsung Zeros,Invisible Touch,7867163,TRMXQJZ12903CB01BB
lonely_72,u638967,Hendrix- Machine Gun,Jimi Hendrix,Machine Gun,7426162,TRFCZQE12903CBB89D
lonely_73,u402315,Hot Hot Heat - Aveda,Hot Hot Heat,Aveda,140192,TRTJCAD128E078D3CE
lonely_74,u268551,Cold - Black Sunday,Cold,Black Sunday,164543,TRMVEQJ128E079290C
lonely_75,u623740,Butch Walker - Suburbia,Butch Walker,Suburbia,3333951,TRNAOZG128F428CD5F
lonely_76,u623741,KoRn- Faget,Korn,Faget,13916017,TRJAHNP128F42670CA
lonely_77,u574381,say anything- alive with the glory of love,Say Anything,Alive With The Glory Of Love,3472150,TROLJHQ128F42AE3A9
lonely_78,u603077,Flagpole Sitta- Harvey Danger,Harvey Danger,Flagpole Sitta,10616482,TRFLNKX128F9339775
lonely_79,u277019,Goldfinger- 99 red balloons,Goldfinger,99 Red Balloons,6353673,TRTGQPF128F429508F
lonely_80,u277024,"Enrique Iglesias- ""Addicted""",Enrique Iglesias,Addicted,3780075,TREXNUA128F932F3F2
lonely_81,u603081,Vandals - Hang myself from the tree,The Vandals,Hang Myself From The Tree,1753102,TRCBGHE128F428A7BB
lonely_82,u603081,Salty Dog - Flogging Molly,Flogging Molly,Salty Dog,8587216,TRBCMSH12903D03298
lonely_83,u535258,more like me - trick pony,Trick Pony,More Like Me (Album Version),5682100,TRZMLFD128F93437CC
lonely_84,u481162,the big sleep - streetlight manifesto,Streetlight Manifesto,The Big Sleep,15813194,
lonely_85,u603084,Coldplay - The Scientist,Coldplay,The Scientist,2970,TRMZXEW128F9341FD5
lonely_86,u967,Brand New-mix tape,Brand New,Mix Tape,16579793,TRAHVYB128F932D5D6
lonely_87,u535261,The Pixies- Debaser,Pixies,Debaser,2073186,TRRPRXH128F423F02F
lonely_88,u535263,Vast - Touched,VAST,Touched,5678320,
lonely_89,u985,Norah Jones - Painter Song,Norah Jones,Painter Song,4683,TRBJDVZ128E078148A
lonely_90,u535264,flaming lips- fight test,The Flaming Lips,Fight Test,410453,
lonely_91,u574399,retour a vega - the stills,The Stills,Retour A Vega,1376506,
lonely_92,u277066,the reason- hoobastank,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
lonely_93,u1033,I&apos;m Just A Kid-Simple Plan,Simple Plan,I'm Just A Kid,2373415,
lonely_94,u277086,Britney - Lucky,Britney Spears,Lucky,3379872,TRJBSYG128F4291E11
lonely_95,u535281,311 - Amber,311,Amber,5828353,TRYJIVF128F92F158D
lonely_96,u402377,Sense Field --Save Yourself,Sense Field,Save Yourself,11492936,TRSUFMP12903CE811E
lonely_97,u268553,311-Eons,311,Eons,5925939,TRBAOZS128F93091CA
lonely_98,u268553,Pink Floyd-Goodbye Blue Sky,Pink Floyd,Goodbye Blue Sky,15487525,
lonely_99,u268553,A Perfect Circle-Over,A Perfect Circle,Over,17384786,TRLTGZR128F146A5C6
lonely_100,u574411,somebody to love - Queen,Queen,Somebody To Love,11612126,TRWBNFJ128E07840F4
lonely_101,u276455,Stiff Little Fingers - Suspect Device,Stiff Little Fingers,Suspect Device,252988,
lonely_102,u277101,eisley- telescope eyes,Eisley,Telescope Eyes (Album Version),1408353,TRUEOZF128F423C606
lonely_103,u481189,Throw Your Set In The Air - Cypress Hill,Cypress Hill,Throw Your Set In The Air,8707408,TREAQUF128F426A294
lonely_104,u481189,Who Will Save Your Soul - Jewel,Jewel,Who Will Save Your Soul,1526339,TRMPGIW128F9330A28
lonely_105,u402383,earthcrosser-veruca salt,Veruca Salt,Earthcrosser,170887,TRTBMHO128E0793F82
