loved_0,u263589,"""stellar"" - incubus",Incubus,Stellar,3165725,TRPHAVH128F4278E0D
loved_1,u263589,"""godspeed (sweet dreams)"" - the dixie chicks",Dixie Chicks,Godspeed (Sweet Dreams),4398268,TRRDNFS128F92FCC18
loved_2,u36,eric clapton - wonderful tonight,Eric Clapton,Wonderful Tonight,160691,TRBRZKC128E0792B6B
loved_3,u480999,Roxanne -- The Police,The Police,Roxanne,164175,TRFFMPX128F92EC20E
loved_4,u603016,"""Penny & Me"" -- Hanson",Hanson,Penny & Me,16092526,TRAQBHJ128E0794F0B
loved_5,u574297,The Rocket Summer- Cross My Heart,The Rocket Summer,Cross My Heart,8223637,TRNGIFV128F427CA2A
loved_6,u268544,Daniel Bedingfield- Of You&apos;re Not the One,Daniel Bedingfield,If You're Not The One,3181426,TRBHJXD128F14628B5
loved_7,u256060,Nothing Wrong- Jimmy Eat World,Jimmy Eat World,Nothing Wrong,15717,TRGTMSX128E0783718
loved_8,u276672,play my game - the donnas,The Donnas,Play My Game,4094122,TRQKVKY128F4296505
loved_9,u276680,Soundgarden - Black Hole Sun,Soundgarden,Black Hole Sun,1271524,TRPDJBX128F42ACF9B
loved_10,u202,howie day - collide,Howie Day,Collide,3288451,TRBGRXO128F4282115
loved_11,u535139,Green Day-Boulevard of Broken Dreams,Green Day,Boulevard Of Broken Dreams,8807889,
loved_12,u603025,Thank God I Found You - Mariah Carey,Mariah Carey,Thank God I Found You,11812789,
loved_13,u574312,paul mccartney-live and let die,Paul McCartney,Live And Let Die,11348827,
loved_14,u481026,dashboard- as lovers go,Dashboard Confessional,As Lovers Go (Remix),5572862,
loved_15,u268546,Mix Tape - Brand New,Brand New,Mix Tape,16579793,TRAHVYB128F932D5D6
loved_16,u268546,landlocked blues - bright eyes,Bright Eyes,Landlocked Blues,570602,TRJLOCD128F149798A
loved_17,u269,Green Day- Holiday,Green Day,Holiday,8807805,
loved_18,u286,yellowcard- away,Yellowcard,Way Away,285603,TRDUOIP128F147D5A7
loved_19,u574321,Such Great Heights - Postal Service,The Postal Service,Such Great Heights,1579101,TRCRCBT128F4260DD1
loved_20,u481040,nice guys finish last - green day,Green Day,Nice Guys Finish Last,2281470,
loved_21,u603037,Tears in Heaven- Eric Clapton,Eric Clapton,Tears In Heaven,1515377,TRVYICQ128F4252493
loved_22,u481050,VON BONDIES-C&apos;mon C&apos;mon,The Von Bondies,C'mon C'mon (Album Version),2269676,TRBUEZQ128F426C847
loved_23,u574324,Something Corporate- Konstantine,Something Corporate,Konstantine,244669,TRQIXPI128F1459AFE
loved_24,u535166,No Fun at All - Second Best,No Fun At All,Second Best,2285529,TRZYPMF128F428B227
loved_25,u603039,12 stones-the way i feel,12 Stones,The Way I Feel,7267817,
loved_26,u603039,Boston-more than a feeling,Boston,More Than A Feeling,3158567,TRMWYUT128F426A835
loved_27,u356,With You - Jessica Simpson,Jessica Simpson,With You,759675,TRNANAN128F428248D
loved_28,u603042,Osker-13,Osker,13,7101727,TRZFSUA128F4262479
loved_29,u402170,JoJo- baby it&apos;s you,JoJo,Baby It's You,4623,TRMMVNT128E0783FC6
loved_30,u383,Believe-Yellowcard,Yellowcard,Believe,285613,TRWVZBZ128F1462E08
loved_31,u256069,Ashlee Simpson - Unreachable,Ashlee Simpson,Unreachable,3441857,TREHRBW128F42A6D9D
loved_32,u256071,Christina Aguilera - Dirrty,Christina Aguilera,Dirrty,4807998,
loved_33,u623718,YellowCard - Ocean Avenue,Yellowcard,Ocean Avenue,285605,TRZGABY128F1462E00
loved_34,u276762,3 Doors Down - Here Without You,3 Doors Down,Here Without You,147252,TRMOYCC128C7196947
loved_35,u256072,"""Save Tonight""-Eagle Eye Cherry",Eagle-Eye Cherry,Save Tonight,165922,TRHLEVU128E0792E39
loved_36,u447,the doors-riders on the storm,The Doors,Riders On The Storm,2309587,
loved_37,u263599,Hoobastank - Disappear,Hoobastank,Disappear,497442,TRPXSPO128E0784639
loved_38,u482,phil collins - groovy kind of love,Phil Collins,A Groovy Kind Of Love,435090,
loved_39,u402208,Photek - Lost Blue Heaven,Photek,Lost Blue Heaven,321249,TRYMMUJ128F146A75E
loved_40,u263601,the clash - train in vain,The Clash,Train In Vain,3105987,TRHFSGI128F425A2CB
loved_41,u276809,The Used - All That I&apos;ve Got,The Used,All That I've Got,1433466,
loved_42,u603053,copeland - brightest,Copeland,Brightest,2927675,TRJMZAH128F427CA3B
loved_43,u507,Elton John- Your Song,Elton John,Your Song,717774,TRHIAUB128E078DA89
loved_44,u276814,Incubus- Make Yourself,Incubus,Make Yourself,3165723,TRQBHQN128F4266BD8
Loved_45,u574342,The Unicorns - Tuff Luff,The Unicorns,Tuff Luff,13287280,TRRCCHK128F4281CF9
loved_46,u638954,|*- The sound of his voice -*|,Bob Baldwin,Maurice_ The Sound Of His Voice,8037068,TRELTKS12903CD95EE
loved_47,u623724,Ryan Cabrera- 40 kinds of sadness,Ryan Cabrera,40 Kinds Of Sadness,1140568,
loved_48,u603055,beastie boys- intergalactic,Beastie Boys,Intergalactic,212159,TRNRNWF128F14530C0
loved_49,u402231,"Kylie Minogue-""Chocolate""",Kylie Minogue,Chocolate,3111188,
loved_50,u535206,Lloyd Banks - On Fire,Lloyd Banks,On Fire,21779594,TRWNUGN12903D08177
loved_51,u638955,yellowcard-believe,Yellowcard,Believe,285613,TRWVZBZ128F1462E08
loved_52,u574348,breakaway-kelly clarkson,Kelly Clarkson,Breakaway,3428701,TRBFAES12903CE2660
loved_53,u609,Counting Crows-Holiday in Spain,Counting Crows,Holiday In Spain,162718,TRZTQGZ128F1476913
loved_54,u481097,david guetta-stay,David Guetta,Stay,10694036,
loved_55,u276883,Howie Day- Collide,Howie Day,Collide,3288451,TRBGRXO128F4282115
loved_56,u535217,40 Kinds Of Sadness- Ryan Cabrera,Ryan Cabrera,40 Kinds Of Sadness,1140568,
loved_57,u638959,Green Day- Minority,Green Day,Minority,2281624,
loved_58,u574357,ozma- wake up,Ozma,Wake Up,8282220,TRVTZVN128F428ED40
loved_59,u535219,Outkast-Hey Ya,OutKast,Hey Ya!,17671526,TRCJUCQ12903CEB017
loved_60,u535224,Santana-Why Don&apos;t You And I,Santana,Why Don't You & I,3108444,
loved_61,u263606,let me out -future leaders of the world,Future Leaders of the World,Let Me Out (Acoustic),3281707,
loved_62,u402289,unwritten law - save me,Unwritten Law,Save Me,1376634,
loved_63,u574372,Kanye West-All falls down,Kanye West,All Falls Down,23427,
loved_64,u603071,The ghost of you -my chemical romance,My Chemical Romance,The Ghost Of You,1420739,
loved_65,u481131,Bon Jovi- I&apos;ll Be There For You,Bon Jovi,I'll Be There For You,11173668,TRBQZKE128F930D557
loved_66,u276968,Dashboard Confessional - Bend and Not Break,Dashboard Confessional,Bend And Not Break,386199,TRQHTII128F1477145
loved_67,u402313,My Happy Ending- Avril Lavigne,Avril Lavigne,My Happy Ending,3363655,TRTXJBO128F4294115
loved_68,u638971,No Doubt - Underneath it All,No Doubt,Underneath It All,3259963,TRVVCKP128E078EB5F
loved_69,u535254,"""California"" - Phantom Planet",Phantom Planet,California (Live),3166258,
loved_70,u256083,Dierks Bentley - What was I thinkin,Dierks Bentley,What Was I Thinkin',2488809,TRUCZTB128F4218750
loved_71,u481162,jinx removing - jawbreaker,Jawbreaker,Jinx Removing,2812900,TRSUQSV128F4262701
loved_72,u574385,Nobody -Keith Sweat,Keith Sweat,Nobody,15090591,
loved_73,u574385,My BoO -Usher,Usher,My Boo,3108491,
loved_74,u574385,My BoO -Usher,Usher,My Boo,3108491,
loved_75,u603083,"Incubus- ""Have You Ever""",Incubus,Have You Ever,3250757,TRCOTXQ128F4278EFC
loved_76,u402346,bright eyes-method acting,Bright Eyes,Method Acting,570603,TRDJKGH128F149798B
loved_77,u993,Pieces of Me- Ashlee Simpson,Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
loved_78,u277053,"Jessica Simpson --""With You""",Jessica Simpson,With You,759675,TRNANAN128F428248D
loved_79,u1005,prodigy- smack my bitch up,The Prodigy,Smack My Bitch Up,401241,
loved_80,u638974,The Darkness- Growing on ME,The Darkness,Growing On Me,1155632,TRPTDFG128F4244288
loved_81,u1007,Paul McCartney--Blackbird,Paul McCartney,Blackbird (Live 2002),9590892,
loved_82,u268552,Everybody&apos;s Fool - Evanescence,Evanescence,Everybody's Fool,6521477,TRUFYEG12903CCC653
loved_83,u268552,Wouldn&apos;t It Be Nice - Beach Boys,The Beach Boys,Wouldn't It Be Nice,17907639,TRUXCMZ128F14850B2
loved_84,u638976,Finch - untitled.,Finch,Untitled,266235,TRIJYEN128C7196378
loved_85,u535271,Trance---Juliana Theory,The Juliana Theory,Trance,16866995,TRXFCYL128F4265445
loved_86,u481178,My Chemical Romance- I&apos;m Not Okay,My Chemical Romance,I'm Not Okay,2284784,
loved_87,u574405,The Reason - Hoobastank,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
loved_88,u402375,Maroon 5 - She Will Be Loved,Maroon 5,She Will Be Loved,864405,TRBAMHJ128F9302A08
loved_89,u277095,Smashing Pumpkins - Stand Inside Your Love,The Smashing Pumpkins,Stand Inside Your Love,104233,TRPWMWZ128E0788AB7
loved_90,u277097,Pearl Jam - Dissident,Pearl Jam,Dissident,13167241,TRPHMYQ128F42677FD
loved_91,u271879,daft punk - something about us,Daft Punk,Something About Us,485124,TRMVRJV128F1488FBC
loved_92,u574410,You Are- Jimmy Wayne,Jimmy Wayne,You Are,18586478,TRYPOOS128F149F191
loved_93,u574410,You Are- Jimmy Wayne,Jimmy Wayne,You Are,18586478,TRYPOOS128F149F191
loved_94,u574410,Jimmy Wayne- You Are,Jimmy Wayne,You Are,18586478,TRYPOOS128F149F191
loved_95,u574410,You Are-Jimmy Wayne,Jimmy Wayne,You Are,18586478,TRYPOOS128F149F191
loved_96,u574410,You Are- Jimmy Wayne,Jimmy Wayne,You Are,18586478,TRYPOOS128F149F191
loved_97,u402381,Creep - Radiohead,Radiohead,Creep,4501072,
loved_98,u574413,Pink Floyd - Comfortably Numb,Pink Floyd,Comfortably Numb,15487570,TRQSIQV128F93085B3
loved_99,u535284,Who&apos;s To Say- Vanessa Carlton,Vanessa Carlton,Who's To Say,18011,TRDEPOC128E0783E34
loved_100,u1112,Barenaked Ladies - One Week,Barenaked Ladies,One Week,15457436,
loved_101,u623757,Incubus-11 am,Incubus,11 am,3250738,TRQSCYU128F4278EE9
loved_102,u603094,Night Drive - Jimmy Eat World,Jimmy Eat World,Night Drive,15718,TRNWNUY128E0783719
loved_103,u402406,Weezer-El Scorcho,Weezer,El Scorcho,170653,TRKZRUA128E0793EB0
loved_104,u1162,"Injected- I, IV, V",Injected,I- IV- V,17892429,TRWYRZL128F4265BFD
loved_105,u481218,No Doubt - Ex-Girlfriend,No Doubt,Ex-Girlfriend,147737,TRAPFBE128F92F491D
loved_106,u1185,matchbook romance- promise,Matchbook Romance,Promise (Album Version),2272597,TRWLKYS128F426D3AE
loved_107,u1186,roses - outkast,OutKast,Roses,19726784,TRZTJRK128F428D2BC
loved_108,u1191,dido- thank you,Dido,Thank You,3849136,TRFPLHY128F9302C67
loved_109,u603102,hoobastank - to be with you,Hoobastank,To Be With You,291257,TRKGMOY128F1463CD5
loved_110,u603103,alicia keys-goodbye,Alicia Keys,Goodbye,3300556,TRDTVQK128F4284EEC
loved_111,u277166,As I Lay Dying - A Long March,As I Lay Dying,A Long March,6200104,TROBHNG128F934B68A
loved_112,u277166,36 Crazyfists - Destroy The Map,36 Crazyfists,Destroy The Map,4044461,
loved_113,u603108,Hot Water Music - Remedy,Hot Water Music,Remedy,2226351,TRXGVXS128F428AA5C
loved_114,u402426,black eyed peas - shut up,The Black Eyed Peas,Shut Up,157950,
loved_115,u277171,kill your television-Ned&apos;s Atomic Dustbin,Ned's Atomic Dustbin,Kill Your Television,347740,TRBINTA128F92CF29C
loved_116,u1242,tech n9ne-einstein,Tech N9ne,Einstein Tech N9ne,7266151,TRBXRFK12903CDCCBA
loved_117,u623766,Incubus - The Warmth,Incubus,The Warmth,19759726,TRMDTAW128F9306C49
