melancholy_0,u603013,The Get Up kids - Red Letter Day,The Get Up Kids,Red Letter Day,6109714,TRUNXUT128F933562A
melancholy_1,u186,"The Vandals-""Idea For A Movie""",The Vandals,An Idea For A Movie,1771189,TRXAXWT128F428ED7B
melancholy_2,u256062,radiohead- street spirit,Radiohead,Street Spirit (Fade Out),9189532,TRHIEFM128F4252DA1
melancholy_3,u256062,perfect circle- 3 libras,A Perfect Circle,3 Libras,320820,
melancholy_4,u623705,Jimmy Eat World - Pain,Jimmy Eat World,Pain,3922427,TRUTNNQ128E0783715
melancholy_5,u481023,Love Song - 311,311,Love Song,5828367,
melancholy_6,u256063,yeah yeah yeahs - maps,Yeah Yeah Yeahs,Maps,289121,TRMSOEB128F147517B
melancholy_7,u253,Army&apos;s On Ecstasy-Oysterhead,Oysterhead,Army's On Ecstasy (LP Version),94157,TRYIKGN128E078787C
melancholy_8,u535166,weezer- the good life,Weezer,The Good Life,170652,TRXGUFF128E0793EAF
melancholy_9,u574325,Innocent- Our Lady Peace,Our Lady Peace,Innocent,4877854,TRPGTUU128F42727F4
melancholy_10,u402162,Ryan Adams - Wonderwall,Ryan Adams,Wonderwall,3921,TRMHVGV12903CC68D2
melancholy_11,u276758,Incubus- Stellar,Incubus,Stellar,3165725,TRPHAVH128F4278E0D
melancholy_12,u481065,pixies - where is my mind,Pixies,Where Is My Mind?,2073191,TRNNGMK128F423F034
melancholy_13,u466,an honest mistake - the bravery,The Bravery,An Honest Mistake,3511218,TRRNNKX12903CE6BE9
melancholy_14,u623722,Staind - It&apos;s Been Awhile,Staind,It's Been Awhile,1321612,
melancholy_15,u402222,paranoid android - radiohead,Radiohead,Paranoid Android,4501631,TRGLRIX128E0782188
melancholy_16,u276825,Less Than Jake - I Think I Love You,Less Than Jake,I Think I Love You,16091068,TRSTJFQ128F428DA21
melancholy_17,u268548,Frou Frou - The Dumbing Down Of Love,Frou Frou,The Dumbing Down Of Love,3515392,TRENMPQ128F42B8BFB
melancholy_18,u402252,The Prodigy - Girls,The Prodigy,Girls,8602278,
melancholy_19,u481100,A Perfect Circle- The Noose,A Perfect Circle,The Noose,1689100,TRMOPJZ128F427B6EE
melancholy_20,u256077,the spill canvas- the tide,The Spill Canvas,The TIde (LP Version),1242869,TRJJETI128F42A6A5E
melancholy_21,u623729,Staind - It&apos;s Been Awhile,Staind,It's Been Awhile,1321612,
melancholy_22,u273934,C&apos;mon C&apos;mon - The Von Bondies,The Von Bondies,C'mon C'mon (Album Version),2269676,TRBUEZQ128F426C847
melancholy_23,u273934,Life Less Frightening - Rise Against,Rise Against,Life Less Frightening,3497239,TRGNMTD128E078884F
melancholy_24,u263604,straylight run- mistakes we knew we were making,Straylight Run,Mistakes We Knew We Were Making,15747042,
melancholy_25,u535224,switchfoot-twenty four,Switchfoot,Twenty-four,7333378,TRYFQAI128F4283C6B
melancholy_26,u402277,welcome back - mase,Mase,Welcome Back,159566,
melancholy_27,u728,Coldplay - Don&apos;t Panic,Coldplay,Don't Panic,425041,TRANBUW128F933C645
melancholy_28,u638962,the cardigans - iron man,The Cardigans,Iron Man,148882,TRADRJK128E078F041
melancholy_29,u402280,Radiohead - Creep,Radiohead,Creep,4501072,
melancholy_30,u276934,PJ Harvey - Rid Of Me,PJ Harvey,Rid Of Me,4229,TRWDWWB128E078110F
melancholy_31,u535240,caring is creepy-the shins,The Shins,Caring Is Creepy,11270427,TRYSPOW128F4280A46
melancholy_32,u574375,welcome to my life- simple plan,Simple Plan,Welcome To My Life,92050,
melancholy_33,u481136,The River - Bruce Springsteen,Bruce Springsteen,The River,15726077,TRJSOQD128F92D3072
melancholy_34,u623739,Journey- faithfully,Journey,Faithfully,6657653,TRFGVEO128F42636DF
melancholy_35,u574379,Hallucinogen - Demention,Hallucinogen,Demention,6553537,TRSXZFW12903CD42EF
melancholy_36,u574388,Cecilia-The Blood Brothers,Blood Brothers,Cecilia and the Silhouette Saloon,7295102,
melancholy_37,u535264,flaming lips- in the morning of the magicians,The Flaming Lips,In The Morning Of The Magicians,410457,
melancholy_38,u271877,jimmy eat world-futures,Jimmy Eat World,Futures,15709,TRAPCFZ128E0783710
melancholy_39,u277071,coldplay--clocks,Coldplay,Clocks,2971,TRENTGL128E0780C8E
melancholy_40,u402367,black rebel motorcycle club - white palms,Black Rebel Motorcycle Club,White Palms,4380168,TRRBNKK128F92F99F0
melancholy_41,u574404,alkaline trio-radio,Alkaline Trio,Radio,19687011,TRGLJLL128F4259C2A
melancholy_42,u481187,SugarCult- Stuck In America,Sugarcult,Stuck In America,1083389,TRCJPHJ128F428AAEA
melancholy_43,u271879,The Killers - Jenny was a friend,The Killers,Jenny Was A Friend Of Mine,4465242,TRZEUSK128F9309A53
melancholy_44,u623752,"The Get Up Kids-""I&apos;ll Catch You""",The Get Up Kids,I'll Catch You ((Live)),9612070,
melancholy_45,u276455,Mad Caddies - Road Rash,Mad Caddies,Road Rash,2495445,
melancholy_46,u276455,H2O - Fading,H2O,Fading,2485948,TROVKZW128F42624B5
melancholy_47,u276455,Bad Religion - Better Off Dead,Bad Religion,Better Off Dead,3497046,TRMISJU128F42B44D1
melancholy_48,u535285,Beastie Boys - Sabotage,Beastie Boys,Sabotage,212163,TRMJQQW128E0781A8E
melancholy_49,u402400,"""Perfect"" -Simple Plan",Simple Plan,Perfect (Album Version),63617,TRTTCQJ128E078508A
melancholy_50,u1183,Cap&apos;n Jazz- Winter Wonderland,Cap'n Jazz,Winter Wonderland,7571248,TRIRFXU12903CDEC48
melancholy_51,u603108,the mars volta - televators,The Mars Volta,Televators,3776649,TRSAVRV128E0784602
melancholy_52,u273935,tonic - if you could only see [acoustic],Tonic,If You Could Only See (Acoustic),538586,
melancholy_53,u535313,Joy Division - Love Will Tear Us Apart,Joy Division,Love Will Tear Us Apart,2350093,TRWTQMA128F423C591
melancholy_54,u623773,Could it be any harder-The Calling,The Calling,Could It Be Any Harder,3389905,TRAYEDG128F429A6D0
melancholy_55,u268559,Weigh on My Mind - The Transplants,Transplants,Weigh On My Mind,3973828,
melancholy_56,u574449,taking back sunday - you know how I do,Taking Back Sunday,You Know How I Do,15671894,
melancholy_57,u535338,The Cure - Pictures of You,The Cure,Pictures Of You,10607287,TRMTAJA12903CEE424
melancholy_58,u535340,Tori- Little Earthquakes,Tori Amos,Little Earthquakes,1174534,
Melancholy_59,u535341,This Side of Brightness - Thursday,Thursday,This Side Of Brightness,560023,TRZYUNQ128F14862A2
melancholy_60,u1606,Provider- NERD,N.E.R.D.,Provider,11793054,TRHRJDO128F14A20F7
melancholy_61,u277342,sevendust- skeleton song,Sevendust,Skeleton Song,3925810,TRMIVAI128F9311EC1
