mellow_0,u623697,Coldplay - Clocks,Coldplay,Clocks,2971,TRENTGL128E0780C8E
mellow_1,u623697,Hoobastank - The Reason,Hoobastank,The Reason,497438,TRXJDMQ128E0784677
mellow_2,u638939,The Good Life - Weezer,Weezer,The Good Life,170652,TRXGUFF128E0793EAF
mellow_3,u70,hawkwind - orgone accumulator,Hawkwind,Orgone Accumulator,17867135,
mellow_4,u535120,Guster- Amsterdam,Guster,Amsterdam,80643,
mellow_5,u535124,echo - trapt,Trapt,Echo,17425354,
mellow_6,u402097,Oasis-Wonderwall,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
mellow_7,u256060,Beating Heart Baby- Head Automatica,Head Automatica,Beating Heart Baby,1408105,
mellow_8,u149,"""Hey Mama""-Black Eyed Peas",The Black Eyed Peas,Hey Mama,23483,
mellow_9,u263594,The Killers - Somebody Told Me,The Killers,Somebody Told Me,4465246,TRGPTNS128F92C4FDB
mellow_10,u603021,Radiohead - Everything In Its Right Place,Radiohead,Everything In Its Right Place,2748789,TRBHKXX128F4252D02
mellow_11,u402123,Velvet Revolver- Slither,Velvet Revolver,Slither,5827442,TRYTKLB128F92F11FE
mellow_12,u256066,Bouncing Souls - Kids and Heroes,The Bouncing Souls,Kids and Heroes,1083373,
mellow_13,u273933,The Postal Service - Sleeping In,The Postal Service,Sleeping In,15773698,
mellow_14,u574327,after hours - phantom planet,Phantom Planet,After Hours,14361104,TRAZQET128F42A0449
mellow_15,u388,keith sweat - nobody.,Keith Sweat,Nobody,15090591,
mellow_16,u481060,I stand alone- godsmack,Godsmack,I Stand Alone,1940926,TRYUJBG128F422B9C8
mellow_17,u623715,transatlanticism - death cab,Death Cab for Cutie,Transatlanticism,14139748,TRPDIJL128F145C25D
mellow_18,u623717,Pay the Man- The Offspring,The Offspring,Pay The Man,10344660,TRBOHDK128F92E19EB
mellow_19,u276764,The Darkness - Black Shuck,The Darkness,Black Shuck,1155630,TRTHDAT128F4244285
mellow_20,u638952,Scientist- Coldplay,Coldplay,The Scientist,2970,TRMZXEW128F9341FD5
mellow_21,u276780,you&apos;re so last summer-taking back sunday,Taking Back Sunday,You're So Last Summer,15671898,
mellow_22,u603050,50 Cent - If I Can&apos;t,50 Cent,If I Can't,4762696,TRAVVLI128F92F7053
mellow_23,u276794,Scarlet - Something to Lust About,Scarlet,Something to Lust About,3022681,TRDKLVE128F4248426
mellow_24,u487,The Cars - Tonight She Comes,The Cars,Tonight She Comes,553403,
mellow_25,u574340,talib kweli-love language,Talib Kweli,Love Language,17586552,
mellow_26,u535193,Neutral Milk Hotel - Where You&apos;ll Find Me Now,Neutral Milk Hotel,Where You'll Find Me Now,10705136,TRJPZJR128F92E16B7
mellow_27,u271872,Eye of The Tiger - Survivor,Survivor,Eye Of The Tiger,17671537,TRHDJDB128F930527A
mellow_28,u603056,Hey Ya!-Outkast,OutKast,Hey Ya!,17671526,TRCJUCQ12903CEB017
mellow_29,u481089,Shaggy - Angel,Shaggy,Angel,3386073,
mellow_30,u402242,ryan adams - english girls approximately,Ryan Adams,English Girls Approximately,511445,TRVPRMC128F42AE854
mellow_31,u577,radiohead- karma police,Radiohead,Karma Police,4501647,TRHYPVF12903CB2D20
mellow_32,u276854,Flogging Molly -Salty Dog,Flogging Molly,Salty Dog,8587216,TRBCMSH12903D03298
mellow_33,u276854,Flogging Molly -Salty Dog,Flogging Molly,Salty Dog,8587216,TRBCMSH12903D03298
mellow_34,u574349,blackstreet- DEEP,Blackstreet,Deep,20706317,TRRHZBH128F42144BB
mellow_35,u574350,Cutty Ranks - half idiot,Cutty Ranks,Half Idiot Feat. Cutty Ranks,23063972,
mellow_36,u638957,say anything-alive with the glory of love,Say Anything,Alive With The Glory Of Love,3472150,TROLJHQ128F42AE3A9
mellow_37,u481100,nirvana - about a girl,Nirvana,About A Girl,148335,TRTPEAH128F931E048
mellow_38,u669,breakaway--kelly clarkson,Kelly Clarkson,Breakaway,3428701,TRBFAES12903CE2660
mellow_39,u679,Ray of Light - Madonna,Madonna,Ray Of Light,89511,
mellow_40,u481107,A Life Once Lost - Cavil,A Life Once Lost,Cavil,602692,TRGTLWG128F149F127
mellow_41,u574366,"""My Immortal"" -Evanescence",Evanescence,My Immortal,6521478,TRWXHVD128F42BAC6B
mellow_42,u256079,The Clash - I Fought the Law,The Clash,I Fought The Law,3105972,TRMPPYO128F92F42BA
mellow_43,u698,Stay tonight- Matchbook romance,Matchbook Romance,Stay Tonight (Album Version),2272618,TRQVVPG128F426D3C3
mellow_44,u535232,Dixie Chicks - Godspeed,Dixie Chicks,Godspeed (Sweet Dreams),4398268,TRRDNFS128F92FCC18
mellow_45,u276920,Bend not break-Dashboard Confessional!,Dashboard Confessional,Bend And Not Break,386199,TRQHTII128F1477145
mellow_46,u535234,switchfoot - only hope,Switchfoot,Only Hope,669582,TRBJSOW128F9305228
mellow_47,u276923,glassjaw- Ape dos mil,Glassjaw,Ape Dos Mil,6004595,
mellow_48,u638965,the used - let it bleed,The Used,Let It Bleed,1434182,
mellow_49,u402288,peter gabriel - solsbury hill,Peter Gabriel,Solsbury Hill,3058260,
mellow_50,u263608,Terror Squad-take me home,Terror Squad,Take Me Home,8729122,
mellow_51,u276927,Undone - Weezer,Weezer,Undone -- The Sweater Song,3814173,TRSMLEM128F9339EA8
mellow_52,u535237,Five for Fighting - 100 Years,Five for Fighting,100 Years,3287730,TRVYCGD12903CBBB2C
