moody_0,u268545,Silver and Cold - AFI,AFI,Silver And Cold,3857046,TRZCCSU128F1474B88
moody_1,u535134,Oops I did it again- Britney Spears,Britney Spears,Oops!...I Did It Again,19174290,TRBAUVN128F932FEF8
moody_2,u402113,Haddaway - What Is Love,Haddaway,What Is Love,3418563,TRPVHPU128E0793807
moody_3,u276709,green day- boulevard of broken dreams,Green Day,Boulevard Of Broken Dreams,8807889,
moody_4,u535166,kittie - what i always wanted,Kittie,What I Always Wanted,13012147,
moody_5,u535190,yoo hoo - imperial teen,Imperial Teen,Yoo - Hoo,2679419,TRXVZDN128F4243B37
moody_6,u623728,"""Going under""- Evanescence",Evanescence,Going Under,6521474,TRBSCHB12903CDCF13
moody_7,u276885,i found a reason- cat power,Cat Power,I Found A Reason,1193158,TRLBUYT128F429E9F3
moody_8,u402292,one song glory- rent,"Original Broadway Cast ""Rent""",One Song Glory,168821,
moody_9,u402352,finch--what it is to burn,Finch,What It Is To Burn,2467062,TRWGYVA12903CACB2A
moody_10,u481173,keep on loving you-REO Speedwagon,REO Speedwagon,Keep On Loving You,13641254,TRZAJZO128F9313EB7
moody_11,u638978,Time is Running Out - Muse,Muse,Time Is Running Out,5134201,TRSEKGD128F42B654D
moody_12,u268553,The Mars Volta-Drunkship of Lanterns,The Mars Volta,Drunkship Of Lanterns,3776645,TROGVLQ128E0792107
moody_13,u638983,queen - i want to break free,Queen,I Want To Break Free,11618633,
moody_14,u481254,AFI - Silver and Cold,AFI,Silver And Cold,3857046,TRZCCSU128F1474B88
moody_15,u273937,Petey Pablo - Freek A Leek,Petey Pablo,Freek-A-Leek,14255212,
moody_16,u481311,Numb-Linkin Park,Linkin Park,Numb (Live In Texas),440026,TRHKEAQ128F1480E8E
moody_17,u603149,The Monkees-If I ever get to Saginaw again,The Monkees,If I Ever Get To Saginaw Again,1141909,
moody_18,u263630,That&apos;s Entertainment -- Busted,Busted,That's Entertainment,8877347,TRSHRZR128E0780EFA
moody_19,u402636,"Super Furry Animals - ""Hello, Sunshine""",Super Furry Animals,Hello Sunshine,3105204,TRHCIUU12903CB10D2
moody_20,u603166,sugarcult -memory-,Sugarcult,Memory,10482238,
moody_21,u263635,Sondre Lerche - Days That Are Over,Sondre Lerche,Days That Are Over,17450,TRKKITN128E0781845
moody_22,u277594,Three Days Grace - Just Like You,Three Days Grace,Just Like You,3112254,TRSVURQ128F425B9AB
moody_23,u481427,Westlife - My Love,Westlife,My Love,9173610,TRPBFZT128F42AC968
moody_24,u2203,Buddy Holly - It Doesn&apos;t Matter Anymore,Buddy Holly,It Doesn't Matter Anymore,13942827,TRVKKUS12903D071D8
moody_25,u535460,hey jude-paul mccartney,Paul McCartney,Hey Jude,7001676,TRDLSFN128F9326196
moody_26,u402759,Smile Empty Soul - silhouettes,Smile Empty Soul,Silhouettes (Edited Album Version),63807,TRYXGRG128E07850E8
moody_27,u481538,Devin Townsend - Christeen,Devin Townsend,Christeen,5449406,TRYCJTW128F930B04F
moody_28,u275220,Sic Transit Gloria...Glory fades - Brand New,Brand New,Sic Transit Gloria ... Glory Fades,7056177,TRGKWHO128F933361A
moody_29,u273941,Roadhouse Blues - The Doors,The Doors,Roadhouse Blues,2309603,
moody_30,u574611,Brand New - The Quiet Things That No One Ever Knows,Brand New,The Quiet Things That No One Ever Knows,7056183,TRSPEFX128F9333620
moody_31,u603241,the mars volta - the widow,The Mars Volta,The Widow,86052,TRUZQFC128E0785D6F
moody_32,u603263,[the black keys] - do the rump,The Black Keys,Do The Rump,5639079,TRIHYRC128F9338FF7
moody_33,u535604,let go-12 stones,12 Stones,Let Go,3792764,TRPQVZM128F92F6EAA
moody_34,u603268,Alkaline Trio-  Radio,Alkaline Trio,Radio,19687011,TRGLJLL128F4259C2A
moody_35,u403038,Right here in my arms- HIM,HIM,Right Here In My Arms,3340763,TRCZGLI128F42BB3F9
moody_36,u623909,"""Float On"" - Modest Mouse",Modest Mouse,Float On,3275055,TRPFYYL128F92F7144
moody_37,u481722,Hole - Miss World,Hole,Miss World,164694,TRJFTGR128E07929A8
moody_38,u403089,Toxic- Britney Spears,Britney Spears,Toxic,7042069,TRMEBYQ128F932FEFF
moody_39,u3496,Stabbing Westward - Violent Mood Swings,Stabbing Westward,Violent Mood Swings,3141270,TRRBZRO128F426299A
moody_40,u623919,Lenny Kravitz- Fly Away,Lenny Kravitz,Fly Away,1550812,TREEZOR128F146A21E
moody_41,u263656,Macy Gray - She don&apos;t write songs about you,Macy Gray,She Don't Write Songs About You,3165651,TRRUNCL128F427BDA4
moody_42,u403139,Hoobastank - Running Away,Hoobastank,Running Away,3511514,TRAWFUR128F1463CCD
moody_43,u574708,Radiohead - Karma Police,Radiohead,Karma Police,4501647,TRHYPVF12903CB2D20
moody_44,u574713,Wonderwall - Oasis,Oasis,Wonderwall,167751,TRUJWKU128E07934B6
moody_45,u535680,Breaking Benjamin - Blow me away,Breaking Benjamin,Blow Me Away,3586938,TRTDKMT128F92CDD87
moody_46,u278370,Epiphany - Staind,Staind,Epiphany,1321615,
moody_47,u256148,"""Bad Day"" -Fuel",Fuel,Bad Day,10562999,TRNVJKT128F92EF155
moody_48,u639091,Blinded (When I See You)-Third Eye Blind,Third Eye Blind,Blinded [When I See You],6766773,TRGSMXU12903D081E7
moody_49,u639092,"Franz Ferdinand - ""Take Me Out""",Franz Ferdinand,Take Me Out,5498916,TRWXKDD128F9311508
moody_50,u603329,The Velvet Underground - Pale Blue Eyes,The Velvet Underground,Pale Blue Eyes,272316,TRCPDTT128F42B5741
moody_51,u574758,saosin- seven years,Saosin,Seven Years (Live),911459,TRLWRTJ128F4261057
moody_52,u639106,Paper Airplanes (Makeshift Wings) - AFI,AFI,Paper Airplanes (makeshift wings),3857060,TRZNUZO128F930416B
moody_53,u535724,hard to explain - the strokes,The Strokes,Hard To Explain,2948865,TRGPSXC128F93104A4
moody_54,u4048,The Smiths - Asleep,The Smiths,Asleep,3724632,TRPWXGN12903CA7222
moody_55,u278555,going under - evanescence,Evanescence,Going Under,6521474,TRBSCHB12903CDCF13
moody_56,u4153,&apos;So Fly&apos; --NB Ridaz,NB Ridaz,So Fly,2776625,TROMIGQ128F425994E
moody_57,u278648,Coldplay - Trouble,Coldplay,Trouble,425046,TRGSPUQ128E0780DA5
moody_58,u574804,Blank Earth-Chevelle,Chevelle,Blank Earth (LP Version),70480,TRBHYZM128E07853F6
moody_59,u278669,"Nirvana - ""Smells Like Teen Spirit""",Nirvana,Smells Like Teen Spirit,148254,TRTQHCR128F42640F5
moody_60,u403378,The Cat Empire - The Chariot,The Cat Empire,The Chariot,18648677,TRHCYDZ128F429810B
moody_61,u481917,"Zeromancer - ""Fractured""",Zeromancer,Fractured,187105,TRDLTYM128E0796954
moody_62,u268609,Taking Back Sunday  - Your own disaster,Taking Back Sunday,Your Own Disaster '04,15671927,
moody_63,u535788,Simple Plan - Worst Day Ever,Simple Plan,The Worst Day Ever,2373414,
moody_64,u535809,Trapt-Stories,Trapt,Stories (Album Version),6004734,TRHWYUU128F931C046
moody_65,u603414,The Beatles - Let It Be,The Beatles,Let It Be,21979062,
moody_66,u481994,Me and Bobby McGee--Janis Joplin,Janis Joplin,Me And Bobby McGee,18160361,TRWAZUK128F4277368
moody_67,u4991,Survivor - Eye of the Tiger,Survivor,Eye Of The Tiger,17671537,TRHDJDB128F930527A
moody_68,u256191,Free--Broad Daylight,Free,Broad Daylight,291126,TRMNBYU128F145E32A
moody_69,u603442,"Coldplay- ""The Scientist""",Coldplay,The Scientist,2970,TRMZXEW128F9341FD5
moody_70,u482101,foo fighters--everlong (acoustic),Foo Fighters,Everlong (Acoustic Version),6788041,
moody_71,u279265,the postal service - clark gable,The Postal Service,Clark Gable,11270591,
moody_72,u482143,Kittie - What I Always Wanted,Kittie,What I Always Wanted,13012147,
moody_73,u403796,6th avenue heartache-- wallflowers,The Wallflowers,6th Avenue Heartache,157977,TRJPKRI128E0791288
moody_74,u603488,Movin&apos; On - Good Charlotte,Good Charlotte,Movin' On,4989334,TRPCRCO128F930B14E
moody_75,u482177,Hilary Duff--Come Clean,Hilary Duff,Come Clean,2032701,
moody_76,u624045,Switchfoot - Learning to Breathe,Switchfoot,Learning To Breathe,2562110,TRVACUL128F9305224
moody_77,u5896,Nine Inch Nails - Reptile,Nine Inch Nails,Reptile,158080,TRVWDDA128E07912FD
moody_78,u482208,deftones - elite,Deftones,Elite,685398,
moody_79,u256207,The Beatles- Revolution,The Beatles,Revolution,394613,
moody_80,u536018,Thrice- Trust,Thrice,Trust,17261390,TRNNQHC128F931F600
moody_81,u536027,Brazilian Girls-Homme,Brazilian Girls,Homme,2480454,TRESKNU128E078A187
moody_82,u403956,Kylie Minogue-Can&apos;t Get You Out of My Head,Kylie Minogue,Can't Get You Out Of My Head,18714974,
moody_83,u624069,Usher - YEAH,Usher,Yeah! - Instrumental,16143555,
moody_84,u273965,Fall to Pieces - Avril Lavigne,Avril Lavigne,Fall To Pieces,3363661,TRQFHAC128F429411B
moody_85,u6234,Justin Timberlake  - Never Again,Justin Timberlake,Never Again,4455036,TRKBGOI128F4298F05
moody_86,u624072,All Falls Down - Kanye West,Kanye West,All Falls Down,23427,
moody_87,u268636,forget december - something corporate,Something Corporate,Forget December,244668,TRECEJJ12903CB7042
moody_88,u256218,ashlee simpson--better off,Ashlee Simpson,Better Off,2473026,TRJQAMT128F4214A82
moody_89,u256218,ashlee simpson--better off,Ashlee Simpson,Better Off,2473026,TRJQAMT128F4214A82
moody_90,u279759,jason mraz- sleep all day,Jason Mraz,Sleep All Day,1139534,
moody_91,u6542,Michelle Branch- Here with me,Michelle Branch,Here With Me,6607805,
moody_92,u603556,Ice Cube-It was a good day,Ice Cube,It Was A Good Day (Edited),1207760,TRLRNSM128F42A2055
moody_93,u575039,Golden Touch - Razorlight,Razorlight,Golden Touch (Live Lounge),3259471,
moody_94,u279874,Everclear-New Blue Champion,Everclear,New Blue Champion,2969244,TRFQJDI128F4285754
moody_95,u575054,No Doubt - Staring Problem,No Doubt,Staring Problem,147996,TREOBCG128E078EC82
moody_96,u6806,i bruise easily - natasha bedingfield,Natasha Bedingfield,I Bruise Easily,13260235,TRVOWGV128F425A823
moody_97,u624113,Something Vague-Bright Eyes,Bright Eyes,Something Vague,573346,
moody_98,u256241,Coheed and Cambria - In Keeping Secrets of Silent Earth 3,Coheed and Cambria,In Keeping Secrets Of Silent Earth: 3,5773633,TREMITQ128F428254C
moody_99,u603592,Ben Folds Five - Brick,Ben Folds Five,Brick,3166552,TRSGKSO128F4266F15
moody_100,u482482,Usher - Caught up,Usher,Caught Up,3108485,TRSWWOH128F429CC85
moody_101,u603621,Blind - Korn,Korn,Blind,10343832,TRFCHAR128F92C9806
moody_102,u404310,Wallflowers - One Headlight,The Wallflowers,One Headlight,157976,TRBXGHM128E0791287
moody_103,u404333,Scarlet - Suicide King,Scarlet,Suicide King,3022682,TRBGWXE128F4248427
moody_104,u624144,smile empty soul - i want my life,Smile Empty Soul,I Want My Life (Edited Album Version),3166677,TRVDJJD12903CC48F5
moody_105,u536239,welcome back-mase,Mase,Welcome Back,159566,
moody_106,u536269,everclear-santa monica,Everclear,Santa Monica,17226183,TRHTWRH128E0781B72
moody_107,u624150,Straylight Run - Existentialism On Prom Night,Straylight Run,Existentialism On Prom Night,15747040,
moody_108,u624150,Joseph Arthur - Honey and The Moon,Joseph Arthur,Honey And The Moon,686387,
moody_109,u482569,aerosmith - cryin&apos;,Aerosmith,Cryin',148089,TRMMFIS128E078EDEA
moody_110,u536275,Something Corporate- Down,Something Corporate,Down,21497510,TRBWTKL12903CB7034
moody_111,u624163,Don&apos;t -Jewel,Jewel,Don't,11811826,
moody_112,u280336,Kellie Coffey-When You Lie Next To Me*,Kellie Coffey,When You Lie Next To Me,3435223,TRTGSAR128F42A53DA
