nervous_0,u24,The French Kicks - Close to Modern,French Kicks,Close To Modern,10691871,TRVQTLK128F4288098
nervous_1,u480985,Libertines--Tomblands,The Libertines,Tomblands,2948781,TRCXYFH128F4281C45
nervous_2,u276596,HIM-Wicked Game,HIM,Wicked Game,4419085,TRQPJGU128F428E7C8
nervous_3,u276602,hey jude-the beatles,The Beatles,Hey Jude,12769833,
nervous_4,u574295,The Clash - I Fought the Law,The Clash,I Fought The Law,3105972,TRMPPYO128F92F42BA
nervous_5,u402092,Wolfsheim - Once in a lifetime,Wolfsheim,Once In A Lifetime,223521,TRMAACY128F92D8195
nervous_6,u402105,Ivy Queen- Yo Quiero Bailar,Ivy Queen,Yo Quiero Bailar,9039245,TRCVXEN12903CC41B9
nervous_7,u402120,chris thile-big sam thompson,Chris Thile,Big Sam Thompson,4390862,TRHKPHP128F92FAF65
nervous_8,u535140,white houses -vanessa carlton,Vanessa Carlton,White Houses,18010,TRVOWOG128E0783E33
nervous_9,u535161,baby boy-big brovaz,Big Brovaz,Baby Boy,4480199,TRXWXIJ128F92FCD3C
nervous_10,u402153,Destiny&apos;s Child-Soldier,Destiny's Child,Soldier,7174750,
nervous_11,u603041,thrice- paper tigers,Thrice,Paper Tigers,284901,TRITVOV128F1462B7A
nervous_12,u402181,Tiga - Pleasure from the Bass,Tiga,Pleasure From The Bass,20295870,TRENIOO128F425BC44
nervous_13,u623720,Brand New-I will play my game beneath the spin light,Brand New,I Will Play My Game Beneath the Spin Light,7056178,TRGFDZR128F933361B
nervous_14,u256073,Linkin Park - Points of Authority,Linkin Park,Points Of Authority,193082,
nervous_15,u263603,CandleBox-Blossom,Candlebox,Blossom,436230,TRFHCQZ128F9334F93
nervous_16,u402220,Guns N Roses- Sweet Child O&apos; Mine,Guns N' Roses,Sweet Child O' Mine,22690,TRCFOUA128E07842AC
nervous_17,u535206,Lloyd Banks - On Fire,Lloyd Banks,On Fire,21779594,TRWNUGN12903D08177
nervous_18,u623727,pearl jam - given to fly,Pearl Jam,Given To Fly,3299173,TRHGKFB128F427E0E4
nervous_19,u574361,help!- beatles,The Beatles,Help!,6516766,
nervous_20,u603064,Hawthorne Heights -Ohio is for Lovers,Hawthorne Heights,Ohio Is For Lovers,15684044,
nervous_21,u535250,pieces of me - ashlee simpson,Ashlee Simpson,Pieces Of Me,2708421,TRMFOLO128F424A0FC
nervous_22,u256083,Our Mystery - Bebo Norman,Bebo Norman,Our Mystery,5414090,TRKQTWT128F9302E6C
nervous_23,u268552,Iris - Goo Goo Dolls,Goo Goo Dolls,Iris,1829619,
nervous_24,u481186,Rob Zombie-Reload,Rob Zombie,Reload (Album Version),6632121,TRZFYUW12903CC530E
nervous_25,u402409,Elton John - Someone Saved My Life Tonight,Elton John,Someone Saved My Life Tonight,987516,TRNNDPW128F4273925
nervous_26,u574426,Metallica- One,Metallica,One,16296009,TRMLBEG128F42BA124
nervous_27,u535300,Odalisque- The Decemberists,The Decemberists,Odalisque,6048140,TRUVDOJ128F932681D
nervous_28,u277194,Jessica Simpson- With you,Jessica Simpson,With You,759675,TRNANAN128F428248D
nervous_29,u481259,Elvis-You&apos;re the Devil in Disguise,Elvis Presley,(You're The) Devil In Disguise,3432547,TREFBEV128F428A330
nervous_30,u535315,Me & Charlie Talking-Miranda Lambert,Miranda Lambert,Me And Charlie Talking,3369574,TRIEHEI128F4295858
nervous_31,u1381,weezer - tired of sex,Weezer,Tired Of Sex,170647,TRNRWAU128E0793EAA
nervous_32,u276256,Finch- Ender,Finch,Ender,2467058,TROLSCV128C719637A
nervous_33,u402479,"""panama""- Van Halen",Van Halen,Panama,6877147,
nervous_34,u277267,Superman- Eminem,Eminem,Superman,148206,
